time,ax,ay,az,aT
0.673,0.0218,-0.0099,0.0153,0.028
0.679,-0.0113,0.0049,0.0152,0.02
0.683,-0.0181,0.0052,0.015,0.024
0.687,-0.0201,0.0175,0.0125,0.029
0.698,-0.0173,0.044,0.01,0.048
0.699,-0.0074,0.0609,0.0028,0.061
0.702,-0.0119,0.0681,0.0003,0.069
0.707,-0.0139,0.0707,0.0027,0.072
0.713,-0.0112,0.0755,0.0074,0.077
0.716,-0.0038,0.0685,0.012,0.07
0.722,0.0059,0.0592,0,0.06
0.727,0.0061,0.0523,0,0.053
0.732,0.0063,0.0384,0.0047,0.039
0.737,0.0112,0.0269,-0.012,0.031
0.741,0.009,0.0154,-0.0214,0.028
0.746,0.0021,-0.0056,-0.0142,0.015
0.752,0.0048,-0.0193,-0.0188,0.027
0.757,-0.0045,-0.0283,-0.0329,0.044
0.766,-0.0092,-0.0328,-0.0374,0.051
0.771,0.0147,-0.035,-0.0205,0.043
0.78,0.0361,-0.037,-0.0037,0.052
0.781,0.0384,-0.0367,0.0106,0.054
0.786,0.0337,-0.0387,0.0152,0.054
0.791,0.0267,-0.0407,0.0175,0.052
0.798,0.0102,-0.0331,0.0078,0.036
0.801,-0.0062,-0.0209,-0.0065,0.023
0.806,-0.0226,-0.0088,-0.0136,0.028
0.811,-0.0248,-0.0016,-0.0158,0.029
0.815,-0.0223,0.008,-0.011,0.026
0.82,-0.0173,0.0152,-0.0014,0.023
0.825,-0.0077,0.0105,0.0081,0.015
0.831,-0.0125,0.0249,0.0057,0.028
0.836,-0.0076,0.0439,-0.0063,0.045
0.84,-0.0004,0.0365,-0.011,0.038
0.846,-0.01,0.0244,-0.0109,0.029
0.85,-0.0125,0.0267,-0.0132,0.032
0.855,-0.0031,0.0218,-0.0154,0.027
0.86,0.0063,0.0052,-0.0153,0.017
0.865,0.011,-0.0018,-0.0057,0.013
0.87,0.0251,0.0008,-0.0033,0.025
0.88,0.0321,-0.0015,0.0063,0.033
0.885,0.013,-0.0086,-0.0057,0.017
0.89,0.0012,-0.0086,-0.0246,0.026
0.896,-0.0178,-0.0254,-0.041,0.051
0.901,-0.0249,-0.0327,-0.0383,0.056
0.904,-0.0129,-0.0352,-0.0237,0.044
0.927,0.0013,-0.0376,-0.0045,0.038
0.928,0.006,-0.04,0.0098,0.042
0.928,-0.0013,-0.0376,0.0121,0.039
0.928,0.0082,-0.0351,0.0096,0.037
0.928,0.0224,-0.0303,0.0096,0.039
0.933,0.0341,-0.0207,0.0095,0.041
0.939,0.0243,-0.0136,0.0047,0.028
0.947,0.0003,-0.0113,0.0094,0.015
0.95,-0.0093,-0.0066,0.0141,0.018
0.953,0.0002,0.0029,0.0068,0.007
0.958,0.012,0.0149,0.0044,0.02
0.965,0.0024,0.0195,0.0044,0.02
0.968,-0.0023,0.0243,0.0043,0.025
0.974,0.0024,0.0219,0.0162,0.027
0.979,0.0024,0.0218,0.0208,0.03
0.985,0.0048,0.0194,0.0158,0.026
0.998,0.0047,0.0052,0.0038,0.008
0.999,-0.0024,0.0171,0.0062,0.018
1.003,0.0073,0.0076,0.0061,0.012
1.008,0.0167,0.0054,0.006,0.019
1.013,0.012,0.0032,0.0084,0.015
1.018,0.0072,-0.0014,0.0035,0.008
1.023,0.0048,0.0034,-0.0036,0.007
1.028,-0.0022,0.0082,-0.0202,0.022
1.032,-0.0045,-0.0039,-0.0224,0.023
1.038,-0.0045,0.0032,-0.0175,0.018
1.043,-0.0093,0.003,-0.0078,0.013
1.047,-0.0093,-0.0114,-0.0006,0.015
1.052,-0.0021,-0.0043,-0.0078,0.009
1.057,-0.0021,0.0003,-0.0124,0.013
1.062,-0.0044,-0.0022,-0.0076,0.009
1.068,0.0028,-0.0023,0.0067,0.008
1.072,0.0123,0.0048,0.0162,0.021
1.09,0.0122,0.0119,0.0113,0.02
1.091,0.0051,0.0072,0.0064,0.011
1.091,-0.0044,0.0024,0.004,0.006
1.092,-0.0091,-0.0095,-0.0008,0.013
1.097,-0.0162,-0.0093,0.0016,0.019
1.106,-0.0065,0.0052,0.0063,0.01
1.111,0.003,0.0005,-0.0032,0.004
1.117,0.0055,-0.0065,-0.0127,0.015
1.122,-0.0089,-0.0039,0.0017,0.01
1.127,-0.0136,-0.0014,-0.0007,0.014
1.132,-0.0064,-0.0085,-0.0055,0.012
1.136,-0.0016,-0.0012,-0.0007,0.002
1.141,0.0055,0.0108,0.0017,0.012
1.146,0.0173,0.0084,-0.0007,0.019
1.151,0.0196,-0.0034,-0.0031,0.02
1.156,0.0124,0.0014,-0.0031,0.013
1.16,0.0053,0.0037,-0.003,0.007
1.167,0.0054,-0.0011,-0.003,0.006
1.171,0.0007,0.0012,-0.0149,0.015
1.179,-0.0017,0.0034,-0.0195,0.02
1.18,-0.0041,-0.0086,-0.0169,0.019
1.186,-0.0066,-0.004,-0.0073,0.011
