time,ax,ay,az,aT
0.622000,-0.0184,-0.0735,-0.0234,0.079
0.622000,-0.0088,-0.0805,-0.0350,0.088
0.623000,0.0032,-0.0664,-0.0300,0.073
0.626000,0.0031,-0.0476,-0.0154,0.050
0.630000,-0.0064,-0.0481,-0.0010,0.048
0.638000,-0.0135,-0.0652,0.0109,0.067
0.641000,0.0009,-0.0703,0.0132,0.071
0.645000,0.0223,-0.0729,0.0226,0.079
0.650000,0.0269,-0.0705,0.0224,0.079
0.655000,0.0102,-0.0633,0.0127,0.065
0.661000,-0.0041,-0.0513,0.0079,0.052
0.665000,-0.0040,-0.0273,0.0173,0.033
0.673000,0.0008,-0.0106,0.0267,0.029
0.676000,0.0079,0.0039,0.0194,0.021
0.680000,0.0079,0.0349,0.0144,0.039
0.695000,0.0055,0.0588,0.0143,0.061
0.696000,0.0103,0.0803,0.0118,0.082
0.696000,0.0054,0.0993,0.0069,0.100
0.700000,-0.0017,0.1040,0.0045,0.104
0.724000,0.0007,0.1133,0.0020,0.113
0.726000,-0.0088,0.1107,-0.0099,0.111
0.726000,-0.0063,0.0867,-0.0146,0.088
0.727000,0.0032,0.0415,-0.0073,0.042
0.727000,0.0055,-0.0059,0.0022,0.008
0.730000,0.0007,-0.0222,-0.0097,0.024
0.741000,-0.0017,-0.0314,-0.0286,0.042
0.742000,0.0030,-0.0407,-0.0284,0.050
0.744000,0.0030,-0.0478,-0.0281,0.056
0.749000,-0.0065,-0.0573,-0.0160,0.060
0.754000,-0.0065,-0.0645,-0.0040,0.065
0.759000,0.0006,-0.0693,-0.0158,0.071
0.764000,0.0054,-0.0717,-0.0085,0.072
0.769000,0.0125,-0.0742,0.0034,0.075
0.774000,0.0125,-0.0813,0.0011,0.082
0.779000,0.0195,-0.0955,0.0129,0.098
0.784000,0.0194,-0.0905,0.0128,0.093
0.789000,0.0145,-0.0689,0.0104,0.071
0.794000,0.0097,-0.0497,0.0174,0.054
0.799000,0.0002,-0.0186,0.0102,0.021
0.812000,0.0002,0.0195,0.0101,0.022
0.813000,-0.0021,0.0503,0.0242,0.056
0.814000,0.0004,0.0642,0.0264,0.069
0.844000,0.0146,0.0569,0.0167,0.061
0.846000,0.0146,0.0498,0.0189,0.055
0.846000,0.0098,0.0617,0.0045,0.063
0.847000,-0.0020,0.0689,-0.0169,0.071
0.848000,-0.0115,0.0783,-0.0192,0.081
0.849000,-0.0210,0.1044,-0.0119,0.107
0.849000,-0.0256,0.0945,-0.0047,0.098
0.858000,-0.0040,0.0989,-0.0023,0.099
0.861000,0.0055,0.1009,-0.0142,0.102
0.865000,0.0006,0.0362,-0.0117,0.038
0.868000,0.0077,-0.0280,0.0003,0.029
0.874000,0.0195,-0.0800,-0.0092,0.083
0.877000,0.0099,-0.1199,-0.0139,0.121
0.882000,-0.0068,-0.1287,-0.0185,0.130
0.887000,-0.0044,-0.1161,-0.0160,0.117
0.892000,-0.0020,-0.0991,-0.0016,0.099
0.897000,0.0052,-0.0892,0.0032,0.089
0.909000,0.0171,-0.0937,0.0103,0.096
0.910000,0.0145,-0.0910,0.0102,0.093
0.912000,0.0121,-0.0551,0.0078,0.057
