time,ax,ay,az,aT
0.003000,-0.0254,-0.0131,0.0510,0.059
0.004000,0.0195,0.0440,0.0245,0.054
0.006000,0.0165,0.0769,-0.0113,0.079
0.011000,-0.0173,0.0788,-0.0350,0.088
0.016000,-0.0176,0.0404,-0.0466,0.064
0.021000,-0.0012,-0.0073,-0.0272,0.028
0.028000,-0.0135,-0.0404,0.0086,0.043
0.031000,-0.0329,-0.0448,0.0252,0.061
0.037000,-0.0452,-0.0422,0.0250,0.067
0.041000,-0.0337,-0.0348,0.0176,0.052
0.046000,-0.0033,-0.0014,0.0175,0.018
0.050000,0.0222,0.0342,0.0150,0.043
0.055000,0.0286,0.0553,-0.0065,0.063
0.060000,0.0257,0.0573,-0.0065,0.063
0.065000,0.0276,0.0616,0.0292,0.074
0.070000,0.0104,0.0540,0.0289,0.062
0.075000,-0.0065,0.0442,0.0026,0.045
0.080000,0.0003,0.0391,-0.0378,0.054
0.085000,0.0117,0.0246,-0.0565,0.063
0.089000,0.0160,0.0007,-0.0180,0.024
0.095000,0.0179,-0.0205,0.0177,0.032
0.100000,0.0199,-0.0345,0.0389,0.056
0.105000,0.0195,-0.0245,0.0362,0.048
0.109000,0.0143,-0.0408,-0.0044,0.043
0.115000,0.0258,-0.0617,-0.0139,0.068
0.119000,0.0467,-0.0468,-0.0043,0.066
0.124000,0.0533,-0.0392,-0.0114,0.067
0.133000,0.0434,-0.0246,0.0077,0.050
0.134000,0.0242,-0.0100,0.0314,0.041
0.139000,0.0097,0.0021,0.0192,0.022
0.145000,-0.0047,0.0046,0.0167,0.018
0.149000,-0.0190,0.0047,0.0047,0.020
0.154000,-0.0096,0.0167,-0.0049,0.020
0.161000,0.0070,0.0309,0.0118,0.034
0.164000,-0.0097,0.0404,0.0022,0.042
0.169000,-0.0333,0.0285,-0.0192,0.048
0.173000,-0.0260,0.0190,-0.0143,0.035
0.179000,-0.0188,0.0286,-0.0023,0.034
0.184000,-0.0141,0.0285,0.0072,0.033
0.189000,0.0072,0.0214,0.0071,0.024
0.194000,0.1256,0.0831,0.0094,0.151
0.198000,0.1316,0.1088,0.0093,0.171
0.203000,-0.0570,0.0277,0.0045,0.064
0.209000,-0.1206,-0.0220,0.0234,0.125
0.213000,-0.0391,0.0045,0.0208,0.045
0.218000,0.0345,0.0521,-0.0149,0.064
0.223000,0.0529,0.0899,-0.0362,0.110
0.228000,0.0405,0.1061,-0.0383,0.120
0.233000,0.0045,0.0817,-0.0285,0.087
0.238000,-0.0051,0.0623,-0.0069,0.063
0.250000,-0.0289,0.0359,-0.0163,0.049
0.251000,-0.0668,-0.0044,-0.0447,0.081
0.253000,-0.0738,-0.0396,-0.0372,0.092
0.257000,-0.0785,-0.0700,0.0153,0.106
0.263000,-0.0573,-0.0764,0.0081,0.096
0.268000,-0.0218,-0.0709,-0.0063,0.074
0.272000,0.0090,-0.0749,0.0199,0.078
0.280000,0.0183,-0.0717,0.0245,0.078
0.282000,0.0110,-0.0711,0.0266,0.077
0.287000,-0.0057,-0.0657,0.0193,0.069
0.293000,-0.0292,-0.0390,-0.0022,0.049
0.297000,-0.0384,0.0040,-0.0283,0.048
0.302000,-0.0192,0.0206,-0.0210,0.035
0.306000,-0.0025,0.0133,0.0148,0.020
0.312000,0.0092,0.0204,0.0313,0.038
0.317000,0.0210,0.0253,0.0453,0.056
0.322000,0.0304,0.0206,0.0306,0.048
0.335000,0.0277,0.0090,-0.0076,0.030
0.335000,0.0109,-0.0025,-0.0218,0.025
0.336000,0.0107,-0.0021,-0.0288,0.031
0.342000,-0.0107,-0.0185,-0.0238,0.032
0.347000,-0.0273,-0.0395,-0.0093,0.049
0.352000,-0.0060,-0.0083,-0.0045,0.011
0.356000,0.0152,0.0442,0.0121,0.048
0.363000,0.0222,0.0797,0.0215,0.085
0.366000,0.0221,0.1030,0.0118,0.106
0.371000,0.0124,0.1357,0.0070,0.136
0.377000,-0.0235,0.1277,-0.0097,0.130
0.381000,-0.0190,0.0937,-0.0500,0.108
0.386000,0.0071,0.0313,-0.0401,0.051
0.392000,-0.0142,-0.0521,0.0006,0.054
0.396000,-0.0191,-0.0921,-0.0279,0.098
0.401000,-0.0121,-0.1200,-0.0324,0.125
0.405000,0.0117,-0.1380,0.0248,0.141
0.410000,0.0334,-0.1391,0.0436,0.150
0.415000,0.0120,-0.1428,0.0456,0.150
0.420000,0.0117,-0.1394,0.0002,0.140
0.425000,-0.0072,-0.1408,-0.0117,0.141
0.430000,-0.0282,-0.1303,-0.0021,0.133
0.436000,-0.0066,-0.0915,-0.0163,0.093
0.440000,0.0145,-0.0649,0.0052,0.067
0.445000,0.0287,-0.0384,0.0408,0.063
0.450000,0.0220,0.0023,0.0262,0.034
0.455000,0.0150,0.0213,-0.0286,0.039
0.460000,-0.0089,0.0210,-0.0260,0.035
0.465000,-0.0473,0.0089,-0.0044,0.048
0.470000,-0.0044,0.0113,-0.0115,0.017
0.478000,0.0365,0.0135,0.0171,0.043
0.480000,0.0269,0.0063,0.0074,0.029
0.486000,-0.0114,-0.0008,-0.0235,0.026
0.491000,-0.0661,-0.0055,0.0123,0.068
0.496000,-0.0208,0.0160,-0.0115,0.029
0.500000,0.0461,0.0350,0.0194,0.061
0.506000,0.0460,0.0135,0.0501,0.069
0.511000,-0.0112,-0.0126,-0.0239,0.029
0.515000,-0.0446,-0.0101,-0.0403,0.061
0.520000,-0.0017,0.0043,-0.0091,0.010
0.526000,0.0388,0.0138,0.0218,0.047
0.530000,0.0222,0.0305,0.0430,0.057
0.535000,-0.0231,0.0376,0.0118,0.046
0.539000,-0.0349,0.0351,-0.0263,0.056
0.553000,-0.0111,0.0397,-0.0309,0.051
0.554000,0.0128,0.0348,-0.0235,0.044
0.555000,0.0056,-0.0055,-0.0114,0.014
0.580000,-0.0231,-0.0408,-0.0090,0.048
0.581000,-0.0733,-0.0403,-0.0137,0.085
0.581000,-0.0878,0.0031,-0.0183,0.090
0.581000,-0.0429,0.0676,-0.0134,0.081
0.581000,0.0041,0.0938,-0.0039,0.094
0.584000,0.0463,0.0604,0.0151,0.078
0.589000,0.0835,0.0011,0.0221,0.086
0.594000,0.1020,-0.0460,0.0243,0.115
0.599000,0.1159,-0.0454,0.0217,0.126
0.605000,0.0919,-0.0305,0.0168,0.098
0.614000,0.0229,-0.0278,0.0000,0.036
0.616000,-0.0338,-0.0371,-0.0237,0.056
0.619000,0.0094,0.1289,-0.0472,0.138
0.624000,-0.0117,0.2297,-0.0801,0.244
0.632000,-0.0792,0.0521,-0.0010,0.095
0.634000,0.0245,-0.0195,0.0536,0.062
0.638000,0.0365,-0.0241,0.0056,0.044
0.649000,-0.1371,-0.1641,-0.0134,0.214
0.649000,-0.1573,-0.2768,0.0033,0.318
0.653000,0.0128,-0.2203,0.0342,0.223
0.658000,0.1080,-0.1265,0.0292,0.169
0.663000,0.0555,-0.0763,0.0029,0.094
0.668000,0.0037,-0.0264,-0.0161,0.031
0.673000,0.0211,0.0184,-0.0112,0.030
0.678000,0.0097,0.0318,0.0055,0.034
0.683000,-0.0495,0.0358,-0.0088,0.062
0.688000,-0.0680,0.0495,-0.0348,0.091
0.693000,-0.0897,0.0876,-0.0939,0.157
0.698000,-0.1193,0.0653,-0.0242,0.138
0.703000,-0.0427,-0.0053,-0.0525,0.068
0.708000,0.0913,-0.0016,-0.2159,0.234
0.713000,0.1332,0.0189,0.0519,0.144
0.718000,0.1190,0.0424,0.2770,0.304
0.723000,0.0740,0.0826,0.1512,0.188
0.730000,-0.0545,0.0748,0.0598,0.110
0.732000,-0.1710,0.0338,-0.0499,0.181
0.738000,-0.1393,0.0263,-0.1160,0.183
0.742000,-0.0219,0.0400,-0.0676,0.081
0.751000,-0.0035,-0.0060,-0.1121,0.112
0.752000,-0.0525,-0.0658,-0.1111,0.139
0.758000,-0.0198,-0.0538,0.1153,0.129
0.762000,0.0964,0.0226,0.2307,0.251
0.766000,0.1838,0.0966,0.1219,0.241
0.773000,0.1093,0.1058,0.0497,0.160
0.777000,-0.0267,0.0889,-0.0362,0.100
0.782000,-0.0742,0.0504,-0.1238,0.153
0.787000,-0.0479,-0.0141,-0.0895,0.103
0.791000,-0.0147,-0.0759,-0.0294,0.083
0.797000,-0.0054,-0.1086,0.0159,0.110
0.802000,0.0135,-0.0817,0.0562,0.100
0.807000,0.0321,-0.0169,0.0533,0.065
0.810000,0.0486,0.0356,0.0244,0.065
0.816000,0.0438,0.0498,0.0076,0.067
0.821000,0.0058,0.0473,-0.0257,0.054
0.828000,-0.0348,0.0327,-0.0493,0.069
0.831000,-0.0445,-0.0007,-0.0180,0.048
0.836000,-0.0159,-0.0196,0.0201,0.032
