time,ax,ay,az,aT
0.001000,-0.1651,0.0309,0.0021,0.168
0.002000,-0.0048,0.1253,-0.0312,0.129
0.003000,0.0688,0.1430,-0.0002,0.159
0.008000,0.0399,0.1035,0.0543,0.124
0.013000,-0.0007,0.0642,0.0775,0.101
0.017000,-0.0054,0.0514,0.0411,0.066
0.029000,-0.0053,0.0290,-0.0140,0.033
0.029000,-0.0077,0.0235,-0.0187,0.031
0.040000,-0.0172,0.0251,0.0169,0.035
0.041000,-0.0051,0.0291,0.0118,0.032
0.042000,0.0117,0.0379,-0.0288,0.049
0.047000,0.0022,0.0348,-0.0595,0.069
0.052000,-0.0120,0.0389,-0.0448,0.061
0.057000,-0.0095,0.0429,-0.0066,0.044
0.062000,0.0073,0.0470,0.0076,0.048
0.067000,0.0146,0.0605,-0.0068,0.063
0.073000,0.0029,0.0620,-0.0187,0.065
0.077000,-0.0184,0.0587,-0.0139,0.063
0.082000,-0.0182,0.0743,0.0051,0.077
0.087000,0.0057,0.0733,0.0144,0.075
0.092000,0.0105,0.0534,-0.0167,0.057
0.097000,-0.0109,0.0217,-0.0356,0.043
0.105000,-0.0203,-0.0073,-0.0117,0.024
0.107000,-0.0034,-0.0313,0.0073,0.032
0.112000,0.0109,-0.0622,-0.0118,0.064
0.116000,0.0084,-0.0786,-0.0284,0.084
0.131000,0.0013,-0.0925,-0.0235,0.095
0.131000,0.0133,-0.1039,-0.0210,0.107
0.133000,0.0203,-0.1056,-0.0114,0.108
0.137000,0.0036,-0.1025,-0.0090,0.103
0.146000,-0.0036,-0.1089,-0.0398,0.116
0.147000,-0.0059,-0.1080,-0.0442,0.117
0.151000,-0.0107,-0.0952,-0.0272,0.100
0.160000,0.0013,-0.0753,-0.0412,0.086
0.161000,0.0013,-0.0459,-0.0716,0.085
0.166000,-0.0036,-0.0403,-0.0947,0.103
0.180000,-0.0013,-0.0418,-0.0795,0.090
0.181000,0.0034,-0.0337,-0.0596,0.069
0.181000,0.0127,-0.0279,-0.0637,0.071
0.186000,0.0150,-0.0149,-0.0677,0.071
0.198000,0.0053,-0.0042,-0.0597,0.060
0.198000,-0.0019,0.0041,-0.0399,0.040
0.200000,-0.0162,0.0027,-0.0250,0.030
0.212000,-0.0208,-0.0103,-0.0316,0.039
0.213000,-0.0088,-0.0303,-0.0381,0.049
0.215000,0.0103,-0.0406,-0.0042,0.042
0.220000,0.0125,-0.0390,0.0223,0.047
0.232000,0.0030,-0.0280,0.0366,0.046
0.233000,-0.0018,-0.0030,0.0533,0.053
0.235000,-0.0018,0.0313,0.0507,0.060
0.247000,-0.0018,0.0604,0.0671,0.090
0.247000,-0.0066,0.0653,0.0905,0.112
0.250000,-0.0089,0.0605,0.0970,0.115
0.263000,-0.0017,0.0604,0.1010,0.118
0.263000,-0.0018,0.0600,0.1074,0.123
0.264000,-0.0088,0.0309,0.1159,0.120
0.269000,-0.0016,0.0446,0.1291,0.137
0.281000,0.0078,0.0936,0.1208,0.153
0.281000,0.0007,0.0282,0.1054,0.109
0.284000,-0.0089,-0.0725,0.1162,0.137
0.297000,0.0100,-0.1039,0.1268,0.164
0.297000,0.0360,-0.0901,0.1183,0.153
0.299000,0.0358,-0.0597,0.0718,0.100
0.304000,0.0096,-0.0321,0.0234,0.041
0.312000,-0.0214,-0.0166,0.0157,0.031
0.314000,-0.0284,-0.0274,0.0081,0.040
0.318000,-0.0188,-0.0428,-0.0209,0.051
0.334000,0.0027,-0.0366,-0.0353,0.051
0.334000,0.0098,-0.0281,-0.0496,0.058
0.335000,0.0074,-0.0290,-0.0637,0.070
0.347000,0.0097,-0.0131,-0.0825,0.084
0.348000,0.0000,0.0098,-0.1081,0.109
0.348000,-0.0047,0.0376,-0.1121,0.118
0.353000,0.0048,0.0700,-0.1161,0.136
0.363000,0.0143,0.0952,-0.1152,0.150
0.363000,0.0095,0.1252,-0.1143,0.170
0.368000,0.0023,0.1457,-0.1251,0.192
0.380000,-0.0024,0.1330,-0.1145,0.175
0.381000,-0.0189,0.0991,-0.1016,0.143
0.383000,-0.0116,0.0703,-0.0840,0.110
0.388000,0.0076,0.0656,-0.0570,0.087
0.397000,-0.0066,0.0706,-0.0468,0.085
0.399000,-0.0088,0.0707,-0.0367,0.080
0.403000,-0.0040,0.0709,-0.0172,0.073
0.413000,-0.0039,0.0639,0.0068,0.064
0.414000,0.0035,0.0545,0.0236,0.059
0.418000,-0.0082,0.0404,0.0426,0.059
0.433000,-0.0056,0.0359,0.0566,0.067
0.433000,-0.0006,0.0287,0.0752,0.080
0.434000,0.0018,0.0144,0.0865,0.088
0.437000,0.0065,-0.0072,0.0952,0.096
0.448000,-0.0125,-0.0358,0.1062,0.113
0.448000,-0.0077,-0.0597,0.1242,0.138
0.452000,0.0376,-0.0386,0.1515,0.161
0.465000,0.0635,0.0176,0.1665,0.179
0.465000,0.0371,0.0708,0.1695,0.187
0.467000,-0.0105,0.1279,0.1772,0.219
0.484000,-0.0365,0.1794,0.1775,0.255
0.484000,-0.0386,0.2256,0.1565,0.277
0.485000,-0.0288,0.2521,0.1213,0.281
0.487000,-0.0166,0.2379,0.0864,0.254
0.495000,-0.0330,0.1834,0.0612,0.196
0.496000,-0.0683,0.0936,0.0386,0.122
0.502000,-0.0797,-0.0263,-0.0028,0.084
0.511000,-0.0745,-0.1830,-0.0462,0.203
0.512000,-0.0624,-0.3573,-0.0798,0.371
0.516000,-0.0171,-0.5181,-0.0939,0.527
0.540000,0.0612,-0.6037,-0.1080,0.616
0.542000,0.1200,-0.6432,-0.1265,0.666
0.542000,0.1287,-0.6536,-0.1069,0.675
0.543000,0.1088,-0.5617,-0.0779,0.577
0.543000,0.0722,-0.4039,-0.0965,0.421
0.546000,0.0194,-0.2659,-0.1363,0.299
0.551000,-0.0306,-0.1525,-0.1922,0.247
0.557000,-0.0493,-0.0538,-0.2286,0.240
0.561000,-0.0300,0.0493,-0.2693,0.275
0.566000,-0.0229,0.1260,-0.3142,0.339
0.570000,-0.0348,0.1550,-0.2993,0.339
0.576000,-0.0205,0.1650,-0.2393,0.291
0.582000,0.0248,0.1964,-0.1585,0.254
