time,ax,ay,az,aT
0.626000,0.0545,0.0359,0.0103,0.066
0.626000,0.0663,-0.0426,0.0814,0.113
0.626000,0.0092,-0.0966,0.0404,0.105
0.626000,-0.0334,-0.0814,-0.0146,0.089
0.627000,-0.0451,-0.0475,-0.0216,0.069
0.633000,-0.0474,-0.0426,-0.0214,0.067
0.636000,-0.0309,-0.0329,-0.0117,0.047
0.643000,0.0022,-0.0043,0.0098,0.011
0.646000,0.0210,0.0336,0.0050,0.040
0.651000,0.0208,0.0690,-0.0165,0.074
0.655000,0.0161,0.0591,-0.0045,0.061
0.661000,0.0114,-0.0007,0.0051,0.013
0.665000,0.0115,-0.0270,-0.0116,0.032
0.670000,0.0186,-0.0317,-0.0162,0.040
0.681000,-0.0172,-0.0435,-0.0113,0.048
0.682000,-0.0720,-0.0411,-0.0065,0.083
0.685000,-0.0647,0.0060,0.0031,0.065
0.690000,0.0156,0.1454,-0.0468,0.154
0.711000,0.0955,0.2014,-0.0867,0.239
0.712000,0.0931,0.1169,0.0849,0.172
0.712000,0.0317,0.0049,0.1530,0.156
0.712000,-0.0535,-0.0707,-0.0026,0.089
0.715000,-0.0698,-0.1056,-0.0524,0.137
0.720000,-0.0270,-0.1640,-0.0472,0.173
0.725000,-0.0321,-0.2434,-0.0231,0.247
0.730000,-0.0088,-0.0871,0.0365,0.095
0.735000,0.0717,0.0991,0.0694,0.141
0.740000,0.0740,0.0559,0.0664,0.114
0.745000,0.0218,-0.0391,-0.0196,0.049
0.749000,0.0439,-0.0980,-0.0242,0.110
0.755000,0.0416,-0.0877,0.0021,0.097
0.760000,-0.0440,-0.0777,-0.0359,0.096
0.765000,-0.1006,-0.0417,0.0000,0.109
0.770000,-0.0694,0.0011,0.0072,0.070
0.775000,-0.0076,0.0340,-0.0166,0.039
0.780000,0.0304,0.0692,-0.0046,0.076
0.785000,0.0398,0.0923,-0.0141,0.101
0.790000,0.0304,0.0630,-0.0116,0.071
0.797000,0.0235,0.0125,-0.0044,0.027
0.799000,0.0095,-0.0188,-0.0114,0.024
0.805000,-0.0165,-0.0380,-0.0018,0.041
0.820000,-0.0401,-0.0381,-0.0018,0.055
0.821000,-0.0424,-0.0167,-0.0042,0.046
0.822000,-0.0233,0.0259,0.0078,0.036
0.824000,-0.0090,0.0517,0.0124,0.054
0.830000,0.0053,0.0678,-0.0019,0.068
0.834000,0.0077,0.0744,-0.0043,0.075
0.838000,0.0030,0.0453,0.0005,0.045
0.843000,-0.0017,0.0046,0.0029,0.006
0.849000,-0.0136,-0.0240,0.0100,0.029
0.854000,-0.0185,-0.0334,0.0052,0.039
0.860000,-0.0138,-0.0262,0.0004,0.030
0.863000,-0.0092,0.0049,0.0004,0.010
0.869000,-0.0069,0.0407,0.0027,0.041
