time,ax,ay,az,aT
0.002000,0.1882,0.1297,0.1239,0.260
0.002000,0.1419,0.2016,0.3578,0.435
0.005000,0.2753,0.1770,0.1483,0.359
0.015000,0.2801,0.0755,-0.1735,0.338
0.016000,0.1281,0.0304,-0.0248,0.134
0.019000,-0.0399,-0.0182,0.1726,0.178
0.025000,-0.0871,-0.1199,0.1880,0.239
0.032000,-0.0155,-0.1764,0.1510,0.233
0.035000,0.0738,-0.1669,0.0953,0.206
0.040000,0.0308,-0.1864,-0.3590,0.406
0.044000,-0.0784,-0.2342,-0.3751,0.449
0.050000,-0.0290,-0.2535,0.1170,0.281
0.059000,0.0256,-0.2346,0.0685,0.246
0.064000,-0.0548,-0.0674,0.1368,0.162
0.069000,0.0196,0.0264,0.1548,0.158
0.074000,0.0779,0.0788,0.0681,0.130
0.079000,0.0966,0.0796,-0.1034,0.162
0.084000,0.0455,0.0602,-0.1738,0.189
0.088000,0.0009,0.0200,-0.0133,0.024
0.094000,0.0015,0.0034,0.0581,0.058
0.099000,-0.0009,0.0123,0.0433,0.045
0.103000,-0.0129,0.0232,0.0501,0.057
0.111000,-0.0058,0.0582,-0.0120,0.060
0.114000,0.0038,0.0795,-0.0855,0.117
0.119000,-0.0127,0.0747,-0.0468,0.089
0.123000,-0.0267,0.0530,0.0461,0.075
0.128000,-0.0196,0.0265,0.0576,0.066
0.133000,0.0017,0.0166,0.0002,0.017
0.138000,0.0300,0.0161,-0.0259,0.043
0.143000,0.0392,0.0064,-0.0210,0.045
0.148000,0.0153,-0.0102,-0.0042,0.019
0.153000,-0.0203,-0.0004,0.0101,0.023
0.159000,-0.0249,0.0283,0.0076,0.038
0.163000,-0.0011,0.0331,0.0028,0.033
0.173000,0.0155,0.0209,0.0147,0.030
0.178000,0.0154,-0.0078,-0.0234,0.029
0.182000,0.0058,-0.0055,-0.0232,0.025
0.188000,0.0105,0.0063,-0.0064,0.014
0.193000,0.0079,0.0111,0.0079,0.016
0.198000,-0.0040,0.0183,0.0054,0.020
0.202000,-0.0087,0.0183,0.0030,0.020
0.207000,0.0009,0.0111,0.0125,0.017
0.212000,0.0057,-0.0010,0.0029,0.006
0.217000,0.0057,-0.0154,-0.0090,0.019
0.222000,0.0080,-0.0107,-0.0042,0.014
0.227000,0.0103,0.0034,-0.0018,0.011
0.233000,0.0007,0.0081,-0.0065,0.010
0.238000,-0.0041,0.0057,0.0030,0.008
0.243000,-0.0017,0.0033,0.0125,0.013
0.247000,-0.0111,0.0081,0.0029,0.014
0.252000,0.0033,0.0032,-0.0019,0.005
0.256000,0.0056,0.0055,-0.0018,0.008
0.262000,-0.0016,0.0172,0.0029,0.018
0.266000,0.0055,0.0147,-0.0137,0.021
0.272000,0.0054,0.0122,-0.0136,0.019
0.276000,0.0030,0.0218,0.0079,0.023
0.286000,0.0030,0.0241,0.0197,0.031
0.293000,0.0077,0.0478,0.0029,0.049
0.296000,0.0100,0.0357,0.0005,0.037
0.301000,0.0052,0.0188,-0.0090,0.021
0.305000,0.0028,0.0139,-0.0184,0.023
0.311000,0.0027,0.0067,-0.0088,0.011
0.316000,-0.0044,0.0044,0.0055,0.008
0.321000,-0.0043,0.0020,0.0197,0.020
0.327000,0.0053,0.0021,0.0172,0.018
0.331000,0.0124,0.0069,0.0052,0.015
0.336000,0.0052,0.0044,0.0004,0.007
0.341000,0.0004,0.0020,-0.0020,0.003
0.346000,-0.0020,0.0020,0.0028,0.004
0.351000,0.0028,-0.0075,0.0027,0.009
0.356000,0.0171,-0.0074,0.0075,0.020
0.361000,0.0099,-0.0002,0.0193,0.022
0.365000,0.0005,-0.0025,0.0215,0.022
0.370000,0.0053,-0.0025,0.0094,0.011
0.375000,0.0078,-0.0097,0.0070,0.014
0.380000,0.0030,-0.0145,0.0045,0.015
0.385000,0.0055,-0.0074,-0.0026,0.010
0.390000,0.0031,-0.0121,-0.0073,0.014
0.400000,-0.0017,-0.0167,-0.0049,0.018
0.405000,0.0054,-0.0237,0.0141,0.028
0.412000,0.0197,-0.0115,0.0045,0.023
0.415000,0.0267,-0.0114,0.0021,0.029
0.420000,0.0267,-0.0138,0.0116,0.032
0.426000,0.0218,-0.0113,0.0115,0.027
0.429000,0.0218,-0.0065,0.0090,0.024
0.434000,0.0052,-0.0087,0.0042,0.011
0.439000,-0.0113,-0.0110,-0.0030,0.016
0.444000,0.0030,-0.0061,-0.0029,0.007
0.449000,0.0101,-0.0037,0.0018,0.011
0.454000,0.0030,-0.0037,0.0113,0.012
0.460000,-0.0017,-0.0037,0.0160,0.016
0.465000,-0.0016,0.0011,0.0087,0.009
0.468000,-0.0015,0.0035,0.0039,0.005
0.475000,-0.0037,0.0129,0.0039,0.014
0.479000,-0.0060,0.0247,-0.0009,0.025
0.484000,0.0013,0.0221,-0.0080,0.024
0.489000,0.0061,0.0243,-0.0080,0.026
0.496000,0.0084,0.0264,0.0016,0.028
0.499000,0.0131,0.0190,0.0158,0.028
0.504000,0.0132,0.0188,0.0181,0.029
0.515000,0.0088,0.0234,0.0132,0.028
0.519000,-0.0548,0.0067,0.0059,0.056
0.523000,-0.0809,0.0045,-0.0582,0.100
0.541000,-0.0332,0.0234,-0.0482,0.063
0.545000,0.0121,0.0349,0.0424,0.056
0.545000,0.0262,0.0392,0.0373,0.060
0.545000,0.0378,0.0366,-0.0248,0.058
0.548000,0.0402,0.0339,0.0039,0.053
0.553000,0.0165,0.0432,0.0276,0.054
0.557000,0.0024,0.0525,-0.0225,0.057
0.562000,0.0095,0.0474,-0.0033,0.048
0.567000,0.0141,0.0446,0.0110,0.048
0.572000,0.0069,0.0419,-0.0200,0.047
0.577000,-0.0026,0.0321,-0.0174,0.037
0.582000,-0.0095,0.0247,0.0112,0.029
0.587000,-0.0023,0.0101,0.0135,0.017
0.594000,-0.0046,0.0053,0.0063,0.009
0.598000,-0.0187,-0.0043,0.0133,0.023
0.602000,-0.0208,-0.0185,0.0085,0.029
0.608000,-0.0183,-0.0301,0.0037,0.035
0.613000,-0.0158,-0.0488,0.0060,0.052
0.617000,-0.0061,-0.0745,0.0059,0.075
0.636000,0.0083,-0.0786,0.0083,0.079
0.637000,0.0107,-0.0947,0.0153,0.096
0.638000,0.0226,-0.0915,0.0176,0.096
0.665000,0.0180,-0.0812,0.0198,0.085
0.666000,0.0038,-0.0614,0.0078,0.062
0.667000,0.0087,-0.0443,-0.0018,0.045
0.667000,-0.0007,-0.0297,-0.0018,0.030
0.667000,-0.0029,-0.0009,-0.0042,0.005
0.668000,0.0090,0.0158,-0.0112,0.021
0.671000,0.0043,0.0275,-0.0064,0.029
0.676000,0.0092,0.0462,0.0008,0.047
0.681000,0.0139,0.0720,-0.0087,0.074
0.686000,0.0045,0.0857,-0.0063,0.086
0.694000,-0.0026,0.0898,-0.0015,0.090
0.697000,-0.0048,0.1010,-0.0015,0.101
0.701000,-0.0071,0.1192,-0.0062,0.120
0.705000,-0.0095,0.1229,-0.0085,0.124
0.712000,-0.0094,0.1220,-0.0037,0.122
0.715000,-0.0166,0.1209,-0.0013,0.122
0.720000,-0.0118,0.1175,-0.0013,0.118
0.731000,0.0049,0.1047,-0.0037,0.105
