time,ax,ay,az,aT
0.002000,0.4220,0.4323,-0.1331,0.619
0.003000,0.0915,0.3292,-0.3790,0.510
0.004000,-0.2330,0.2312,-0.2618,0.420
0.010000,-0.3778,0.2029,-0.0815,0.437
0.017000,-0.3668,0.2035,0.0664,0.425
0.019000,-0.2208,0.1802,0.1110,0.306
0.023000,-0.0388,0.1403,0.0366,0.150
0.029000,0.0945,0.0963,-0.0753,0.155
0.033000,0.1780,0.0554,-0.0865,0.206
0.038000,0.2359,0.0146,0.0258,0.238
0.043000,0.1946,-0.0429,0.1111,0.228
0.048000,0.0329,-0.0906,0.0840,0.128
0.053000,-0.0901,-0.1115,0.0050,0.143
0.058000,-0.1065,-0.1324,-0.0473,0.176
0.064000,-0.0762,-0.1316,-0.0587,0.163
0.068000,-0.0414,-0.1093,-0.0344,0.122
0.072000,0.0009,-0.1083,0.0205,0.110
0.079000,0.0504,-0.1193,0.0583,0.142
0.083000,0.0901,-0.1279,0.0578,0.167
0.087000,0.0895,-0.1222,0.0289,0.154
0.094000,0.0561,-0.1119,0.0072,0.125
0.098000,0.0181,-0.1135,0.0143,0.116
0.103000,-0.0174,-0.1127,0.0094,0.114
0.115000,-0.0340,-0.0903,-0.0144,0.098
0.115000,-0.0293,-0.0703,-0.0095,0.077
0.118000,-0.0200,-0.0577,0.0096,0.062
0.122000,0.0012,-0.0358,0.0237,0.043
0.127000,0.0272,-0.0118,0.0188,0.035
0.132000,0.0319,0.0025,0.0044,0.032
0.137000,0.0294,0.0096,-0.0123,0.033
0.143000,0.0129,0.0190,-0.0217,0.032
0.147000,-0.0084,0.0260,-0.0120,0.030
0.152000,-0.0201,0.0307,0.0023,0.037
0.156000,-0.0271,0.0330,0.0070,0.043
0.162000,-0.0294,0.0257,0.0117,0.041
0.167000,-0.0103,0.0184,0.0069,0.022
0.171000,0.0040,0.0206,-0.0003,0.021
0.177000,0.0064,0.0109,0.0021,0.013
0.181000,0.0207,0.0038,0.0021,0.021
0.186000,0.0254,0.0110,0.0044,0.028
0.200000,0.0183,0.0182,0.0044,0.026
0.200000,0.0064,0.0135,-0.0028,0.015
0.201000,-0.0032,0.0065,-0.0123,0.014
0.206000,-0.0127,0.0017,-0.0122,0.018
0.211000,-0.0125,-0.0054,-0.0121,0.018
0.218000,-0.0076,-0.0172,-0.0049,0.019
0.221000,0.0020,-0.0241,0.0070,0.025
0.226000,0.0068,-0.0238,0.0046,0.025
0.231000,-0.0003,-0.0211,0.0022,0.021
0.236000,-0.0026,-0.0089,0.0069,0.012
0.243000,-0.0002,0.0031,0.0092,0.010
0.246000,-0.0049,0.0125,0.0091,0.016
0.251000,-0.0120,0.0077,0.0138,0.020
0.256000,-0.0072,0.0101,-0.0005,0.012
0.261000,0.0000,0.0219,-0.0124,0.025
