time,ax,ay,az,aT
0.007000,-0.2707,-0.0735,-0.2135,0.353
0.007000,-0.1834,-0.0371,-0.1855,0.263
0.007000,-0.0467,0.0214,-0.1339,0.143
0.011000,0.0514,0.0371,-0.0778,0.100
0.016000,0.0799,0.0146,-0.0150,0.083
0.021000,0.0534,-0.0056,0.0258,0.060
0.026000,0.0174,-0.0075,0.0684,0.071
0.031000,-0.0067,0.0064,0.1081,0.108
0.035000,0.0027,0.0122,0.0998,0.101
0.041000,0.0240,0.0223,0.0653,0.073
0.048000,0.0333,0.0345,0.0263,0.055
0.052000,0.0213,0.0255,-0.0241,0.041
0.055000,0.0023,0.0195,-0.0764,0.079
0.060000,-0.0143,0.0425,-0.1187,0.127
0.065000,-0.0260,0.0519,-0.1295,0.142
0.071000,-0.0424,0.0450,-0.1187,0.134
0.076000,-0.0469,0.0458,-0.0985,0.118
0.080000,-0.0205,0.0397,-0.0760,0.088
0.085000,0.0056,0.0288,-0.0299,0.042
0.091000,0.0127,0.0132,0.0063,0.019
0.095000,0.0125,-0.0003,0.0349,0.037
0.100000,0.0125,0.0026,0.0585,0.060
0.105000,0.0076,0.0005,0.0604,0.061
0.110000,0.0098,-0.0091,0.0504,0.052
0.115000,0.0073,-0.0022,0.0428,0.043
0.119000,0.0000,-0.0001,0.0329,0.033
0.125000,0.0070,-0.0145,0.0136,0.021
0.130000,0.0022,-0.0192,0.0063,0.020
0.134000,-0.0026,-0.0237,0.0016,0.024
0.139000,-0.0002,-0.0281,0.0063,0.029
0.145000,-0.0025,-0.0229,0.0158,0.028
0.149000,-0.0024,-0.0178,0.0300,0.035
0.155000,0.0024,-0.0105,0.0487,0.050
0.165000,0.0046,-0.0010,0.0554,0.056
0.166000,0.0093,-0.0037,0.0525,0.053
0.169000,0.0139,-0.0066,0.0519,0.054
0.175000,0.0091,-0.0049,0.0371,0.039
0.179000,0.0067,-0.0080,0.0081,0.013
0.184000,0.0019,-0.0110,-0.0088,0.014
0.189000,0.0042,-0.0069,-0.0136,0.016
0.194000,-0.0005,-0.0026,-0.0184,0.019
0.199000,-0.0005,0.0065,-0.0254,0.026
0.204000,-0.0029,0.0086,-0.0300,0.031
0.209000,-0.0028,0.0108,-0.0346,0.036
0.214000,-0.0027,0.0201,-0.0295,0.036
0.218000,-0.0051,0.0176,-0.0317,0.037
0.225000,-0.0003,0.0223,-0.0314,0.038
0.229000,-0.0051,0.0388,-0.0335,0.051
0.234000,-0.0003,0.0410,-0.0474,0.063
0.239000,0.0020,0.0242,-0.0375,0.045
0.243000,-0.0004,0.0053,-0.0181,0.019
0.248000,0.0019,0.0056,-0.0250,0.026
0.254000,-0.0005,0.0131,-0.0175,0.022
0.260000,-0.0028,0.0182,-0.0078,0.020
0.263000,-0.0028,0.0185,-0.0124,0.022
0.268000,-0.0051,-0.0001,-0.0074,0.009
0.273000,-0.0099,-0.0186,-0.0072,0.022
0.278000,-0.0003,-0.0109,0.0025,0.011
0.282000,0.0021,-0.0080,0.0215,0.023
0.287000,0.0022,-0.0076,0.0309,0.032
0.298000,0.0070,0.0022,0.0236,0.025
0.298000,-0.0025,0.0024,0.0211,0.021
0.302000,-0.0049,0.0049,0.0304,0.031
0.308000,-0.0097,-0.0023,0.0349,0.036
0.312000,-0.0145,-0.0165,0.0370,0.043
0.317000,-0.0026,-0.0165,0.0367,0.040
0.322000,-0.0002,-0.0236,0.0364,0.043
0.327000,0.0046,-0.0402,0.0336,0.053
0.332000,0.0046,-0.0402,0.0262,0.048
0.336000,0.0072,-0.0306,0.0282,0.042
0.348000,0.0049,-0.0237,0.0374,0.045
0.349000,-0.0093,-0.0096,0.0299,0.033
0.352000,-0.0162,-0.0028,0.0200,0.026
0.358000,-0.0113,0.0039,0.0031,0.012
0.361000,-0.0040,0.0105,-0.0113,0.016
0.367000,-0.0039,0.0101,-0.0231,0.026
0.371000,-0.0038,0.0241,-0.0253,0.035
0.377000,0.0033,0.0356,-0.0418,0.055
0.381000,0.0080,0.0234,-0.0581,0.063
0.386000,-0.0015,0.0066,-0.0433,0.044
0.392000,-0.0015,0.0020,-0.0311,0.031
0.396000,-0.0062,-0.0001,-0.0331,0.034
0.401000,-0.0038,-0.0022,-0.0280,0.028
0.407000,0.0010,0.0147,-0.0158,0.022
0.411000,-0.0015,0.0245,-0.0180,0.030
0.416000,0.0079,0.0127,-0.0178,0.023
0.420000,0.0149,-0.0037,-0.0199,0.025
0.426000,0.0195,-0.0104,-0.0125,0.025
0.431000,0.0169,-0.0075,0.0019,0.019
0.435000,0.0097,-0.0023,0.0139,0.017
0.441000,0.0025,0.0052,0.0257,0.026
0.445000,0.0025,0.0128,0.0209,0.025
0.450000,-0.0023,0.0059,0.0160,0.017
0.455000,-0.0095,0.0038,0.0231,0.025
0.461000,-0.0047,0.0016,0.0253,0.026
0.466000,0.0072,-0.0101,0.0133,0.018
0.470000,0.0048,-0.0123,0.0180,0.022
0.475000,-0.0024,-0.0169,0.0226,0.028
0.480000,-0.0072,-0.0286,0.0271,0.040
0.485000,-0.0095,-0.0309,0.0269,0.042
0.491000,-0.0048,-0.0237,0.0266,0.036
0.495000,0.0047,-0.0048,0.0287,0.029
0.501000,0.0094,0.0116,0.0189,0.024
0.506000,0.0022,0.0064,0.0115,0.013
0.511000,-0.0027,-0.0059,-0.0029,0.007
0.515000,-0.0028,-0.0109,-0.0195,0.023
0.520000,-0.0052,0.0032,-0.0266,0.027
0.527000,-0.0052,0.0100,-0.0098,0.015
0.530000,-0.0005,0.0096,-0.0050,0.011
0.535000,0.0042,0.0189,-0.0145,0.024
0.540000,-0.0031,0.0162,-0.0192,0.025
0.546000,-0.0055,0.0184,-0.0309,0.036
0.550000,-0.0032,0.0159,-0.0330,0.037
0.555000,-0.0009,-0.0008,-0.0280,0.028
0.562000,-0.0010,-0.0030,-0.0253,0.026
0.565000,-0.0033,-0.0051,-0.0274,0.028
0.570000,0.0087,-0.0143,-0.0319,0.036
0.576000,0.0111,-0.0068,-0.0173,0.022
0.580000,0.0040,0.0055,-0.0052,0.009
0.584000,-0.0102,0.0247,-0.0051,0.027
0.590000,-0.0220,0.0366,-0.0193,0.047
0.594000,-0.0243,0.0295,-0.0261,0.046
0.599000,-0.0219,0.0153,-0.0163,0.031
0.605000,-0.0100,-0.0011,-0.0066,0.012
0.612000,0.0067,-0.0149,0.0054,0.017
0.615000,0.0067,-0.0144,0.0197,0.025
0.619000,-0.0004,-0.0044,0.0315,0.032
0.624000,-0.0099,-0.0042,0.0360,0.038
0.629000,-0.0123,-0.0111,0.0334,0.037
0.634000,-0.0050,-0.0156,0.0308,0.035
0.639000,0.0070,-0.0060,0.0258,0.027
0.646000,0.0119,0.0058,0.0255,0.029
0.648000,0.0048,0.0057,0.0371,0.038
0.654000,0.0001,0.0079,0.0392,0.040
0.661000,0.0002,0.0099,0.0317,0.033
0.663000,-0.0092,0.0072,0.0266,0.029
0.669000,-0.0281,0.0211,0.0215,0.041
0.673000,-0.0279,0.0349,0.0023,0.045
0.679000,-0.0064,0.0343,-0.0192,0.040
0.686000,-0.0041,0.0290,-0.0214,0.036
0.688000,-0.0089,0.0144,-0.0237,0.029
0.695000,0.0030,-0.0025,-0.0282,0.028
0.699000,0.0124,-0.0096,-0.0233,0.028
0.704000,0.0052,-0.0073,0.0006,0.009
0.708000,0.0051,0.0021,0.0077,0.009
0.713000,0.0026,0.0043,0.0100,0.011
0.718000,0.0002,0.0113,0.0194,0.022
0.724000,-0.0071,0.0205,-0.0022,0.022
0.728000,-0.0144,0.0225,-0.0236,0.036
0.733000,-0.0074,0.0245,-0.0210,0.033
0.738000,-0.0075,0.0242,-0.0161,0.030
0.743000,-0.0052,0.0145,-0.0231,0.028
0.748000,0.0066,0.0003,-0.0229,0.024
0.753000,0.0088,0.0005,-0.0203,0.022
0.757000,0.0038,-0.0017,-0.0129,0.014
0.766000,-0.0035,-0.0109,0.0015,0.012
0.767000,0.0011,-0.0367,-0.0032,0.037
0.771000,0.0129,-0.0479,-0.0126,0.051
0.795000,0.0080,-0.0521,-0.0077,0.053
0.797000,0.0127,-0.0491,0.0067,0.051
0.798000,0.0151,-0.0319,0.0185,0.040
0.798000,0.0127,-0.0173,0.0207,0.030
0.798000,0.0103,-0.0172,0.0111,0.023
0.801000,0.0056,-0.0218,0.0015,0.023
0.805000,0.0056,-0.0288,0.0062,0.030
0.811000,0.0009,-0.0286,0.0109,0.031
0.815000,-0.0061,-0.0165,0.0084,0.019
0.820000,-0.0036,-0.0116,-0.0035,0.013
0.825000,0.0013,-0.0068,0.0084,0.011
0.830000,-0.0081,-0.0019,0.0273,0.029
0.835000,-0.0104,0.0053,0.0247,0.027
0.840000,-0.0079,0.0101,0.0269,0.030
0.846000,-0.0031,0.0099,0.0290,0.031
0.850000,-0.0031,0.0003,0.0216,0.022
0.855000,0.0017,-0.0070,0.0119,0.014
0.870000,0.0089,0.0047,0.0070,0.012
0.872000,0.0088,0.0115,-0.0002,0.015
0.872000,0.0040,-0.0006,-0.0050,0.006
0.893000,-0.0031,-0.0008,-0.0026,0.004
0.894000,-0.0007,-0.0058,0.0021,0.006
0.894000,-0.0030,-0.0178,-0.0051,0.019
0.895000,-0.0006,-0.0321,-0.0051,0.033
0.895000,0.0018,-0.0462,0.0091,0.047
0.899000,0.0042,-0.0413,0.0114,0.043
0.904000,0.0042,-0.0293,0.0136,0.033
0.910000,-0.0051,-0.0223,0.0063,0.024
0.915000,0.0069,-0.0153,-0.0128,0.021
0.919000,0.0141,-0.0060,-0.0199,0.025
0.927000,0.0070,0.0055,-0.0104,0.014
0.931000,0.0023,0.0123,-0.0009,0.013
0.934000,-0.0072,0.0190,-0.0009,0.020
0.939000,-0.0165,0.0257,-0.0081,0.032
0.944000,-0.0281,0.0253,-0.0129,0.040
0.949000,-0.0302,0.0320,-0.0104,0.045
0.954000,-0.0181,0.0505,-0.0199,0.057
0.964000,-0.0204,0.0737,-0.0293,0.082
0.965000,-0.0156,0.0706,-0.0314,0.079
0.991000,-0.0132,0.0557,-0.0311,0.065
0.994000,-0.0108,0.0553,-0.0261,0.062
0.994000,-0.0108,0.0502,-0.0259,0.057
0.995000,-0.0131,0.0333,-0.0256,0.044
0.995000,-0.0155,0.0285,-0.0182,0.037
0.995000,-0.0109,0.0237,-0.0038,0.026
0.998000,0.0033,0.0095,0.0082,0.013
1.003000,-0.0017,-0.0046,0.0011,0.005
1.010000,-0.0018,-0.0185,-0.0060,0.020
1.014000,0.0100,-0.0419,-0.0035,0.043
1.021000,0.0193,-0.0651,-0.0011,0.068
1.023000,0.0191,-0.0643,0.0109,0.068
1.028000,0.0119,-0.0470,0.0298,0.057
1.033000,0.0118,-0.0275,0.0248,0.039
1.038000,0.0118,-0.0012,0.0270,0.029
1.047000,-0.0002,0.0106,0.0220,0.024
1.048000,-0.0121,-0.0015,0.0123,0.017
1.053000,-0.0144,-0.0111,0.0003,0.018
1.069000,-0.0071,-0.0017,-0.0045,0.009
1.070000,0.0048,0.0030,0.0074,0.009
1.070000,0.0095,-0.0065,0.0121,0.017
1.072000,0.0024,-0.0041,0.0072,0.009
1.077000,-0.0071,0.0031,0.0119,0.014
1.082000,-0.0140,0.0101,0.0308,0.035
1.087000,-0.0163,0.0147,0.0305,0.038
1.092000,-0.0209,0.0310,0.0065,0.038
1.097000,-0.0161,0.0378,-0.0055,0.041
1.102000,-0.0089,0.0255,-0.0078,0.028
1.106000,-0.0064,0.0299,-0.0149,0.034
1.111000,-0.0112,0.0201,-0.0243,0.033
1.117000,-0.0110,-0.0014,-0.0217,0.024
1.121000,-0.0061,-0.0013,-0.0097,0.012
1.127000,-0.0109,-0.0011,-0.0072,0.013
1.132000,-0.0062,-0.0080,-0.0118,0.016
1.136000,0.0081,-0.0149,-0.0045,0.018
1.143000,0.0080,-0.0264,-0.0020,0.028
1.147000,0.0079,-0.0306,-0.0162,0.036
1.151000,0.0054,-0.0255,-0.0160,0.031
1.157000,-0.0017,-0.0014,-0.0111,0.011
1.167000,-0.0017,0.0154,-0.0110,0.019
1.169000,0.0007,0.0201,0.0057,0.021
1.178000,-0.0042,0.0105,0.0105,0.015
1.179000,-0.0113,0.0082,-0.0015,0.014
1.202000,-0.0114,0.0011,-0.0014,0.011
1.203000,0.0006,-0.0082,0.0010,0.008
1.204000,0.0029,-0.0104,0.0010,0.011
1.204000,0.0029,-0.0077,0.0035,0.009
1.204000,0.0005,-0.0051,0.0130,0.014
1.205000,0.0005,-0.0027,0.0200,0.020
1.211000,0.0004,0.0045,0.0293,0.030
1.215000,0.0027,0.0091,0.0362,0.037
1.220000,0.0026,0.0065,0.0240,0.025
1.226000,-0.0023,-0.0031,0.0143,0.015
1.230000,-0.0025,-0.0199,0.0117,0.023
1.235000,-0.0002,-0.0341,0.0021,0.034
1.240000,0.0022,-0.0316,-0.0027,0.032
1.245000,0.0142,-0.0219,0.0068,0.027
1.250000,0.0119,-0.0076,0.0138,0.020
1.255000,-0.0024,0.0089,0.0089,0.013
1.264000,-0.0142,0.0252,0.0040,0.029
1.265000,-0.0236,0.0247,-0.0008,0.034
1.271000,-0.0186,0.0148,-0.0127,0.027
1.289000,0.0005,0.0121,-0.0150,0.019
1.291000,0.0052,0.0120,-0.0244,0.028
1.292000,-0.0019,0.0095,-0.0337,0.035
1.292000,-0.0043,0.0048,-0.0358,0.036
1.296000,-0.0066,0.0073,-0.0331,0.034
1.299000,-0.0089,-0.0044,-0.0232,0.025
1.304000,-0.0113,-0.0040,-0.0158,0.020
1.311000,-0.0064,0.0059,-0.0180,0.020
1.314000,0.0008,0.0014,-0.0178,0.018
1.320000,0.0032,-0.0127,-0.0033,0.013
1.327000,0.0081,-0.0242,0.0110,0.028
1.329000,0.0105,-0.0261,0.0110,0.030
1.334000,-0.0014,-0.0091,0.0109,0.014
1.339000,-0.0108,0.0053,0.0085,0.015
1.344000,-0.0083,0.0077,0.0013,0.011
1.349000,-0.0012,0.0102,0.0037,0.011
1.354000,0.0012,0.0102,0.0037,0.011
1.366000,-0.0084,0.0032,-0.0034,0.010
1.367000,-0.0012,-0.0039,-0.0010,0.004
1.368000,0.0059,-0.0038,0.0109,0.013
1.374000,-0.0011,-0.0061,0.0108,0.012
1.394000,-0.0035,-0.0084,0.0036,0.010
1.395000,-0.0082,-0.0107,0.0083,0.016
1.395000,-0.0105,-0.0106,0.0201,0.025
1.396000,-0.0009,-0.0035,0.0223,0.023
1.398000,0.0110,-0.0036,0.0197,0.023
1.403000,0.0108,-0.0062,0.0148,0.019
1.409000,0.0036,-0.0112,0.0027,0.012
1.415000,0.0012,-0.0089,-0.0069,0.011
1.418000,0.0107,0.0004,-0.0116,0.016
1.425000,0.0084,0.0025,-0.0069,0.011
1.428000,-0.0058,0.0023,-0.0068,0.009
1.433000,-0.0010,-0.0026,-0.0092,0.010
1.438000,0.0038,-0.0003,-0.0115,0.012
1.444000,-0.0080,-0.0028,-0.0115,0.014
1.447000,-0.0127,-0.0171,-0.0042,0.022
1.452000,-0.0078,-0.0098,-0.0042,0.013
1.464000,-0.0054,0.0094,-0.0089,0.014
1.465000,0.0042,0.0118,-0.0064,0.014
1.467000,0.0113,0.0142,0.0008,0.018
1.475000,0.0019,0.0071,-0.0016,0.007
1.493000,0.0044,-0.0023,-0.0063,0.008
1.494000,0.0044,0.0074,-0.0062,0.011
1.494000,-0.0004,0.0146,0.0010,0.015
1.495000,0.0021,0.0051,0.0058,0.008
1.496000,-0.0050,0.0076,0.0010,0.009
1.501000,-0.0026,0.0173,0.0035,0.018
1.506000,-0.0121,0.0268,0.0082,0.031
1.512000,-0.0216,0.0291,0.0011,0.036
1.516000,-0.0120,0.0149,0.0011,0.019
1.521000,-0.0049,0.0078,0.0130,0.016
1.530000,0.0092,0.0055,0.0106,0.015
1.531000,0.0161,-0.0087,0.0082,0.020
1.536000,0.0112,-0.0133,0.0176,0.025
1.549000,0.0087,-0.0084,0.0127,0.018
1.551000,0.0062,-0.0061,0.0197,0.022
1.552000,0.0038,-0.0085,0.0314,0.033
1.556000,0.0015,-0.0134,0.0263,0.030
1.581000,0.0014,-0.0158,0.0118,0.020
1.582000,-0.0009,-0.0111,-0.0049,0.012
1.583000,0.0015,0.0006,0.0022,0.003
1.583000,0.0038,-0.0019,0.0116,0.012
1.584000,-0.0033,-0.0091,-0.0004,0.010
1.585000,-0.0033,-0.0044,-0.0052,0.008
1.595000,-0.0010,0.0002,-0.0051,0.005
1.597000,0.0036,0.0025,-0.0099,0.011
1.600000,0.0012,0.0023,-0.0075,0.008
1.605000,0.0034,-0.0096,0.0068,0.012
1.610000,0.0008,-0.0214,0.0020,0.022
1.615000,-0.0040,-0.0213,-0.0075,0.023
1.619000,0.0078,-0.0163,0.0068,0.019
1.626000,0.0149,-0.0091,0.0186,0.026
1.630000,0.0030,0.0050,0.0042,0.007
