time,ax,ay,az,aT
0.003000,0.0265,-0.0426,-0.0920,0.105
0.003000,0.0896,-0.0896,0.0631,0.142
0.003000,0.0506,-0.1365,0.1148,0.185
0.009000,0.0219,-0.1166,0.0522,0.130
0.013000,0.0219,-0.0183,-0.0076,0.030
0.018000,0.0050,0.0841,-0.0194,0.086
0.023000,-0.0285,0.1146,-0.0264,0.121
0.028000,-0.0522,0.0856,-0.0357,0.106
0.038000,-0.0404,0.0136,-0.0164,0.046
0.045000,0.0189,-0.0697,0.0289,0.078
0.048000,0.0093,-0.0502,0.0120,0.052
0.052000,-0.0097,0.0024,-0.0023,0.010
0.057000,-0.0286,0.0475,-0.0071,0.056
0.062000,-0.0574,0.0663,-0.0260,0.091
0.067000,-0.0411,0.0469,-0.0424,0.075
0.072000,0.0107,0.0158,-0.0372,0.042
0.077000,0.0507,-0.0009,0.0011,0.051
0.082000,0.0623,-0.0153,0.0485,0.080
0.087000,0.0382,-0.0201,0.0410,0.060
0.092000,0.0071,-0.0176,0.0050,0.020
0.097000,-0.0168,-0.0078,0.0026,0.019
0.102000,-0.0264,0.0043,0.0074,0.028
0.106000,-0.0265,0.0259,-0.0117,0.039
0.112000,-0.0030,0.0378,-0.0353,0.052
0.117000,0.0324,0.0283,-0.0113,0.044
0.121000,0.0368,0.0236,0.0197,0.048
0.134000,0.0223,0.0071,0.0219,0.032
0.135000,-0.0088,-0.0140,-0.0045,0.017
0.137000,-0.0399,-0.0325,-0.0258,0.058
0.142000,-0.0378,-0.0342,-0.0113,0.052
0.146000,-0.0191,-0.0217,0.0196,0.035
0.151000,-0.0005,-0.0022,0.0005,0.002
0.156000,0.0182,0.0244,-0.0328,0.045
0.161000,0.0228,0.0245,-0.0159,0.037
0.166000,0.0107,0.0008,0.0175,0.021
0.177000,-0.0110,-0.0132,0.0340,0.038
0.181000,-0.0112,-0.0223,-0.0304,0.039
0.186000,0.0076,-0.0268,-0.0112,0.030
0.190000,0.0358,-0.0195,0.0174,0.044
0.195000,0.0284,-0.0170,0.0078,0.034
0.200000,0.0117,-0.0097,-0.0137,0.020
0.205000,-0.0025,0.0046,0.0031,0.006
0.210000,-0.0168,0.0093,0.0125,0.023
0.216000,-0.0384,-0.0121,-0.0208,0.045
0.220000,-0.0337,-0.0144,-0.0467,0.059
0.233000,-0.0051,-0.0167,-0.0226,0.029
0.234000,-0.0028,-0.0310,0.0108,0.033
0.235000,0.0184,-0.0142,0.0060,0.024
0.240000,0.0370,0.0167,0.0012,0.041
0.245000,-0.0037,0.0096,0.0060,0.012
0.250000,-0.0135,-0.0140,0.0035,0.020
0.255000,0.0287,0.0122,0.0202,0.037
0.261000,0.0376,0.0310,0.0342,0.060
0.265000,0.0256,0.0166,0.0102,0.032
0.269000,-0.0005,-0.0069,-0.0208,0.022
0.274000,0.0041,-0.0138,-0.0111,0.018
0.283000,0.0371,0.0291,0.0246,0.053
0.285000,-0.0105,0.0575,0.0339,0.068
0.290000,-0.0318,0.0432,-0.0186,0.057
0.294000,0.0136,0.0455,-0.0351,0.059
0.299000,-0.0126,0.0026,0.0055,0.014
0.304000,-0.0387,-0.0544,0.0197,0.070
0.314000,-0.0146,-0.0396,0.0172,0.046
0.319000,-0.0290,-0.0224,-0.0281,0.046
0.324000,-0.0006,-0.0152,-0.0207,0.026
0.335000,0.0017,-0.0152,0.0104,0.018
0.335000,0.0015,-0.0366,0.0103,0.038
0.339000,0.0038,-0.0316,-0.0017,0.032
0.344000,-0.0012,-0.0194,-0.0064,0.020
0.349000,-0.0014,-0.0191,-0.0016,0.019
0.354000,0.0078,-0.0212,0.0079,0.024
0.358000,0.0264,-0.0067,0.0007,0.027
0.364000,0.0474,0.0194,-0.0064,0.052
0.368000,0.0424,0.0287,-0.0063,0.052
0.373000,0.0185,0.0286,-0.0039,0.034
0.379000,0.0090,0.0190,0.0080,0.022
0.384000,-0.0171,0.0120,0.0174,0.027
0.389000,-0.0454,0.0171,0.0054,0.049
0.394000,-0.0430,0.0270,-0.0208,0.055
0.398000,-0.0219,0.0130,-0.0301,0.039
0.403000,0.0039,0.0059,-0.0085,0.011
0.407000,0.0371,0.0177,0.0224,0.047
0.412000,0.0536,0.0271,0.0246,0.065
0.417000,0.0344,0.0128,-0.0065,0.037
0.422000,0.0009,-0.0109,-0.0183,0.021
0.430000,-0.0205,-0.0107,-0.0086,0.025
0.433000,-0.0348,-0.0081,-0.0086,0.037
0.437000,-0.0324,-0.0103,-0.0180,0.038
0.443000,-0.0159,-0.0197,-0.0107,0.027
0.452000,0.0079,-0.0315,-0.0035,0.033
0.457000,0.0245,-0.0194,0.0084,0.032
0.462000,0.0029,-0.0263,0.0107,0.029
0.467000,-0.0282,-0.0259,0.0035,0.038
0.472000,-0.0427,-0.0136,-0.0131,0.047
0.477000,-0.0240,0.0034,-0.0154,0.029
0.482000,0.0042,0.0225,-0.0010,0.023
0.487000,0.0371,0.0343,0.0251,0.056
0.497000,0.0509,0.0532,0.0226,0.077
0.498000,0.0268,0.0435,0.0010,0.051
0.502000,0.0027,0.0267,-0.0014,0.027
0.507000,-0.0117,0.0434,0.0034,0.045
0.513000,-0.0165,0.0434,0.0081,0.047
0.517000,-0.0118,0.0482,0.0032,0.050
0.522000,-0.0026,0.0505,-0.0087,0.051
