time,ax,ay,az,aT
0.002000,0.1390,0.0197,0.0942,0.169
0.003000,0.0093,0.0013,0.0246,0.026
0.007000,-0.0874,-0.0339,-0.0493,0.106
0.011000,-0.0799,-0.0601,0.0176,0.102
0.016000,-0.0424,-0.0650,0.0270,0.082
0.021000,-0.0506,-0.0554,-0.0586,0.095
0.027000,-0.0605,-0.0289,-0.0510,0.084
0.031000,0.0063,-0.0073,0.0254,0.027
0.036000,0.1016,0.0212,0.0537,0.117
0.043000,0.1011,0.0377,0.0295,0.112
0.047000,0.0129,0.0303,-0.0135,0.036
0.051000,-0.0557,0.0254,-0.0253,0.066
0.056000,-0.0411,0.0109,-0.0132,0.044
0.061000,-0.0055,-0.0036,-0.0012,0.007
0.066000,-0.0154,-0.0083,0.0059,0.018
0.070000,-0.0296,-0.0059,0.0106,0.032
0.075000,-0.0128,0.0036,0.0082,0.016
0.080000,0.0156,0.0108,-0.0014,0.019
0.085000,0.0250,0.0202,0.0034,0.032
0.091000,0.0106,0.0200,0.0081,0.024
0.096000,-0.0014,0.0294,-0.0134,0.032
0.100000,-0.0062,0.0411,-0.0204,0.046
0.105000,-0.0038,0.0409,-0.0036,0.041
0.111000,-0.0037,0.0383,-0.0012,0.038
0.115000,-0.0108,0.0381,-0.0059,0.040
0.120000,-0.0061,0.0260,-0.0178,0.032
0.126000,0.0105,0.0163,-0.0129,0.023
0.130000,0.0126,0.0161,0.0015,0.021
0.135000,0.0005,0.0088,-0.0009,0.009
0.139000,-0.0163,-0.0007,-0.0056,0.017
0.145000,-0.0067,-0.0077,0.0039,0.011
0.150000,0.0171,-0.0147,0.0134,0.026
0.154000,0.0075,-0.0169,0.0038,0.019
0.166000,-0.0139,-0.0192,-0.0058,0.024
0.166000,-0.0209,-0.0380,-0.0033,0.044
0.169000,-0.0090,-0.0426,0.0014,0.044
0.175000,0.0052,-0.0328,-0.0009,0.033
0.179000,0.0098,-0.0421,0.0014,0.043
0.184000,0.0049,-0.0395,0.0014,0.040
0.189000,0.0001,-0.0368,0.0062,0.037
0.194000,0.0002,-0.0365,0.0109,0.038
0.199000,-0.0022,-0.0220,0.0060,0.023
0.204000,0.0025,-0.0171,-0.0035,0.018
0.209000,-0.0023,-0.0124,-0.0035,0.013
0.214000,-0.0095,-0.0076,0.0037,0.013
0.218000,0.0000,-0.0099,0.0036,0.011
0.223000,0.0095,-0.0027,0.0060,0.012
0.229000,0.0166,0.0020,0.0036,0.017
0.233000,0.0164,-0.0050,0.0012,0.017
0.241000,0.0021,-0.0002,0.0012,0.002
0.249000,-0.0074,0.0045,-0.0060,0.011
0.249000,-0.0097,-0.0050,-0.0012,0.011
0.253000,-0.0025,-0.0050,0.0107,0.012
0.258000,0.0070,-0.0001,0.0130,0.015
0.264000,0.0045,-0.0025,0.0034,0.006
0.269000,-0.0004,-0.0143,-0.0014,0.014
0.273000,-0.0051,-0.0166,-0.0038,0.018
0.278000,-0.0122,-0.0117,-0.0061,0.018
0.283000,-0.0121,0.0003,-0.0084,0.015
0.288000,-0.0073,0.0050,-0.0060,0.011
0.292000,-0.0073,0.0025,0.0059,0.010
0.297000,-0.0024,-0.0022,0.0011,0.003
0.303000,0.0024,-0.0094,-0.0060,0.011
0.309000,-0.0096,-0.0045,0.0012,0.011
0.313000,-0.0143,-0.0022,0.0012,0.015
0.317000,0.0023,-0.0023,0.0035,0.005
0.323000,0.0070,0.0024,0.0106,0.013
0.328000,0.0093,0.0047,0.0058,0.012
0.332000,0.0139,0.0070,0.0010,0.016
0.337000,0.0019,-0.0003,0.0010,0.002
0.344000,0.0019,-0.0075,-0.0085,0.011
0.348000,0.0043,-0.0122,0.0011,0.013
0.352000,0.0042,-0.0169,0.0201,0.027
0.357000,-0.0030,-0.0168,0.0104,0.020
0.362000,-0.0101,-0.0119,-0.0039,0.016
0.367000,-0.0052,0.0001,-0.0063,0.008
0.371000,-0.0005,-0.0024,0.0009,0.003
0.377000,0.0019,-0.0095,0.0151,0.018
0.381000,0.0019,-0.0141,0.0103,0.018
0.386000,-0.0029,-0.0117,-0.0064,0.014
0.391000,-0.0028,-0.0044,-0.0064,0.008
0.397000,-0.0051,0.0051,0.0032,0.008
0.401000,-0.0051,0.0002,0.0055,0.008
0.406000,0.0020,0.0026,-0.0040,0.005
0.412000,-0.0004,0.0121,-0.0064,0.014
0.416000,-0.0148,0.0119,-0.0111,0.022
0.421000,-0.0124,0.0189,-0.0062,0.023
0.426000,-0.0028,0.0282,0.0033,0.029
0.431000,-0.0075,0.0233,0.0009,0.024
0.436000,-0.0027,0.0136,0.0009,0.014
0.441000,0.0021,0.0040,-0.0015,0.005
0.446000,-0.0026,-0.0032,0.0104,0.011
0.450000,0.0046,-0.0102,0.0175,0.021
0.455000,0.0141,-0.0149,0.0054,0.021
0.463000,0.0068,-0.0171,0.0006,0.018
0.466000,-0.0005,-0.0217,0.0030,0.022
0.470000,-0.0005,-0.0120,0.0054,0.013
0.477000,-0.0028,-0.0024,0.0053,0.006
0.480000,-0.0075,-0.0047,0.0053,0.010
0.485000,-0.0004,0.0024,0.0005,0.003
0.492000,0.0044,0.0024,0.0076,0.009
0.496000,-0.0004,0.0000,0.0147,0.015
0.500000,-0.0075,-0.0095,-0.0021,0.012
0.506000,-0.0074,-0.0212,0.0051,0.023
0.510000,0.0021,-0.0188,0.0145,0.024
0.516000,0.0068,-0.0140,0.0049,0.016
0.520000,0.0019,-0.0021,-0.0023,0.004
0.527000,-0.0052,0.0098,-0.0022,0.011
0.530000,-0.0075,0.0216,0.0025,0.023
0.536000,-0.0075,0.0238,-0.0022,0.025
0.541000,-0.0003,0.0164,-0.0046,0.017
