time,ax,ay,az,aT
0.004000,-0.1296,0.0224,-0.0333,0.136
0.004000,-0.0559,-0.0248,-0.0212,0.065
0.006000,0.0338,-0.0505,0.0194,0.064
0.010000,0.0594,-0.0807,0.0572,0.115
0.016000,0.0424,-0.1036,0.0163,0.113
0.020000,0.0278,-0.1195,-0.0241,0.125
0.025000,0.0322,-0.0950,0.0188,0.102
0.030000,0.0084,-0.0565,0.0329,0.066
0.035000,-0.0249,-0.0300,-0.0220,0.045
0.040000,-0.0131,-0.0276,-0.0503,0.059
0.045000,0.0223,-0.0229,-0.0166,0.036
0.050000,0.0364,0.0174,0.0049,0.041
0.055000,0.0246,0.0409,-0.0070,0.048
0.060000,0.0175,0.0380,0.0026,0.042
0.067000,0.0055,0.0469,0.0120,0.049
0.069000,-0.0182,0.0488,-0.0118,0.053
0.074000,-0.0253,0.0318,-0.0212,0.046
0.079000,-0.0039,0.0148,-0.0068,0.017
0.084000,0.0221,0.0171,0.0099,0.030
0.092000,0.0459,0.0218,0.0169,0.054
0.095000,0.0482,0.0217,0.0121,0.054
0.099000,0.0244,0.0336,0.0167,0.045
0.104000,0.0054,0.0453,0.0118,0.047
0.109000,0.0128,0.0452,-0.0073,0.048
0.114000,0.0224,0.0428,-0.0168,0.051
0.119000,0.0178,0.0403,0.0071,0.045
0.124000,0.0155,0.0237,0.0284,0.040
0.129000,0.0277,0.0096,0.0210,0.036
0.134000,0.0256,0.0003,-0.0005,0.026
0.139000,0.0045,-0.0161,-0.0124,0.021
0.144000,-0.0070,-0.0349,0.0019,0.036
0.149000,-0.0232,-0.0606,-0.0005,0.065
0.153000,-0.0538,-0.0863,-0.0124,0.102
0.159000,-0.0176,-0.0666,-0.0146,0.070
0.164000,0.0228,-0.0425,-0.0192,0.052
0.168000,-0.0416,-0.0567,-0.0024,0.070
0.174000,-0.0194,-0.0065,0.0094,0.023
0.178000,0.0810,0.0718,-0.0073,0.109
0.183000,0.0305,0.0567,-0.0191,0.067
0.189000,-0.0601,0.0157,-0.0141,0.064
0.193000,-0.0406,0.0369,-0.0164,0.057
0.198000,0.0144,0.0722,0.0051,0.074
0.202000,0.0142,0.0833,0.0264,0.089
0.208000,-0.0072,0.0826,0.0049,0.083
0.213000,0.0048,0.0845,-0.0047,0.085
