time,ax,ay,az,aT
0.003000,0.1534,0.0817,0.1503,0.230
0.003000,0.1531,0.0568,0.1063,0.195
0.003000,0.1081,0.0178,0.0579,0.124
0.008000,0.0204,-0.0352,0.0408,0.058
0.013000,-0.0813,-0.0756,0.0120,0.112
0.018000,-0.1165,-0.0915,-0.0451,0.155
0.023000,-0.0737,-0.0998,-0.0685,0.142
0.027000,-0.0195,-0.1151,-0.0418,0.124
0.033000,0.0132,-0.1279,0.0037,0.129
0.037000,0.0249,-0.1314,0.0250,0.136
0.044000,0.0298,-0.1209,0.0319,0.129
0.047000,0.0370,-0.0867,0.0269,0.098
0.052000,0.0203,-0.0409,0.0006,0.046
0.057000,-0.0060,-0.0120,-0.0160,0.021
0.062000,-0.0181,-0.0119,-0.0159,0.027
0.067000,-0.0300,-0.0024,-0.0110,0.032
0.072000,-0.0134,0.0045,-0.0133,0.019
0.077000,0.0175,0.0136,0.0058,0.023
0.087000,0.0318,0.0229,0.0200,0.044
0.092000,0.0104,0.0416,0.0009,0.043
0.097000,-0.0133,0.0364,0.0032,0.039
0.101000,-0.0275,0.0433,-0.0063,0.052
0.106000,-0.0179,0.0478,-0.0300,0.059
0.111000,0.0010,0.0284,-0.0155,0.032
0.117000,0.0056,0.0164,0.0084,0.019
0.121000,0.0056,0.0209,0.0131,0.025
0.127000,0.0105,0.0088,0.0082,0.016
0.131000,0.0035,-0.0079,0.0010,0.009
0.136000,-0.0059,-0.0126,-0.0037,0.014
0.142000,-0.0129,-0.0149,-0.0085,0.022
0.150000,-0.0129,-0.0219,-0.0036,0.026
0.151000,0.0013,-0.0287,-0.0012,0.029
0.156000,0.0108,-0.0261,-0.0012,0.028
0.161000,0.0179,-0.0189,0.0130,0.029
0.166000,0.0252,-0.0216,0.0177,0.038
0.171000,0.0421,-0.0242,0.0199,0.052
0.177000,0.0423,-0.0246,0.0174,0.052
0.181000,0.0307,-0.0227,0.0172,0.042
0.186000,0.0193,-0.0162,0.0242,0.035
0.190000,0.0031,-0.0170,0.0169,0.024
0.195000,0.0013,-0.0179,0.0120,0.022
0.205000,0.0044,-0.0097,0.0119,0.016
0.210000,0.0336,-0.0184,0.0356,0.052
0.216000,0.0177,-0.0228,0.0401,0.049
0.220000,0.0113,-0.0445,0.0826,0.095
0.225000,0.0217,-0.0617,0.1247,0.141
0.230000,0.0253,-0.0641,0.0264,0.074
0.235000,0.0217,-0.0760,-0.0687,0.105
0.240000,0.0059,-0.1003,-0.0040,0.101
0.250000,-0.0002,-0.1157,0.1196,0.166
0.250000,0.0321,-0.0999,0.0997,0.145
0.254000,0.0526,-0.0934,-0.0102,0.108
0.259000,0.0418,-0.1230,-0.0005,0.130
0.265000,0.0264,-0.1297,0.1112,0.173
0.270000,0.0257,-0.0986,0.1484,0.180
0.274000,0.0209,-0.0865,0.0618,0.108
0.279000,-0.0126,-0.0839,0.0021,0.085
0.284000,-0.0558,-0.0669,0.0022,0.087
0.289000,-0.0754,-0.0476,-0.0238,0.092
0.294000,-0.0690,-0.0257,-0.0496,0.089
0.299000,-0.0438,-0.0064,-0.0276,0.052
0.304000,-0.0210,0.0221,0.0131,0.033
0.310000,-0.0077,0.0529,0.0464,0.071
0.314000,-0.0086,0.0813,0.0248,0.085
0.324000,0.0320,0.1209,-0.0774,0.147
0.329000,0.1995,0.1555,-0.1266,0.283
0.334000,0.0227,0.1707,0.1452,0.225
0.338000,-0.1074,0.1697,0.0988,0.224
0.345000,-0.1997,0.1767,-0.1679,0.315
0.348000,-0.2717,0.1700,-0.2828,0.427
0.353000,-0.2593,0.1492,-0.2282,0.376
0.361000,-0.1542,0.1694,-0.1028,0.251
0.363000,-0.0351,0.1974,-0.0450,0.206
0.368000,0.0551,0.1803,-0.0233,0.190
0.373000,0.0973,0.1513,0.0458,0.186
0.378000,0.0800,0.1274,0.0430,0.156
0.383000,0.0370,0.1063,-0.0239,0.115
0.388000,-0.0010,0.0830,-0.0333,0.089
0.393000,-0.0295,0.0622,-0.0070,0.069
0.398000,-0.0461,0.0464,-0.0188,0.068
0.402000,-0.0461,0.0356,-0.0543,0.080
0.408000,-0.0248,0.0105,-0.0610,0.067
0.413000,0.0033,-0.0290,-0.0131,0.032
0.418000,0.0242,-0.0590,0.0131,0.065
0.426000,0.0311,-0.0726,0.0083,0.079
0.427000,0.0335,-0.0913,0.0201,0.099
0.432000,0.0384,-0.1029,0.0128,0.111
0.443000,0.0194,-0.1053,-0.0039,0.107
0.447000,-0.0113,-0.1220,0.0009,0.123
0.452000,-0.0038,-0.1267,0.0081,0.127
0.457000,-0.0036,-0.1291,0.0080,0.129
0.463000,-0.0011,-0.1291,0.0104,0.130
0.468000,0.0110,-0.1268,0.0317,0.131
0.475000,0.0327,-0.0912,0.0433,0.106
0.482000,0.0258,-0.0487,0.0311,0.063
0.482000,0.0022,-0.0180,0.0095,0.021
0.488000,-0.0094,0.0103,-0.0072,0.016
0.492000,-0.0187,0.0435,-0.0166,0.050
0.498000,-0.0186,0.0671,-0.0165,0.072
0.502000,-0.0234,0.0860,-0.0116,0.090
0.507000,-0.0187,0.0882,0.0098,0.091
0.512000,0.0027,0.0882,0.0169,0.090
0.517000,0.0193,0.0953,0.0024,0.097
0.522000,0.0192,0.0883,0.0048,0.090
0.528000,0.0025,0.0765,-0.0024,0.077
0.532000,-0.0093,0.0626,-0.0167,0.065
0.537000,-0.0164,0.0486,-0.0166,0.054
0.542000,-0.0140,0.0299,-0.0070,0.034
0.547000,0.0003,0.0041,-0.0046,0.006
0.552000,0.0074,-0.0170,0.0049,0.019
0.564000,0.0076,-0.0407,0.0073,0.042
