time,wx,wy,wz
0.005,0,0,0.01
0.005,0,0,0.01
0.005,0,0,0.01
0.005,0,0,0.01
0.006,0,0,0.01
0.006,0,0,0.01
0.006,0,0,0.01
0.011,0,0,0.01
0.011,-0.01,0,0.01
0.012,-0.01,0,0.01
0.014,-0.01,0,0.01
0.017,-0.01,0,0.01
0.019,-0.01,0,0.01
0.031,-0.01,0,0.01
0.032,-0.01,0,0.01
0.032,-0.01,0,0.02
0.032,-0.01,0,0.02
0.032,-0.01,0,0.02
0.034,-0.01,-0.01,0.02
0.04,-0.01,0,0.02
0.04,-0.01,0,0.02
0.042,0,0,0.02
0.044,0,0.01,0.02
0.047,0,0,0.02
0.05,0,0.01,0.02
0.052,0,0.01,0.02
0.056,0,0.01,0.02
0.057,0,0.01,0.02
0.058,0,0.01,0.02
0.061,0,0.01,0.02
0.064,0,0.01,0.02
0.066,0.01,0.01,0.02
0.069,0,0.01,0.02
0.071,0.01,0.01,0.02
0.074,0,0.01,0.02
0.077,0,0,0.02
0.079,0,0,0.02
0.082,0,0,0.02
0.084,0,0,0.02
0.089,0,0,0.02
0.089,0,0,0.02
0.091,0,-0.01,0.02
0.094,0,-0.01,0.02
0.096,0,-0.01,0.02
0.098,0,-0.01,0.02
0.101,0,-0.01,0.02
0.104,0,-0.01,0.02
0.106,0,-0.01,0.02
0.11,0,0,0.02
0.113,0,0,0.02
0.114,0,0,0.02
0.116,0,0,0.02
0.119,0,0,0.02
0.123,0,0,0.02
0.124,0,0,0.02
0.127,0,0,0.02
0.128,0,0,0.02
0.131,0,0,0.02
0.133,0,0,0.02
0.136,0,0,0.01
0.143,0,0,0.02
0.144,0,0,0.02
0.145,0,0,0.02
0.146,0,0,0.02
0.148,0,0,0.02
0.15,0,0,0.02
0.155,0,0,0.02
0.156,0,0,0.02
0.158,0,0,0.02
0.16,0,0,0.02
0.162,0,0,0.02
0.165,0,0,0.02
0.167,0,0,0.02
0.17,0,0,0.02
0.172,0,0,0.02
0.175,0,0,0.02
0.177,0,0,0.02
0.18,0,0,0.02
0.182,0,0,0.02
0.185,0,0,0.02
0.187,0,0,0.02
0.19,0,0,0.02
0.192,0,0,0.02
0.195,0,0,0.02
0.198,0,0,0.02
0.2,0,0,0.02
0.201,0,0,0.02
0.205,0,0,0.02
0.207,0,0,0.02
0.21,0,0,0.02
0.213,0,0,0.02
0.215,0,0,0.02
0.217,0,0,0.02
0.219,0,0,0.02
0.222,0,0,0.01
0.224,0,0,0.02
0.227,0,0,0.01
0.229,0,0,0.01
0.232,0,0,0.01
0.234,0,0,0.01
0.237,0,0,0.01
0.24,0,0,0.01
0.242,0,0,0.01
0.244,0,0,0.01
0.247,0,0,0.01
0.249,0,0,0.01
0.251,0,0,0.01
0.254,0,0,0.01
0.256,0,0,0.01
0.258,0,0,0.01
0.261,0,0,0.01
0.263,0,0,0.01
0.266,0,0,0.01
0.268,0,0,0.01
0.271,0,0,0.01
0.274,0,0,0.01
0.276,0,0,0.01
0.278,0,0,0.01
0.281,0,0,0.01
0.283,0,0,0.01
0.286,0,0,0.01
0.288,0,0,0.01
0.291,0,0,0.01
0.293,0,0,0.01
0.296,0,0,0.01
0.299,0,0,0.01
0.3,0,0,0.01
0.304,0,0,0.01
0.307,0,0,0.01
0.308,0,0,0.01
0.311,0,0,0.01
0.313,0,0,0.01
0.316,0,0,0.01
0.319,0,0,0.01
0.322,0,0,0.01
0.323,0,0,0.01
0.326,0,0.01,0.01
0.328,0,0,0.01
0.33,0,0,0
0.333,0,0,0
0.336,0,0,0.01
0.34,0,0,0.01
0.34,0,0,0.01
0.343,0,0,0.01
0.345,0,0,0.01
0.348,0,0,0
0.35,0,0,0.01
0.352,0,0,0.01
0.356,0,0,0.01
0.357,0,0,0.01
0.36,0,0,0.01
0.362,0,0,0.01
0.365,0,0,0.01
0.367,0,0,0
0.37,0,0,0
0.373,0,0,0
0.375,0,0,0
0.377,0,0,0
0.38,0,0,0
0.382,0,0,0
0.385,0,0,0
0.388,0,0,0
0.39,0,0,0
0.392,0,0,0
0.394,0,0,0
0.397,0,0,0
0.399,0,0,0
0.402,0,0,0
0.404,0,0,0
0.407,0,0,0
0.409,0,0,0
0.412,0,0,0
0.414,0,0,0
0.417,0,0,0
0.419,0,0,0
0.422,0,0,0
0.426,0,0,0
0.427,0,0,0
0.43,0,0,0
0.432,0,0,0
0.434,0,0,0
0.44,0,0,0
0.44,0,0,0
0.442,0,0,0
0.444,0,0,0
0.446,0,0,0
0.448,0,0,0
0.452,0,0,0
0.454,0,0,0
0.457,0,0,0
0.458,0,0,0
0.464,0,0,0
0.464,0,0,0
0.467,0,0,0
0.474,0,0,0
0.475,0,0,0
0.476,0,0,0
0.477,0,0,0
0.479,0,0,0
0.485,0,0,0
0.485,0,0,0
0.486,0,0,0
0.489,0,0,0
0.492,0,0,0
0.494,0,0.01,0
