time,wx,wy,wz
0.459,-0.00,0.01,0.02
0.462,-0.00,0.01,0.02
0.463,-0.00,0.00,0.02
0.465,-0.00,0.00,0.02
0.469,-0.00,0.00,0.02
0.471,-0.00,-0.00,0.02
0.473,-0.00,0.00,0.02
0.476,-0.00,0.00,0.02
0.478,-0.00,0.00,0.02
0.48,-0.00,0.00,0.02
0.482,-0.00,0.00,0.02
0.485,-0.00,0.00,0.02
0.487,-0.00,0.00,0.02
0.489,-0.00,0.00,0.02
0.492,-0.00,0.00,0.02
0.494,-0.00,0.00,0.02
0.497,0.00,0.00,0.02
0.5,0.00,0.00,0.02
0.502,-0.00,0.00,0.02
0.504,-0.00,0.00,0.02
0.507,-0.00,0.00,0.02
0.509,-0.00,-0.00,0.02
0.512,-0.00,0.00,0.02
0.514,-0.00,-0.00,0.02
0.517,-0.00,0.00,0.02
0.52,-0.00,-0.00,0.02
0.522,-0.00,-0.00,0.02
0.527,-0.00,-0.00,0.01
0.527,-0.00,0.00,0.01
0.529,-0.00,0.00,0.01
0.532,0.00,0.00,0.01
0.535,-0.00,0.00,0.01
0.537,-0.00,0.00,0.01
0.539,-0.00,0.00,0.01
0.542,-0.00,0.00,0.01
0.544,-0.00,0.00,0.01
0.546,-0.00,0.00,0.01
0.55,-0.00,0.00,0.01
0.552,-0.00,0.00,0.01
0.556,-0.00,0.00,0.01
0.556,-0.00,-0.00,0.01
0.559,-0.00,0.00,0.01
0.562,-0.00,-0.00,0.01
0.564,-0.00,0.00,0.01
0.566,-0.00,0.00,0.01
0.569,-0.00,0.00,0.01
0.571,-0.00,0.00,0.01
0.574,-0.00,0.00,0.01
0.577,0.00,0.00,0.01
0.579,0.00,0.00,0.01
0.581,0.00,0.00,0.01
0.584,0.00,0.00,0.01
0.586,0.00,0.00,0.01
0.589,-0.00,0.00,0.01
0.591,0.00,0.00,0.01
0.593,0.00,0.00,0.01
0.596,0.00,0.00,0.01
0.599,0.00,0.00,0.01
0.601,-0.00,0.00,0.01
0.604,-0.00,0.00,0.01
0.606,-0.00,0.00,0.01
0.608,-0.00,0.00,0.01
0.611,-0.00,0.00,0.01
0.614,-0.00,0.00,0.01
0.616,-0.00,0.00,0.01
0.619,-0.00,0.00,0.01
0.62,-0.00,0.00,0.01
0.624,-0.00,0.00,0.01
0.627,-0.00,0.00,0.01
0.628,0.00,0.00,0.01
0.631,-0.00,0.00,0.01
0.633,-0.00,0.00,0.01
0.636,0.00,0.00,0.01
0.638,-0.00,-0.00,0.01
0.64,0.00,0.00,0.02
0.644,-0.00,0.00,0.01
0.645,0.00,0.00,0.02
0.648,0.00,-0.00,0.02
0.65,0.00,0.00,0.02
0.652,0.00,-0.00,0.02
0.655,-0.00,0.00,0.02
0.658,0.00,0.00,0.02
0.66,-0.00,0.00,0.02
0.664,0.00,0.00,0.02
0.665,-0.00,0.00,0.02
0.667,-0.00,0.00,0.02
0.671,0.00,0.00,0.02
0.672,0.00,0.00,0.02
0.677,0.00,0.00,0.02
0.678,0.00,0.00,0.02
0.68,0.00,0.00,0.02
0.682,0.00,0.00,0.02
0.684,-0.00,0.00,0.02
0.688,-0.00,0.00,0.02
0.689,0.00,0.00,0.02
0.691,0.00,0.00,0.02
0.694,0.00,0.00,0.02
0.696,-0.00,0.00,0.03
0.7,0.00,0.00,0.03
0.702,0.00,0.00,0.03
0.705,-0.00,0.00,0.03
0.706,-0.00,0.00,0.03
0.71,-0.00,0.00,0.02
0.711,-0.00,0.00,0.02
0.714,-0.00,0.00,0.02
0.716,-0.00,0.00,0.02
0.719,-0.00,0.00,0.02
0.721,-0.00,0.00,0.02
0.724,-0.00,0.00,0.02
0.726,-0.00,0.00,0.02
0.729,-0.00,0.00,0.02
0.731,-0.00,0.00,0.02
0.734,-0.00,0.00,0.02
0.736,-0.00,0.00,0.02
0.739,-0.00,0.00,0.02
0.741,-0.00,0.00,0.02
0.743,-0.00,0.00,0.02
0.746,-0.00,0.00,0.02
0.748,-0.00,0.00,0.02
0.751,-0.00,0.00,0.02
0.753,-0.00,0.00,0.02
0.756,-0.00,0.00,0.02
0.758,-0.00,-0.00,0.02
0.761,-0.00,0.00,0.02
0.763,-0.00,0.00,0.02
0.766,-0.00,0.00,0.02
0.768,-0.00,0.00,0.02
0.771,-0.00,0.00,0.02
0.773,-0.00,0.00,0.02
0.775,-0.00,0.00,0.02
0.778,-0.00,0.00,0.02
0.781,-0.00,0.00,0.02
0.783,-0.00,0.00,0.01
0.785,0.00,0.00,0.01
0.788,-0.00,0.00,0.02
0.79,-0.00,0.00,0.01
0.792,-0.00,0.00,0.01
0.795,-0.00,0.00,0.01
0.798,-0.00,-0.00,0.01
0.8,-0.00,0.00,0.01
0.803,-0.00,0.00,0.01
0.805,-0.00,-0.00,0.01
0.808,-0.00,0.00,0.01
0.811,-0.00,0.00,0.01
0.813,-0.00,0.00,0.01
0.816,-0.00,0.00,0.01
0.818,-0.00,0.00,0.01
0.821,-0.00,0.00,0.01
0.823,0.00,0.00,0.01
0.826,0.00,0.00,0.01
0.828,-0.00,0.00,0.01
0.83,-0.00,0.00,0.01
0.833,0.00,0.00,0.01
0.835,0.00,0.01,0.01
0.838,0.00,0.00,0.01
0.84,0.00,0.00,0.01
0.847,0.00,0.00,0.01
0.847,0.00,0.00,0.01
0.848,-0.00,0.00,0.01
0.85,0.00,0.00,0.01
0.852,-0.00,0.00,0.01
0.856,0.00,0.00,0.00
0.857,-0.00,0.00,0.01
0.861,-0.00,0.00,0.00
0.862,-0.00,0.00,0.01
0.864,-0.00,0.00,0.00
0.867,0.00,0.00,0.00
0.869,-0.00,0.00,0.00
0.872,-0.00,0.00,0.00
0.876,-0.00,0.00,0.00
0.878,-0.00,0.00,0.00
0.883,-0.00,0.00,0.00
0.884,-0.00,0.00,0.00
0.884,-0.00,-0.00,0.00
0.887,-0.00,0.00,0.00
0.889,-0.00,0.00,0.00
0.892,-0.00,0.00,0.00
0.894,0.00,0.00,-0.00
0.896,-0.00,0.00,0.00
0.899,0.00,0.00,-0.00
0.901,-0.00,0.00,-0.00
0.904,-0.00,0.00,-0.00
0.907,0.00,0.00,-0.00
0.91,0.00,0.00,-0.00
0.911,-0.00,0.00,-0.00
0.914,0.00,0.00,-0.00
0.919,0.00,0.00,-0.00
0.92,-0.00,0.00,-0.00
0.921,-0.00,-0.00,-0.00
0.924,0.00,0.00,-0.00
0.926,0.00,0.00,-0.00
0.929,0.00,0.00,-0.00
0.931,0.00,0.00,-0.00
0.933,0.00,0.00,-0.00
0.936,0.00,0.00,-0.00
0.938,0.00,0.00,-0.00
0.945,0.00,0.00,-0.00
0.947,0.00,0.00,-0.00
0.947,0.00,0.00,-0.00
0.948,0.00,0.00,0.00
0.951,0.00,0.00,0.00
0.955,0.00,0.00,-0.00
0.956,0.00,0.00,-0.00
0.961,0.00,0.00,-0.00
0.962,0.00,0.00,-0.00
0.963,0.00,0.00,0.00
0.966,0.00,0.00,0.00
0.968,0.00,0.00,0.00
0.97,0.00,0.00,0.00
0.973,-0.00,0.00,0.00
0.976,-0.00,0.00,0.00
0.978,-0.00,0.00,0.00
0.981,-0.00,0.00,0.00
0.983,-0.00,0.00,0.00
0.985,-0.00,0.00,-0.00
0.988,0.00,0.00,-0.00
0.99,-0.00,0.00,-0.00
0.992,-0.00,0.00,0.00
0.995,-0.00,0.00,0.00
0.998,0.00,0.00,0.00
1,0.00,0.00,-0.00
1.003,-0.00,0.00,-0.00
1.005,-0.00,0.00,-0.00
1.008,-0.00,0.00,-0.00
1.011,-0.00,0.00,-0.00
1.013,-0.00,0.00,-0.00
1.015,-0.00,0.00,-0.00
1.018,-0.00,0.00,-0.00
1.02,-0.00,-0.00,-0.00
1.022,-0.00,-0.00,0.00
1.026,-0.00,-0.00,0.00
1.027,-0.00,-0.00,-0.00
1.03,-0.00,0.00,0.00
1.032,-0.00,-0.00,0.00
1.035,-0.00,-0.00,0.00
1.037,-0.00,-0.00,0.00
1.04,-0.00,-0.00,0.00
1.045,-0.00,-0.00,0.00
1.045,-0.00,0.00,0.00
1.05,-0.00,0.00,0.00
1.051,-0.00,-0.00,0.00
1.051,-0.00,0.00,0.00
1.055,-0.00,0.00,-0.00
1.057,-0.00,0.01,-0.00
1.061,-0.00,0.00,0.00
1.062,-0.00,0.00,0.00
1.064,-0.00,0.00,0.00
1.067,-0.00,0.00,0.00
1.069,0.00,0.00,0.00
1.072,-0.00,-0.00,0.00
1.074,0.00,-0.00,0.01
1.077,0.00,-0.00,0.01
1.08,-0.00,-0.00,0.01
1.082,-0.00,0.00,0.01
1.084,-0.00,0.00,0.01
1.087,0.00,0.00,0.00
1.089,-0.00,0.01,0.01
1.092,-0.00,0.00,0.01
1.093,-0.00,0.00,0.01
1.096,-0.00,0.00,0.01
1.099,-0.00,0.00,0.01
1.101,-0.00,0.00,0.01
1.104,-0.00,0.00,0.01
1.106,-0.00,0.00,0.01
1.11,-0.00,0.00,0.01
1.113,-0.00,0.00,0.01
1.114,-0.00,0.00,0.00
1.116,-0.00,0.00,0.01
1.119,-0.00,0.00,0.01
1.121,-0.00,0.00,0.01
1.124,-0.00,0.00,0.00
1.127,-0.00,-0.00,0.01
1.13,-0.00,0.00,0.01
1.131,-0.00,0.00,0.01
1.134,-0.00,-0.00,0.01
1.136,-0.00,-0.00,0.00
1.139,-0.00,0.00,0.01
1.146,-0.00,0.00,0.00
1.147,-0.00,-0.00,0.00
1.147,-0.00,0.00,0.00
1.152,0.00,-0.00,0.00
1.152,-0.00,0.00,0.00
1.153,-0.00,0.00,0.00
1.156,0.00,0.00,0.00
1.16,-0.00,-0.00,0.00
1.162,0.00,0.00,0.00
1.163,-0.00,0.00,0.00
1.166,-0.00,0.00,0.00
1.168,-0.00,0.00,0.00
1.17,0.00,0.00,0.00
1.173,-0.00,0.00,0.00
1.176,-0.00,0.00,0.00
1.178,-0.00,0.00,0.00
1.181,-0.00,0.00,0.00
1.183,0.00,0.00,0.00
1.185,0.00,0.00,0.00
1.188,-0.00,0.00,-0.00
1.19,0.00,0.00,0.00
1.195,0.00,0.00,0.00
1.195,-0.00,0.01,0.00
1.198,-0.00,0.00,-0.00
1.2,0.00,0.00,0.00
1.203,-0.00,0.00,-0.00
1.205,0.00,0.00,0.00
1.212,0.00,0.00,-0.00
1.213,0.00,0.00,0.00
1.213,0.00,0.00,-0.00
1.216,0.00,-0.00,0.00
1.219,0.00,-0.00,0.00
1.221,0.00,-0.00,0.00
1.223,-0.00,0.00,0.00
1.227,0.00,0.00,-0.00
1.229,0.00,0.00,-0.00
1.23,0.00,0.00,-0.00
1.233,-0.00,0.00,0.00
1.236,0.00,0.00,-0.00
1.239,-0.00,0.00,-0.00
1.241,0.00,0.00,-0.00
1.246,0.00,0.01,-0.00
1.247,0.00,0.00,-0.00
1.248,0.00,0.00,-0.00
1.25,-0.00,0.01,-0.00
1.252,-0.00,0.00,-0.00
1.255,-0.00,0.00,-0.00
1.261,0.00,0.00,-0.00
1.262,-0.00,0.00,-0.00
1.265,-0.00,0.00,-0.00
1.265,-0.00,0.00,-0.00
1.267,-0.00,0.00,-0.00
1.27,0.00,0.00,-0.00
1.272,-0.00,0.00,-0.00
1.275,-0.00,0.00,-0.00
1.277,-0.00,-0.00,-0.00
1.28,-0.00,-0.00,-0.00
1.282,-0.00,0.00,-0.00
1.284,-0.00,0.00,-0.00
1.287,-0.00,-0.00,-0.00
1.29,-0.00,-0.00,-0.00
1.292,-0.00,-0.00,0.00
1.296,-0.00,-0.00,-0.00
1.297,-0.00,0.00,-0.00
1.299,-0.00,0.00,0.00
1.302,-0.00,0.00,0.00
1.305,-0.00,0.00,-0.00
1.307,-0.00,0.00,0.00
1.311,-0.00,0.00,0.00
1.312,-0.00,0.00,0.00
1.314,-0.00,0.00,0.00
1.317,-0.00,-0.00,0.00
1.319,-0.00,0.00,0.00
1.322,-0.00,0.00,0.00
1.324,-0.00,0.00,0.01
1.326,-0.00,0.00,0.01
1.33,-0.00,-0.00,0.01
1.332,-0.00,0.00,0.00
1.334,-0.00,0.00,0.01
1.337,-0.00,0.00,0.01
1.339,-0.00,0.00,0.01
1.341,-0.00,0.00,0.01
1.347,-0.00,0.00,0.00
1.347,-0.00,0.00,0.00
1.349,-0.00,0.00,0.01
1.351,-0.00,0.00,0.01
1.354,-0.00,0.00,0.01
1.356,-0.00,0.00,0.01
1.358,-0.00,0.00,0.01
1.36,-0.00,0.00,0.01
1.363,-0.00,-0.00,0.01
1.366,-0.00,-0.00,0.00
1.369,-0.00,0.00,0.01
1.371,-0.00,-0.00,0.00
1.373,-0.00,0.00,0.01
1.377,-0.00,0.00,0.01
1.379,-0.00,-0.00,0.01
1.38,-0.00,-0.00,0.01
1.383,-0.00,0.00,0.01
1.386,-0.00,-0.00,0.01
1.389,-0.00,-0.00,0.01
1.391,-0.00,0.00,0.01
1.393,-0.00,0.00,0.01
1.395,-0.00,-0.00,0.00
1.397,-0.00,0.00,0.00
1.4,-0.00,-0.00,0.00
1.402,-0.00,-0.00,0.00
1.406,-0.00,0.00,0.00
1.407,0.00,0.00,0.00
1.412,-0.00,0.00,0.00
1.413,0.00,0.00,0.00
1.416,0.00,0.00,0.00
1.417,-0.00,0.00,0.00
1.42,-0.00,0.00,0.00
1.422,-0.00,0.00,0.00
1.429,-0.00,-0.00,0.01
1.429,-0.00,-0.00,0.01
1.43,-0.00,0.00,0.00
1.434,-0.00,0.00,0.00
1.436,0.00,0.00,0.00
1.438,-0.00,0.00,0.00
1.44,-0.00,0.00,0.00
1.444,-0.00,0.00,0.00
1.449,-0.00,0.00,0.00
1.449,-0.00,0.00,0.00
1.45,-0.00,0.00,0.00
1.452,-0.00,0.00,0.00
1.454,-0.00,0.00,0.00
1.458,-0.00,0.00,0.00
1.46,-0.00,-0.00,0.00
1.464,-0.00,0.00,0.00
1.464,-0.00,-0.00,0.00
1.467,-0.00,0.00,0.00
1.47,-0.00,0.00,0.00
1.472,-0.00,0.00,0.00
1.475,-0.00,0.00,0.00
1.477,-0.00,0.00,0.00
1.48,-0.00,0.00,0.00
1.482,-0.00,0.00,0.00
1.485,-0.00,0.00,0.00
1.487,0.00,0.00,0.00
