time,wx,wy,wz
0.003,-0.01,-0.01,0.01
0.004,-0.01,-0.01,0.01
0.004,-0.01,-0.01,0.01
0.004,-0.01,-0.01,0.01
0.004,-0.01,-0.01,0.01
0.004,-0.00,-0.00,0.01
0.004,-0.00,0.00,0.01
0.01,-0.00,0.00,0.01
0.011,-0.00,0.00,0.01
0.011,0.00,0.00,0.01
0.012,0.00,0.00,0.01
0.014,0.00,0.01,0.01
0.017,0.00,0.00,0.01
0.027,0.00,0.00,0.01
0.028,0.00,0.00,0.01
0.028,0.00,0.00,0.01
0.028,0.00,-0.00,0.01
0.029,0.00,-0.00,0.01
0.032,0.00,0.00,0.01
0.036,0.00,0.00,0.01
0.037,0.00,-0.00,0.00
0.039,0.00,-0.00,0.00
0.041,0.00,-0.00,0.00
0.043,0.00,0.00,0.01
0.046,0.00,-0.00,0.01
0.049,0.00,0.00,0.00
0.052,-0.00,-0.00,0.01
0.054,-0.00,-0.00,0.01
0.057,-0.00,-0.00,0.01
0.06,-0.00,-0.00,0.00
0.062,-0.00,-0.00,0.01
0.065,-0.00,-0.01,0.01
0.066,-0.00,-0.00,0.00
0.07,-0.00,-0.00,0.00
0.072,-0.00,-0.00,0.00
0.074,-0.00,-0.00,0.00
0.076,0.00,-0.00,0.01
0.079,0.00,-0.00,0.00
0.081,0.00,0.00,0.01
0.084,0.00,0.00,0.01
0.087,0.00,0.00,0.01
0.089,0.00,0.00,0.01
0.091,0.00,0.00,0.01
0.094,0.00,0.00,0.01
0.096,0.00,0.00,0.01
0.099,0.00,0.00,0.01
0.101,0.00,0.00,0.01
0.104,0.00,-0.00,0.01
0.106,-0.00,0.00,0.01
0.109,0.00,-0.00,0.01
0.111,0.00,0.00,0.01
0.114,0.00,-0.00,0.01
0.116,-0.00,-0.00,0.01
0.12,-0.00,-0.00,0.01
0.122,0.00,-0.00,0.00
0.124,0.00,-0.00,0.01
0.126,0.00,-0.00,0.00
0.128,-0.00,-0.00,0.01
0.13,0.00,-0.00,0.01
0.133,-0.00,-0.00,0.01
0.136,0.00,-0.00,0.00
0.138,-0.00,-0.00,0.01
0.14,-0.00,0.00,0.01
0.142,-0.00,-0.00,0.01
0.145,-0.00,-0.00,0.01
0.147,0.00,-0.00,0.01
0.15,0.00,0.00,0.01
0.153,-0.00,0.00,0.01
0.155,0.00,0.00,0.01
0.158,0.00,0.00,0.01
0.16,0.00,0.00,0.01
0.162,0.00,0.00,0.01
0.166,0.00,0.00,0.01
0.167,0.00,-0.00,0.01
0.171,-0.00,0.00,0.01
0.173,0.00,0.00,0.01
0.175,0.00,0.00,0.01
0.178,0.00,0.00,0.01
0.18,0.00,0.00,0.01
0.182,0.00,-0.00,0.01
0.186,0.00,0.00,0.01
0.187,-0.00,-0.00,0.01
0.19,-0.00,0.00,0.01
0.193,0.00,-0.00,0.01
0.195,0.00,-0.00,0.01
0.197,0.00,-0.00,0.01
0.2,-0.00,-0.00,0.01
0.202,-0.00,-0.00,0.01
0.205,-0.00,-0.00,0.01
0.207,-0.00,-0.00,0.01
