time,gFx,gFy,gFz,TgF
0.006000,-0.1075,0.0704,0.9034,0.912
0.007000,-0.1082,0.0738,0.9000,0.909
0.007000,-0.1038,0.0772,0.9005,0.910
0.007000,-0.0989,0.0833,0.9076,0.917
0.007000,-0.0945,0.0914,0.9215,0.931
0.008000,-0.0857,0.1002,0.9410,0.950
0.008000,-0.0748,0.1116,0.9645,0.974
0.008000,-0.0640,0.1251,0.9914,1.001
0.012000,-0.0537,0.1356,1.0204,1.031
0.013000,-0.0430,0.1434,1.0468,1.057
0.030000,-0.0318,0.1527,1.0722,1.083
0.030000,-0.0217,0.1607,1.0954,1.107
0.030000,-0.0159,0.1666,1.1152,1.128
0.031000,-0.0112,0.1703,1.1291,1.142
0.031000,-0.0051,0.1710,1.1362,1.149
0.031000,-0.0010,0.1708,1.1372,1.150
0.031000,0.0012,0.1698,1.1333,1.146
0.034000,0.0054,0.1678,1.1279,1.140
0.036000,0.0078,0.1639,1.1189,1.131
0.041000,0.0066,0.1595,1.1047,1.116
0.041000,0.0044,0.1544,1.0903,1.101
0.043000,0.0017,0.1483,1.0761,1.086
0.045000,-0.0022,0.1414,1.0610,1.070
0.048000,-0.0061,0.1349,1.0461,1.055
0.051000,-0.0107,0.1300,1.0334,1.042
0.053000,-0.0181,0.1241,1.0238,1.031
0.056000,-0.0252,0.1199,1.0155,1.023
0.058000,-0.0310,0.1165,1.0058,1.013
0.061000,-0.0376,0.1134,0.9948,1.002
0.063000,-0.0430,0.1112,0.9855,0.993
0.065000,-0.0471,0.1080,0.9762,0.983
0.068000,-0.0515,0.1055,0.9684,0.975
0.071000,-0.0540,0.1028,0.9615,0.969
0.073000,-0.0545,0.1004,0.9537,0.961
0.076000,-0.0547,0.0980,0.9440,0.951
0.078000,-0.0552,0.0928,0.9330,0.939
0.081000,-0.0559,0.0853,0.9227,0.928
0.084000,-0.0557,0.0762,0.9139,0.919
0.085000,-0.0555,0.0686,0.9076,0.912
0.088000,-0.0567,0.0623,0.9039,0.908
0.091000,-0.0574,0.0579,0.9019,0.906
0.093000,-0.0584,0.0550,0.9029,0.906
0.095000,-0.0596,0.0564,0.9046,0.908
0.098000,-0.0589,0.0586,0.9061,0.910
0.101000,-0.0599,0.0613,0.9120,0.916
0.103000,-0.0608,0.0669,0.9200,0.924
0.105000,-0.0603,0.0728,0.9298,0.935
0.107000,-0.0586,0.0767,0.9403,0.945
0.110000,-0.0550,0.0799,0.9486,0.954
0.113000,-0.0501,0.0845,0.9552,0.960
0.115000,-0.0450,0.0884,0.9593,0.964
0.119000,-0.0393,0.0919,0.9637,0.969
0.120000,-0.0320,0.0958,0.9689,0.974
0.122000,-0.0264,0.0997,0.9755,0.981
0.127000,-0.0225,0.1031,0.9808,0.987
0.128000,-0.0188,0.1072,0.9852,0.991
0.130000,-0.0166,0.1124,0.9899,0.996
0.132000,-0.0149,0.1158,0.9914,0.998
0.135000,-0.0132,0.1185,0.9928,1.000
0.137000,-0.0129,0.1231,0.9926,1.000
0.139000,-0.0125,0.1275,0.9911,0.999
0.142000,-0.0115,0.1297,0.9916,1.000
0.144000,-0.0105,0.1327,0.9928,1.002
0.147000,-0.0100,0.1361,0.9948,1.004
0.149000,-0.0093,0.1373,0.9962,1.006
0.152000,-0.0081,0.1383,0.9972,1.007
0.154000,-0.0064,0.1385,0.9987,1.008
0.157000,-0.0044,0.1368,0.9982,1.008
0.159000,-0.0032,0.1363,0.9945,1.004
0.162000,-0.0034,0.1336,0.9931,1.002
0.164000,-0.0051,0.1309,0.9940,1.003
0.168000,-0.0073,0.1307,0.9943,1.003
0.169000,-0.0107,0.1290,0.9933,1.002
0.172000,-0.0151,0.1268,0.9931,1.001
0.174000,-0.0193,0.1258,0.9909,0.999
0.176000,-0.0252,0.1263,0.9899,0.998
0.179000,-0.0305,0.1263,0.9892,0.998
0.182000,-0.0349,0.1246,0.9835,0.992
0.185000,-0.0391,0.1229,0.9779,0.986
0.187000,-0.0423,0.1212,0.9730,0.981
0.189000,-0.0452,0.1168,0.9674,0.975
0.191000,-0.0469,0.1092,0.9596,0.967
0.194000,-0.0479,0.1009,0.9488,0.955
0.197000,-0.0489,0.0931,0.9359,0.942
0.203000,-0.0518,0.0853,0.9251,0.931
0.203000,-0.0577,0.0774,0.9159,0.921
0.211000,-0.0657,0.0696,0.9085,0.914
0.212000,-0.0738,0.0638,0.9032,0.908
0.212000,-0.0838,0.0618,0.9032,0.909
0.213000,-0.0892,0.0596,0.9046,0.911
0.213000,-0.0894,0.0552,0.8983,0.904
0.216000,-0.0909,0.0528,0.8912,0.897
0.227000,-0.0938,0.0498,0.8875,0.894
0.228000,-0.0965,0.0457,0.8856,0.892
0.228000,-0.0970,0.0450,0.8853,0.892
0.228000,-0.0943,0.0452,0.8868,0.893
0.228000,-0.0919,0.0452,0.8902,0.896
0.231000,-0.0887,0.0486,0.8966,0.902
0.234000,-0.0831,0.0518,0.9039,0.909
0.236000,-0.0765,0.0552,0.9110,0.916
0.238000,-0.0694,0.0606,0.9190,0.924
0.241000,-0.0618,0.0647,0.9303,0.935
0.243000,-0.0547,0.0689,0.9408,0.945
0.245000,-0.0459,0.0755,0.9515,0.956
0.248000,-0.0376,0.0818,0.9628,0.967
0.253000,-0.0305,0.0887,0.9735,0.978
0.254000,-0.0249,0.0955,0.9855,0.990
0.256000,-0.0195,0.1019,0.9972,1.003
0.258000,-0.0154,0.1094,1.0072,1.013
0.260000,-0.0112,0.1156,1.0170,1.024
0.263000,-0.0054,0.1209,1.0270,1.034
0.265000,-0.0002,0.1258,1.0348,1.042
0.270000,0.0037,0.1287,1.0419,1.050
0.271000,0.0064,0.1309,1.0490,1.057
0.273000,0.0100,0.1341,1.0546,1.063
0.275000,0.0129,0.1366,1.0605,1.069
0.278000,0.0149,0.1368,1.0656,1.074
0.280000,0.0149,0.1346,1.0690,1.078
0.283000,0.0142,0.1334,1.0717,1.080
0.285000,0.0149,0.1324,1.0734,1.082
0.287000,0.0134,0.1307,1.0742,1.082
0.290000,0.0100,0.1285,1.0725,1.080
0.292000,0.0078,0.1268,1.0693,1.077
0.295000,0.0071,0.1243,1.0656,1.073
0.298000,0.0064,0.1219,1.0602,1.067
0.303000,0.0049,0.1182,1.0534,1.060
0.304000,0.0044,0.1131,1.0446,1.051
0.305000,0.0046,0.1097,1.0351,1.041
0.307000,0.0029,0.1082,1.0278,1.033
0.311000,0.0002,0.1063,1.0199,1.025
0.312000,-0.0027,0.1026,1.0119,1.017
0.315000,-0.0061,0.0997,1.0050,1.010
0.327000,-0.0110,0.0975,0.9997,1.004
0.328000,-0.0169,0.0953,0.9955,1.000
0.328000,-0.0230,0.0933,0.9914,0.996
0.328000,-0.0308,0.0921,0.9874,0.992
0.329000,-0.0396,0.0916,0.9848,0.990
0.330000,-0.0467,0.0911,0.9813,0.987
0.332000,-0.0542,0.0909,0.9777,0.983
0.336000,-0.0616,0.0901,0.9747,0.981
0.337000,-0.0672,0.0899,0.9721,0.979
0.340000,-0.0728,0.0899,0.9708,0.978
0.342000,-0.0762,0.0894,0.9694,0.976
0.345000,-0.0787,0.0892,0.9689,0.976
0.347000,-0.0801,0.0879,0.9691,0.976
0.350000,-0.0794,0.0865,0.9706,0.978
0.354000,-0.0774,0.0867,0.9703,0.977
0.355000,-0.0757,0.0862,0.9699,0.977
0.357000,-0.0730,0.0843,0.9708,0.977
0.359000,-0.0677,0.0816,0.9706,0.976
0.362000,-0.0657,0.0792,0.9696,0.975
0.364000,-0.0662,0.0767,0.9703,0.976
0.369000,-0.0660,0.0701,0.9738,0.979
0.370000,-0.0652,0.0638,0.9782,0.982
0.372000,-0.0633,0.0601,0.9828,0.987
0.374000,-0.0625,0.0559,0.9855,0.989
0.377000,-0.0621,0.0525,0.9874,0.991
0.379000,-0.0621,0.0484,0.9901,0.993
0.382000,-0.0633,0.0457,0.9936,0.997
0.385000,-0.0660,0.0447,0.9957,0.999
0.387000,-0.0694,0.0442,0.9967,1.000
0.389000,-0.0716,0.0450,0.9975,1.001
0.391000,-0.0730,0.0459,0.9984,1.002
0.394000,-0.0730,0.0462,0.9994,1.003
0.396000,-0.0730,0.0471,1.0026,1.006
0.398000,-0.0733,0.0464,1.0067,1.010
0.403000,-0.0728,0.0474,1.0092,1.013
0.405000,-0.0701,0.0486,1.0087,1.012
0.406000,-0.0679,0.0479,1.0080,1.011
0.409000,-0.0679,0.0474,1.0092,1.013
0.411000,-0.0672,0.0484,1.0104,1.014
0.413000,-0.0682,0.0493,1.0124,1.016
0.416000,-0.0696,0.0513,1.0131,1.017
