time,gFx,gFy,gFz,TgF
0.005000,-0.0728,0.0684,0.9471,0.952
0.005000,-0.0774,0.0677,0.9535,0.959
0.005000,-0.0789,0.0682,0.9623,0.968
0.006000,-0.0774,0.0684,0.9706,0.976
0.006000,-0.0762,0.0694,0.9757,0.981
0.006000,-0.0752,0.0704,0.9772,0.983
0.006000,-0.0745,0.0699,0.9772,0.983
0.007000,-0.0757,0.0706,0.9791,0.985
0.007000,-0.0784,0.0711,0.9801,0.986
0.011000,-0.0809,0.0689,0.9794,0.985
0.012000,-0.0828,0.0657,0.9796,0.985
0.021000,-0.0870,0.0621,0.9818,0.988
0.022000,-0.0909,0.0581,0.9843,0.990
0.022000,-0.0938,0.0552,0.9855,0.991
0.022000,-0.0958,0.0542,0.9877,0.994
0.024000,-0.0953,0.0542,0.9926,0.999
0.027000,-0.0921,0.0555,0.9953,1.001
0.031000,-0.0877,0.0557,0.9960,1.001
0.043000,-0.0831,0.0557,0.9982,1.003
0.043000,-0.0787,0.0562,1.0004,1.005
0.043000,-0.0750,0.0569,0.9997,1.004
0.043000,-0.0726,0.0584,0.9984,1.003
0.044000,-0.0704,0.0594,0.9977,1.002
0.044000,-0.0679,0.0596,0.9931,0.997
0.049000,-0.0660,0.0584,0.9887,0.993
0.049000,-0.0660,0.0567,0.9877,0.992
0.052000,-0.0667,0.0552,0.9865,0.990
0.054000,-0.0652,0.0545,0.9850,0.989
0.056000,-0.0650,0.0542,0.9838,0.987
0.059000,-0.0638,0.0523,0.9840,0.987
0.061000,-0.0618,0.0508,0.9857,0.989
0.065000,-0.0599,0.0506,0.9865,0.990
0.066000,-0.0584,0.0506,0.9877,0.991
0.069000,-0.0572,0.0508,0.9896,0.993
0.071000,-0.0550,0.0503,0.9887,0.991
0.073000,-0.0528,0.0506,0.9867,0.989
0.076000,-0.0523,0.0506,0.9852,0.988
0.078000,-0.0513,0.0513,0.9830,0.986
0.082000,-0.0496,0.0518,0.9818,0.984
0.083000,-0.0513,0.0496,0.9811,0.984
0.086000,-0.0537,0.0489,0.9789,0.982
0.089000,-0.0557,0.0474,0.9796,0.982
0.091000,-0.0557,0.0462,0.9818,0.984
0.093000,-0.0574,0.0457,0.9821,0.985
0.095000,-0.0603,0.0437,0.9845,0.987
0.100000,-0.0616,0.0415,0.9874,0.990
0.101000,-0.0633,0.0408,0.9899,0.993
0.103000,-0.0655,0.0403,0.9931,0.996
0.106000,-0.0674,0.0406,0.9955,0.999
0.109000,-0.0682,0.0401,0.9979,1.001
0.110000,-0.0677,0.0393,1.0011,1.004
0.113000,-0.0669,0.0401,1.0036,1.007
0.125000,-0.0672,0.0388,1.0067,1.010
0.126000,-0.0677,0.0393,1.0126,1.016
0.126000,-0.0682,0.0413,1.0185,1.022
0.127000,-0.0686,0.0406,1.0231,1.026
0.127000,-0.0691,0.0403,1.0268,1.030
0.128000,-0.0699,0.0401,1.0304,1.034
0.135000,-0.0691,0.0393,1.0324,1.035
0.136000,-0.0674,0.0398,1.0324,1.035
0.136000,-0.0657,0.0406,1.0321,1.035
0.144000,-0.0647,0.0403,1.0324,1.035
0.145000,-0.0642,0.0396,1.0317,1.034
0.146000,-0.0633,0.0406,1.0295,1.032
0.146000,-0.0638,0.0423,1.0278,1.031
0.148000,-0.0642,0.0435,1.0246,1.028
0.153000,-0.0647,0.0442,1.0216,1.025
0.153000,-0.0652,0.0452,1.0185,1.022
0.155000,-0.0662,0.0474,1.0168,1.020
0.157000,-0.0672,0.0493,1.0168,1.020
0.160000,-0.0689,0.0496,1.0163,1.020
0.162000,-0.0721,0.0493,1.0160,1.020
0.165000,-0.0755,0.0511,1.0160,1.020
0.167000,-0.0779,0.0530,1.0153,1.020
0.170000,-0.0787,0.0547,1.0163,1.021
0.172000,-0.0796,0.0562,1.0185,1.023
0.175000,-0.0792,0.0569,1.0182,1.023
0.177000,-0.0765,0.0562,1.0163,1.021
0.181000,-0.0740,0.0567,1.0143,1.019
0.184000,-0.0723,0.0572,1.0116,1.016
0.185000,-0.0691,0.0559,1.0094,1.013
0.187000,-0.0664,0.0552,1.0080,1.012
0.190000,-0.0645,0.0550,1.0087,1.012
0.192000,-0.0628,0.0545,1.0102,1.014
0.195000,-0.0623,0.0537,1.0116,1.015
0.200000,-0.0625,0.0542,1.0131,1.016
0.201000,-0.0630,0.0547,1.0114,1.015
0.202000,-0.0652,0.0562,1.0109,1.015
0.205000,-0.0672,0.0577,1.0133,1.017
0.207000,-0.0684,0.0577,1.0146,1.018
0.210000,-0.0696,0.0581,1.0170,1.021
0.213000,-0.0708,0.0586,1.0190,1.023
0.217000,-0.0704,0.0599,1.0190,1.023
0.218000,-0.0684,0.0594,1.0202,1.024
0.221000,-0.0669,0.0579,1.0214,1.025
0.222000,-0.0642,0.0564,1.0216,1.025
0.224000,-0.0608,0.0552,1.0212,1.024
0.227000,-0.0596,0.0545,1.0212,1.024
0.230000,-0.0579,0.0518,1.0207,1.024
0.241000,-0.0562,0.0498,1.0204,1.023
0.243000,-0.0559,0.0476,1.0209,1.024
0.243000,-0.0557,0.0459,1.0224,1.025
0.243000,-0.0550,0.0469,1.0229,1.025
0.243000,-0.0552,0.0469,1.0234,1.026
0.244000,-0.0574,0.0484,1.0251,1.028
0.246000,-0.0599,0.0491,1.0263,1.029
0.251000,-0.0625,0.0474,1.0265,1.030
0.251000,-0.0645,0.0489,1.0268,1.030
0.253000,-0.0642,0.0493,1.0268,1.030
0.256000,-0.0642,0.0467,1.0268,1.030
0.258000,-0.0638,0.0467,1.0268,1.030
0.261000,-0.0616,0.0452,1.0241,1.027
0.264000,-0.0603,0.0432,1.0192,1.022
0.266000,-0.0586,0.0432,1.0143,1.017
0.269000,-0.0581,0.0423,1.0094,1.012
0.271000,-0.0584,0.0408,1.0058,1.008
0.274000,-0.0572,0.0396,1.0006,1.003
0.276000,-0.0559,0.0408,0.9916,0.994
0.278000,-0.0564,0.0420,0.9855,0.988
0.283000,-0.0574,0.0425,0.9816,0.984
0.284000,-0.0581,0.0440,0.9791,0.982
0.286000,-0.0594,0.0467,0.9794,0.982
0.289000,-0.0606,0.0476,0.9774,0.980
0.290000,-0.0608,0.0481,0.9765,0.980
0.293000,-0.0606,0.0469,0.9774,0.980
0.295000,-0.0611,0.0459,0.9765,0.979
0.298000,-0.0625,0.0471,0.9757,0.979
0.301000,-0.0650,0.0474,0.9733,0.977
0.303000,-0.0672,0.0462,0.9723,0.976
0.305000,-0.0706,0.0450,0.9730,0.977
0.308000,-0.0716,0.0435,0.9725,0.976
0.311000,-0.0713,0.0413,0.9740,0.977
0.313000,-0.0708,0.0401,0.9757,0.979
0.324000,-0.0699,0.0371,0.9772,0.980
0.325000,-0.0706,0.0357,0.9808,0.984
0.325000,-0.0706,0.0337,0.9840,0.987
0.326000,-0.0701,0.0327,0.9882,0.991
0.326000,-0.0689,0.0327,0.9933,0.996
0.328000,-0.0669,0.0315,0.9987,1.001
0.334000,-0.0652,0.0308,1.0031,1.006
0.334000,-0.0647,0.0291,1.0058,1.008
0.336000,-0.0642,0.0286,1.0094,1.012
0.338000,-0.0640,0.0281,1.0126,1.015
0.340000,-0.0630,0.0276,1.0131,1.015
0.343000,-0.0603,0.0283,1.0124,1.015
0.345000,-0.0586,0.0296,1.0124,1.014
0.353000,-0.0584,0.0300,1.0121,1.014
0.354000,-0.0577,0.0308,1.0143,1.016
0.354000,-0.0574,0.0327,1.0175,1.020
0.355000,-0.0577,0.0352,1.0175,1.020
0.357000,-0.0591,0.0374,1.0158,1.018
0.360000,-0.0608,0.0386,1.0126,1.015
0.363000,-0.0630,0.0386,1.0075,1.010
0.368000,-0.0657,0.0384,1.0033,1.006
0.369000,-0.0677,0.0376,0.9997,1.003
0.370000,-0.0689,0.0384,0.9933,0.996
0.372000,-0.0696,0.0406,0.9877,0.991
0.375000,-0.0718,0.0415,0.9870,0.990
0.377000,-0.0721,0.0425,0.9865,0.990
0.380000,-0.0691,0.0457,0.9865,0.990
0.384000,-0.0660,0.0486,0.9870,0.990
0.385000,-0.0640,0.0501,0.9884,0.992
0.387000,-0.0635,0.0513,0.9884,0.992
0.389000,-0.0642,0.0489,0.9879,0.991
0.392000,-0.0642,0.0452,0.9862,0.989
0.394000,-0.0623,0.0432,0.9835,0.986
0.399000,-0.0589,0.0420,0.9818,0.984
0.400000,-0.0555,0.0418,0.9791,0.982
0.402000,-0.0545,0.0418,0.9789,0.981
0.404000,-0.0545,0.0415,0.9808,0.983
0.407000,-0.0550,0.0408,0.9799,0.982
0.409000,-0.0559,0.0408,0.9816,0.984
0.412000,-0.0562,0.0403,0.9862,0.989
0.415000,-0.0562,0.0396,0.9909,0.993
0.417000,-0.0557,0.0413,0.9940,0.996
0.419000,-0.0555,0.0420,0.9955,0.998
0.422000,-0.0545,0.0413,0.9977,1.000
0.424000,-0.0540,0.0425,0.9987,1.001
0.426000,-0.0530,0.0423,0.9982,1.000
0.429000,-0.0515,0.0398,0.9984,1.001
0.436000,-0.0533,0.0386,0.9999,1.002
0.437000,-0.0557,0.0388,1.0004,1.003
0.439000,-0.0567,0.0391,1.0019,1.004
0.439000,-0.0589,0.0418,1.0058,1.008
0.441000,-0.0594,0.0442,1.0080,1.011
0.444000,-0.0591,0.0440,1.0087,1.011
0.447000,-0.0625,0.0418,1.0109,1.014
0.450000,-0.0655,0.0408,1.0126,1.016
0.451000,-0.0679,0.0413,1.0126,1.016
0.453000,-0.0696,0.0420,1.0121,1.015
0.456000,-0.0713,0.0435,1.0121,1.016
0.458000,-0.0726,0.0452,1.0107,1.014
0.461000,-0.0740,0.0479,1.0075,1.011
0.466000,-0.0757,0.0503,1.0055,1.010
0.467000,-0.0748,0.0506,1.0038,1.008
0.468000,-0.0735,0.0508,1.0016,1.006
0.471000,-0.0726,0.0520,1.0011,1.005
0.473000,-0.0726,0.0518,1.0011,1.005
0.476000,-0.0735,0.0513,0.9994,1.003
0.478000,-0.0733,0.0506,0.9967,1.001
0.481000,-0.0706,0.0498,0.9931,0.997
0.483000,-0.0679,0.0491,0.9892,0.993
0.486000,-0.0682,0.0479,0.9865,0.990
0.488000,-0.0679,0.0476,0.9845,0.988
0.490000,-0.0664,0.0486,0.9826,0.986
0.493000,-0.0664,0.0503,0.9808,0.984
0.495000,-0.0664,0.0528,0.9816,0.985
0.498000,-0.0664,0.0535,0.9828,0.986
0.501000,-0.0660,0.0540,0.9830,0.987
0.503000,-0.0660,0.0559,0.9845,0.988
0.505000,-0.0677,0.0574,0.9872,0.991
0.508000,-0.0682,0.0584,0.9887,0.993
0.510000,-0.0691,0.0581,0.9896,0.994
0.513000,-0.0696,0.0577,0.9921,0.996
0.519000,-0.0694,0.0579,0.9923,0.996
0.519000,-0.0689,0.0569,0.9921,0.996
0.520000,-0.0667,0.0555,0.9953,0.999
0.523000,-0.0635,0.0545,0.9997,1.003
0.525000,-0.0606,0.0535,1.0021,1.005
0.527000,-0.0589,0.0528,1.0031,1.006
0.531000,-0.0581,0.0523,1.0070,1.010
0.533000,-0.0569,0.0506,1.0104,1.013
0.535000,-0.0574,0.0474,1.0126,1.015
0.538000,-0.0599,0.0459,1.0153,1.018
0.540000,-0.0599,0.0447,1.0155,1.018
0.542000,-0.0594,0.0432,1.0141,1.017
0.545000,-0.0603,0.0447,1.0129,1.016
0.548000,-0.0603,0.0447,1.0111,1.014
0.550000,-0.0608,0.0457,1.0094,1.012
0.554000,-0.0611,0.0474,1.0087,1.012
0.556000,-0.0608,0.0479,1.0111,1.014
0.558000,-0.0638,0.0479,1.0121,1.015
0.560000,-0.0672,0.0484,1.0111,1.015
0.562000,-0.0701,0.0503,1.0102,1.014
0.566000,-0.0716,0.0511,1.0063,1.010
0.569000,-0.0706,0.0506,1.0004,1.004
0.570000,-0.0708,0.0491,0.9972,1.001
0.572000,-0.0704,0.0476,0.9975,1.001
0.574000,-0.0684,0.0484,0.9979,1.001
0.577000,-0.0686,0.0471,1.0004,1.004
0.580000,-0.0689,0.0462,1.0019,1.005
0.582000,-0.0679,0.0469,1.0036,1.007
0.585000,-0.0667,0.0467,1.0063,1.010
0.587000,-0.0655,0.0462,1.0080,1.011
0.590000,-0.0645,0.0445,1.0099,1.013
0.592000,-0.0645,0.0435,1.0097,1.013
0.594000,-0.0650,0.0430,1.0063,1.009
0.600000,-0.0652,0.0410,1.0031,1.006
0.601000,-0.0647,0.0396,1.0006,1.004
0.602000,-0.0640,0.0384,0.9992,1.002
0.605000,-0.0625,0.0398,0.9987,1.001
0.607000,-0.0606,0.0430,1.0001,1.003
0.609000,-0.0599,0.0425,1.0026,1.005
0.612000,-0.0603,0.0428,1.0031,1.006
0.616000,-0.0599,0.0440,1.0055,1.008
0.619000,-0.0596,0.0435,1.0070,1.010
0.620000,-0.0603,0.0430,1.0072,1.010
0.622000,-0.0594,0.0413,1.0075,1.010
0.624000,-0.0589,0.0381,1.0060,1.008
0.626000,-0.0601,0.0371,1.0031,1.006
0.629000,-0.0616,0.0384,0.9997,1.002
0.638000,-0.0638,0.0384,0.9994,1.002
0.639000,-0.0652,0.0396,1.0004,1.003
0.639000,-0.0657,0.0425,1.0006,1.004
0.640000,-0.0669,0.0447,1.0016,1.005
0.641000,-0.0686,0.0447,1.0048,1.008
0.644000,-0.0708,0.0450,1.0065,1.010
0.647000,-0.0718,0.0459,1.0045,1.008
0.659000,-0.0713,0.0462,1.0043,1.008
0.660000,-0.0704,0.0457,1.0045,1.008
0.660000,-0.0674,0.0457,1.0026,1.006
0.660000,-0.0645,0.0452,0.9997,1.003
0.661000,-0.0613,0.0447,0.9975,1.000
0.661000,-0.0589,0.0450,0.9970,1.000
0.666000,-0.0579,0.0457,0.9965,0.999
0.667000,-0.0579,0.0459,0.9977,1.000
0.669000,-0.0591,0.0454,1.0011,1.004
0.670000,-0.0606,0.0452,1.0019,1.005
0.673000,-0.0623,0.0445,1.0033,1.006
0.675000,-0.0628,0.0432,1.0053,1.008
0.678000,-0.0611,0.0454,1.0060,1.009
0.681000,-0.0574,0.0464,1.0097,1.012
0.683000,-0.0550,0.0454,1.0116,1.014
0.685000,-0.0559,0.0450,1.0082,1.011
0.689000,-0.0557,0.0450,1.0026,1.005
0.691000,-0.0562,0.0442,0.9977,1.000
0.693000,-0.0564,0.0432,0.9938,0.996
0.695000,-0.0564,0.0445,0.9911,0.994
0.698000,-0.0559,0.0464,0.9894,0.992
0.700000,-0.0552,0.0471,0.9894,0.992
0.703000,-0.0552,0.0481,0.9904,0.993
0.705000,-0.0569,0.0506,0.9904,0.993
0.708000,-0.0586,0.0506,0.9914,0.994
0.710000,-0.0599,0.0503,0.9936,0.997
0.713000,-0.0601,0.0515,0.9950,0.998
0.720000,-0.0591,0.0520,0.9943,0.997
0.721000,-0.0589,0.0518,0.9921,0.995
0.721000,-0.0581,0.0525,0.9916,0.995
0.727000,-0.0579,0.0533,0.9923,0.995
0.727000,-0.0577,0.0540,0.9936,0.997
0.729000,-0.0564,0.0550,0.9950,0.998
0.739000,-0.0567,0.0550,0.9960,0.999
0.740000,-0.0579,0.0555,0.9979,1.001
0.740000,-0.0586,0.0555,0.9999,1.003
0.741000,-0.0574,0.0564,1.0016,1.005
0.741000,-0.0542,0.0577,1.0048,1.008
0.742000,-0.0535,0.0567,1.0067,1.010
0.745000,-0.0535,0.0555,1.0077,1.011
0.750000,-0.0523,0.0547,1.0107,1.013
0.751000,-0.0503,0.0540,1.0129,1.016
0.753000,-0.0479,0.0525,1.0141,1.017
0.754000,-0.0467,0.0501,1.0158,1.018
0.757000,-0.0450,0.0469,1.0175,1.020
0.759000,-0.0415,0.0450,1.0168,1.019
0.762000,-0.0388,0.0447,1.0141,1.016
0.766000,-0.0369,0.0450,1.0116,1.013
0.767000,-0.0374,0.0435,1.0087,1.010
0.769000,-0.0386,0.0425,1.0070,1.009
0.772000,-0.0376,0.0420,1.0053,1.007
0.774000,-0.0384,0.0428,1.0043,1.006
0.777000,-0.0388,0.0450,1.0038,1.006
0.779000,-0.0374,0.0452,1.0023,1.004
0.782000,-0.0354,0.0442,1.0016,1.003
0.784000,-0.0325,0.0430,0.9994,1.001
0.787000,-0.0303,0.0428,0.9970,0.998
0.789000,-0.0293,0.0425,0.9967,0.998
0.792000,-0.0276,0.0413,0.9975,0.999
0.794000,-0.0239,0.0410,0.9962,0.997
0.799000,-0.0220,0.0401,0.9936,0.995
0.800000,-0.0220,0.0396,0.9953,0.996
0.802000,-0.0210,0.0425,0.9979,0.999
0.804000,-0.0208,0.0442,0.9926,0.994
0.806000,-0.0257,0.0418,0.9887,0.990
0.809000,-0.0332,0.0381,0.9894,0.991
0.812000,-0.0342,0.0362,0.9896,0.991
0.816000,-0.0332,0.0364,0.9914,0.993
0.817000,-0.0352,0.0376,0.9918,0.993
0.820000,-0.0354,0.0386,0.9933,0.995
0.821000,-0.0359,0.0406,0.9945,0.996
0.824000,-0.0366,0.0440,0.9940,0.996
0.826000,-0.0374,0.0467,0.9923,0.994
0.829000,-0.0384,0.0481,0.9896,0.992
0.839000,-0.0396,0.0501,0.9865,0.989
0.840000,-0.0430,0.0535,0.9838,0.986
0.840000,-0.0462,0.0555,0.9835,0.986
0.841000,-0.0481,0.0572,0.9835,0.986
0.845000,-0.0515,0.0581,0.9843,0.987
0.845000,-0.0547,0.0591,0.9870,0.990
0.847000,-0.0552,0.0599,0.9894,0.993
0.855000,-0.0552,0.0601,0.9926,0.996
0.856000,-0.0557,0.0606,0.9928,0.996
0.856000,-0.0552,0.0601,0.9916,0.995
0.856000,-0.0542,0.0596,0.9921,0.995
0.858000,-0.0537,0.0594,0.9933,0.997
0.860000,-0.0525,0.0601,0.9982,1.001
0.863000,-0.0520,0.0596,1.0001,1.003
0.866000,-0.0506,0.0581,1.0019,1.005
0.868000,-0.0489,0.0574,1.0065,1.009
0.870000,-0.0491,0.0572,1.0097,1.012
0.873000,-0.0501,0.0572,1.0138,1.017
0.875000,-0.0508,0.0552,1.0180,1.021
0.878000,-0.0503,0.0528,1.0199,1.023
0.881000,-0.0496,0.0525,1.0185,1.021
0.883000,-0.0486,0.0518,1.0163,1.019
0.885000,-0.0469,0.0501,1.0131,1.015
0.888000,-0.0459,0.0493,1.0104,1.013
0.890000,-0.0450,0.0501,1.0107,1.013
0.893000,-0.0432,0.0511,1.0085,1.011
0.895000,-0.0415,0.0520,1.0080,1.010
0.898000,-0.0388,0.0518,1.0087,1.011
0.902000,-0.0374,0.0518,1.0060,1.008
0.908000,-0.0379,0.0537,1.0036,1.006
0.909000,-0.0386,0.0533,1.0028,1.005
0.909000,-0.0396,0.0528,1.0033,1.005
0.910000,-0.0410,0.0535,1.0028,1.005
0.915000,-0.0432,0.0530,1.0009,1.003
0.916000,-0.0445,0.0533,0.9994,1.002
0.919000,-0.0447,0.0518,0.9979,1.000
0.920000,-0.0450,0.0513,0.9970,0.999
0.922000,-0.0450,0.0518,0.9972,1.000
0.925000,-0.0440,0.0508,0.9972,0.999
0.927000,-0.0437,0.0508,0.9970,0.999
0.931000,-0.0445,0.0511,0.9970,0.999
0.939000,-0.0452,0.0511,0.9979,1.000
0.939000,-0.0450,0.0508,0.9999,1.002
0.940000,-0.0464,0.0508,1.0004,1.003
0.940000,-0.0489,0.0508,1.0001,1.003
0.946000,-0.0498,0.0491,1.0009,1.003
0.947000,-0.0493,0.0467,1.0014,1.004
0.952000,-0.0506,0.0464,1.0023,1.005
0.953000,-0.0515,0.0450,1.0031,1.005
0.953000,-0.0503,0.0437,1.0041,1.006
0.954000,-0.0493,0.0440,1.0067,1.009
0.957000,-0.0476,0.0425,1.0067,1.009
0.959000,-0.0469,0.0413,1.0050,1.007
0.962000,-0.0481,0.0410,1.0036,1.006
0.965000,-0.0498,0.0401,1.0006,1.003
0.967000,-0.0496,0.0408,0.9977,1.000
0.970000,-0.0493,0.0420,0.9984,1.001
0.972000,-0.0479,0.0423,1.0009,1.003
0.974000,-0.0479,0.0437,1.0021,1.004
0.977000,-0.0496,0.0432,1.0009,1.003
0.979000,-0.0489,0.0430,0.9992,1.001
0.981000,-0.0471,0.0430,0.9992,1.001
0.984000,-0.0479,0.0415,0.9977,1.000
0.986000,-0.0501,0.0432,0.9979,1.000
0.989000,-0.0518,0.0464,0.9982,1.001
0.991000,-0.0535,0.0471,0.9950,0.998
0.994000,-0.0562,0.0469,0.9945,0.997
0.996000,-0.0586,0.0467,0.9953,0.998
0.999000,-0.0601,0.0459,0.9967,1.000
1.001000,-0.0613,0.0450,0.9965,0.999
1.004000,-0.0630,0.0447,0.9965,0.999
1.006000,-0.0650,0.0452,0.9997,1.003
1.009000,-0.0677,0.0457,1.0004,1.004
1.011000,-0.0701,0.0454,1.0014,1.005
1.020000,-0.0708,0.0450,1.0043,1.008
1.021000,-0.0711,0.0469,1.0070,1.011
1.021000,-0.0716,0.0498,1.0092,1.013
1.021000,-0.0706,0.0520,1.0082,1.012
1.023000,-0.0699,0.0537,1.0075,1.011
1.026000,-0.0686,0.0547,1.0080,1.012
1.033000,-0.0667,0.0555,1.0067,1.010
1.034000,-0.0652,0.0562,1.0058,1.009
1.034000,-0.0625,0.0569,1.0053,1.009
1.036000,-0.0601,0.0574,1.0041,1.007
1.038000,-0.0567,0.0581,1.0004,1.004
