time,gFx,gFy,gFz,TgF
0.004000,-0.0838,0.1400,0.8255,0.841
0.005000,-0.0916,0.1378,0.8313,0.848
0.005000,-0.0989,0.1380,0.8455,0.862
0.005000,-0.1065,0.1395,0.8653,0.883
0.005000,-0.1129,0.1434,0.8885,0.907
0.005000,-0.1148,0.1485,0.9154,0.934
0.009000,-0.1148,0.1534,0.9449,0.964
0.010000,-0.1129,0.1585,0.9750,0.994
0.013000,-0.1080,0.1632,1.0072,1.026
0.015000,-0.1009,0.1666,1.0395,1.058
0.018000,-0.0926,0.1693,1.0676,1.085
0.020000,-0.0838,0.1715,1.0900,1.107
0.036000,-0.0735,0.1720,1.1103,1.126
0.037000,-0.0642,0.1710,1.1279,1.143
0.037000,-0.0577,0.1703,1.1431,1.157
0.037000,-0.0523,0.1683,1.1555,1.169
0.037000,-0.0481,0.1649,1.1660,1.179
0.037000,-0.0442,0.1612,1.1724,1.184
0.038000,-0.0423,0.1566,1.1748,1.186
0.040000,-0.0418,0.1515,1.1748,1.185
0.043000,-0.0430,0.1446,1.1702,1.180
0.045000,-0.0474,0.1373,1.1602,1.169
0.047000,-0.0552,0.1292,1.1465,1.155
0.058000,-0.0630,0.1195,1.1296,1.138
0.058000,-0.0723,0.1119,1.1069,1.115
0.058000,-0.0835,0.1041,1.0825,1.091
0.059000,-0.0963,0.0980,1.0578,1.067
0.072000,-0.1109,0.0948,1.0312,1.041
0.072000,-0.1246,0.0911,1.0058,1.018
0.072000,-0.1366,0.0901,0.9828,0.996
0.073000,-0.1461,0.0914,0.9630,0.978
0.073000,-0.1551,0.0936,0.9479,0.965
0.073000,-0.1610,0.0985,0.9349,0.954
0.075000,-0.1622,0.1055,0.9237,0.944
0.077000,-0.1605,0.1141,0.9144,0.935
0.080000,-0.1588,0.1226,0.9080,0.930
0.082000,-0.1546,0.1322,0.9046,0.927
0.084000,-0.1493,0.1405,0.9012,0.924
0.088000,-0.1441,0.1463,0.8980,0.921
0.090000,-0.1370,0.1532,0.8961,0.919
0.092000,-0.1309,0.1581,0.8929,0.916
