time,gFx,gFy,gFz,TgF
0.005000,-0.1693,0.3376,0.6811,0.779
0.006000,-0.1771,0.3325,0.6965,0.792
0.006000,-0.1879,0.3291,0.7331,0.825
0.006000,-0.1996,0.3274,0.7974,0.885
0.006000,-0.2042,0.3252,0.8475,0.930
0.006000,-0.2164,0.3078,0.8694,0.947
0.007000,-0.3191,0.2108,0.9896,1.061
0.014000,-0.3711,0.1353,1.1206,1.188
0.014000,-0.2836,0.1544,1.1201,1.166
0.015000,-0.1967,0.1798,1.0800,1.112
0.015000,-0.1141,0.2047,1.0343,1.061
0.017000,-0.0225,0.2255,0.9801,1.006
0.022000,0.0726,0.2443,0.9264,0.961
0.023000,0.1749,0.2587,0.8829,0.936
0.025000,0.2338,0.2651,0.8665,0.936
0.027000,0.2189,0.2699,0.8736,0.940
0.030000,0.1749,0.2695,0.8782,0.935
0.033000,0.1207,0.2668,0.8633,0.912
0.035000,0.0733,0.2629,0.8294,0.873
0.038000,0.0327,0.2453,0.8245,0.861
0.040000,0.0002,0.2294,0.8382,0.869
0.042000,-0.0137,0.2252,0.8003,0.832
0.044000,-0.0252,0.2245,0.7436,0.777
0.047000,-0.0408,0.2260,0.7138,0.750
0.049000,-0.0557,0.2245,0.6948,0.732
0.054000,-0.0645,0.2230,0.6801,0.719
0.055000,-0.0638,0.2243,0.6821,0.721
0.057000,-0.0545,0.2252,0.7138,0.751
0.059000,-0.0344,0.2265,0.7849,0.818
0.062000,0.0020,0.2345,0.8995,0.930
0.064000,0.0584,0.2519,1.0480,1.079
0.066000,0.1234,0.2809,1.2032,1.242
0.070000,0.1695,0.3166,1.3084,1.357
0.072000,0.1617,0.3393,1.3304,1.383
0.074000,0.1026,0.3335,1.3092,1.355
0.076000,0.0242,0.2998,1.2977,1.332
0.079000,-0.0599,0.2492,1.3116,1.336
0.082000,-0.1358,0.1903,1.3451,1.365
0.084000,-0.1844,0.1363,1.3876,1.406
0.087000,-0.2023,0.0992,1.4206,1.438
0.089000,-0.1981,0.0831,1.4286,1.445
0.091000,-0.1830,0.0882,1.4086,1.423
0.094000,-0.1666,0.1075,1.3639,1.378
0.096000,-0.1534,0.1307,1.2992,1.315
0.099000,-0.1434,0.1532,1.2283,1.246
0.102000,-0.1373,0.1720,1.1653,1.186
0.104000,-0.1361,0.1874,1.1162,1.140
0.106000,-0.1395,0.1979,1.0844,1.111
0.109000,-0.1410,0.2062,1.0707,1.099
0.112000,-0.1368,0.2133,1.0720,1.102
0.114000,-0.1290,0.2184,1.0830,1.112
0.116000,-0.1192,0.2208,1.1003,1.129
0.119000,-0.1068,0.2194,1.1184,1.145
0.121000,-0.0933,0.2179,1.1335,1.158
0.124000,-0.0794,0.2150,1.1445,1.167
0.126000,-0.0645,0.2125,1.1499,1.171
0.129000,-0.0508,0.2108,1.1467,1.167
0.132000,-0.0379,0.2108,1.1360,1.156
0.133000,-0.0269,0.2116,1.1181,1.138
0.139000,-0.0183,0.2140,1.0922,1.113
0.139000,-0.0144,0.2196,1.0651,1.088
0.143000,-0.0139,0.2260,1.0387,1.063
0.144000,-0.0151,0.2338,1.0119,1.039
0.146000,-0.0181,0.2431,0.9860,1.016
0.148000,-0.0200,0.2524,0.9606,0.993
0.151000,-0.0235,0.2602,0.9376,0.973
0.155000,-0.0269,0.2665,0.9171,0.955
0.156000,-0.0286,0.2719,0.8963,0.937
0.158000,-0.0313,0.2758,0.8782,0.921
0.161000,-0.0347,0.2770,0.8624,0.906
0.163000,-0.0386,0.2756,0.8489,0.893
0.166000,-0.0442,0.2702,0.8409,0.884
0.168000,-0.0493,0.2616,0.8362,0.878
0.171000,-0.0508,0.2536,0.8367,0.876
0.173000,-0.0486,0.2453,0.8418,0.878
0.176000,-0.0442,0.2382,0.8541,0.888
0.178000,-0.0364,0.2333,0.8743,0.906
0.181000,-0.0293,0.2299,0.8985,0.928
0.184000,-0.0259,0.2272,0.9244,0.952
0.185000,-0.0269,0.2248,0.9542,0.981
0.188000,-0.0322,0.2201,0.9848,1.010
0.191000,-0.0396,0.2169,1.0136,1.037
0.193000,-0.0467,0.2155,1.0373,1.060
0.195000,-0.0528,0.2142,1.0549,1.078
0.198000,-0.0552,0.2133,1.0671,1.090
0.200000,-0.0545,0.2120,1.0727,1.095
0.206000,-0.0535,0.2128,1.0734,1.096
0.207000,-0.0515,0.2133,1.0695,1.092
0.208000,-0.0476,0.2116,1.0634,1.085
0.210000,-0.0437,0.2091,1.0551,1.077
0.212000,-0.0413,0.2067,1.0466,1.068
0.215000,-0.0396,0.2057,1.0353,1.056
