time,gFx,gFy,gFz,TgF
0.004000,-0.0980,0.0342,0.8159,0.823
0.004000,-0.0906,0.0496,0.8335,0.840
0.004000,-0.0840,0.0630,0.8519,0.858
0.005000,-0.0809,0.0762,0.8707,0.878
0.005000,-0.0818,0.0877,0.8936,0.902
0.005000,-0.0855,0.0977,0.9195,0.929
0.008000,-0.0923,0.1050,0.9418,0.952
0.009000,-0.1004,0.1072,0.9574,0.969
0.011000,-0.1068,0.1075,0.9691,0.981
0.014000,-0.1126,0.1053,0.9762,0.988
0.016000,-0.1185,0.0997,0.9796,0.992
0.018000,-0.1221,0.0933,0.9826,0.995
0.021000,-0.1229,0.0853,0.9855,0.997
0.031000,-0.1236,0.0777,0.9865,0.997
0.031000,-0.1226,0.0718,0.9874,0.998
0.031000,-0.1226,0.0652,0.9901,1.000
0.031000,-0.1226,0.0584,0.9906,1.000
0.033000,-0.1202,0.0528,0.9909,1.000
0.036000,-0.1160,0.0481,0.9940,1.002
0.040000,-0.1107,0.0454,0.9960,1.003
0.041000,-0.1050,0.0445,0.9975,1.004
0.044000,-0.0999,0.0432,0.9992,1.005
0.046000,-0.0955,0.0425,0.9994,1.005
0.048000,-0.0936,0.0418,0.9997,1.005
0.050000,-0.0963,0.0398,0.9992,1.005
0.053000,-0.1033,0.0381,0.9977,1.004
0.056000,-0.1116,0.0371,0.9977,1.005
0.058000,-0.1192,0.0364,1.0004,1.008
0.061000,-0.1256,0.0342,1.0038,1.012
0.063000,-0.1305,0.0335,1.0092,1.018
0.066000,-0.1373,0.0366,1.0190,1.029
0.068000,-0.1510,0.0437,1.0329,1.045
0.071000,-0.1744,0.0628,1.0532,1.069
0.073000,-0.1920,0.0831,1.0771,1.097
0.076000,-0.1820,0.0806,1.0842,1.102
0.078000,-0.1563,0.0621,1.0769,1.090
0.081000,-0.1312,0.0440,1.0734,1.082
0.083000,-0.1126,0.0310,1.0705,1.077
0.086000,-0.1009,0.0230,1.0632,1.068
0.088000,-0.0899,0.0183,1.0490,1.053
0.091000,-0.0818,0.0129,1.0336,1.037
0.093000,-0.0738,0.0034,1.0175,1.020
0.096000,-0.0572,-0.0117,0.9992,1.001
0.098000,-0.0357,-0.0310,0.9892,0.990
0.100000,-0.0210,-0.0450,0.9867,0.988
0.102000,-0.0217,-0.0398,0.9725,0.974
0.105000,-0.0388,-0.0151,0.9403,0.941
0.108000,-0.0684,0.0159,0.9056,0.908
0.110000,-0.1024,0.0462,0.8848,0.892
0.112000,-0.1317,0.0723,0.8831,0.896
0.115000,-0.1512,0.0894,0.8973,0.914
0.118000,-0.1610,0.0972,0.9168,0.936
0.120000,-0.1585,0.0989,0.9315,0.950
0.132000,-0.1456,0.0948,0.9366,0.953
0.133000,-0.1297,0.0860,0.9342,0.947
0.133000,-0.1153,0.0760,0.9315,0.942
0.133000,-0.1053,0.0664,0.9310,0.939
0.133000,-0.1024,0.0567,0.9361,0.943
0.135000,-0.1036,0.0476,0.9484,0.955
0.137000,-0.1107,0.0398,0.9615,0.969
0.141000,-0.1202,0.0327,0.9745,0.982
0.144000,-0.1270,0.0252,0.9874,0.996
0.145000,-0.1324,0.0164,1.0014,1.010
0.147000,-0.1314,0.0064,1.0246,1.033
0.150000,-0.1265,0.0039,1.0558,1.063
0.157000,-0.1229,0.0112,1.0805,1.088
0.160000,-0.1168,0.0183,1.0910,1.097
0.161000,-0.1046,0.0222,1.0878,1.093
0.168000,-0.0892,0.0247,1.0781,1.082
0.169000,-0.0774,0.0293,1.0664,1.070
0.169000,-0.0672,0.0322,1.0536,1.056
0.170000,-0.0564,0.0354,1.0441,1.046
0.170000,-0.0481,0.0432,1.0353,1.037
0.173000,-0.0420,0.0498,1.0248,1.027
0.175000,-0.0359,0.0528,1.0190,1.021
0.177000,-0.0352,0.0530,1.0214,1.023
0.179000,-0.0391,0.0498,1.0314,1.033
0.182000,-0.0450,0.0467,1.0483,1.050
0.184000,-0.0547,0.0428,1.0632,1.065
0.186000,-0.0645,0.0388,1.0729,1.076
0.190000,-0.0704,0.0369,1.0793,1.082
0.193000,-0.0757,0.0366,1.0798,1.083
0.194000,-0.0789,0.0376,1.0720,1.076
0.196000,-0.0833,0.0384,1.0578,1.062
