time,gFx,gFy,gFz,TgF
0.004000,-0.0835,0.1747,0.8985,0.919
0.005000,-0.0875,0.1781,0.9115,0.933
0.005000,-0.0875,0.1805,0.9242,0.946
0.005000,-0.0855,0.1825,0.9386,0.960
0.005000,-0.0826,0.1832,0.9508,0.972
0.006000,-0.0777,0.1810,0.9603,0.980
0.006000,-0.0728,0.1781,0.9674,0.986
0.009000,-0.0704,0.1759,0.9723,0.991
0.010000,-0.0701,0.1730,0.9740,0.992
0.012000,-0.0708,0.1695,0.9708,0.988
0.026000,-0.0748,0.1644,0.9655,0.982
0.027000,-0.0794,0.1610,0.9598,0.976
0.027000,-0.0821,0.1598,0.9550,0.972
0.027000,-0.0811,0.1585,0.9540,0.970
0.027000,-0.0772,0.1583,0.9559,0.972
0.027000,-0.0706,0.1598,0.9596,0.975
0.032000,-0.0623,0.1588,0.9628,0.978
0.034000,-0.0545,0.1546,0.9647,0.979
0.035000,-0.0476,0.1493,0.9684,0.981
0.038000,-0.0420,0.1427,0.9728,0.984
0.040000,-0.0381,0.1366,0.9752,0.985
0.042000,-0.0364,0.1314,0.9782,0.988
0.045000,-0.0376,0.1285,0.9813,0.990
0.048000,-0.0393,0.1268,0.9838,0.993
0.051000,-0.0381,0.1253,0.9911,1.000
0.053000,-0.0354,0.1241,0.9997,1.008
0.055000,-0.0325,0.1239,1.0060,1.014
0.058000,-0.0281,0.1265,1.0124,1.021
0.060000,-0.0249,0.1322,1.0212,1.030
0.062000,-0.0249,0.1378,1.0348,1.044
0.065000,-0.0261,0.1397,1.0488,1.058
0.067000,-0.0266,0.1397,1.0558,1.065
0.070000,-0.0266,0.1390,1.0571,1.067
0.072000,-0.0283,0.1358,1.0551,1.064
0.075000,-0.0308,0.1349,1.0541,1.063
0.077000,-0.0335,0.1353,1.0512,1.060
0.079000,-0.0366,0.1331,1.0451,1.054
0.083000,-0.0386,0.1329,1.0375,1.047
0.084000,-0.0393,0.1341,1.0275,1.037
0.087000,-0.0406,0.1356,1.0175,1.027
0.090000,-0.0432,0.1405,1.0114,1.022
0.092000,-0.0459,0.1436,1.0082,1.019
0.095000,-0.0467,0.1449,1.0045,1.016
0.098000,-0.0459,0.1473,0.9982,1.010
0.100000,-0.0462,0.1510,0.9901,1.003
0.102000,-0.0476,0.1549,0.9845,0.998
0.104000,-0.0481,0.1559,0.9772,0.991
0.107000,-0.0486,0.1544,0.9672,0.981
0.109000,-0.0501,0.1527,0.9630,0.976
0.112000,-0.0523,0.1505,0.9606,0.974
0.116000,-0.0525,0.1483,0.9586,0.971
0.118000,-0.0493,0.1478,0.9603,0.973
0.119000,-0.0474,0.1490,0.9615,0.974
0.121000,-0.0467,0.1502,0.9642,0.977
0.124000,-0.0464,0.1507,0.9681,0.981
0.126000,-0.0462,0.1505,0.9694,0.982
0.129000,-0.0457,0.1505,0.9718,0.984
0.139000,-0.0462,0.1495,0.9752,0.988
0.140000,-0.0442,0.1480,0.9779,0.990
0.140000,-0.0418,0.1471,0.9796,0.991
0.141000,-0.0418,0.1456,0.9806,0.992
0.141000,-0.0447,0.1444,0.9845,0.996
0.143000,-0.0481,0.1446,0.9884,1.000
0.146000,-0.0489,0.1444,0.9914,1.003
0.151000,-0.0486,0.1444,0.9943,1.006
0.152000,-0.0486,0.1444,0.9962,1.008
0.154000,-0.0476,0.1454,0.9999,1.012
0.156000,-0.0457,0.1488,1.0050,1.017
0.158000,-0.0437,0.1517,1.0077,1.020
0.161000,-0.0430,0.1537,1.0085,1.021
0.166000,-0.0440,0.1537,1.0060,1.019
0.166000,-0.0462,0.1529,1.0006,1.013
0.168000,-0.0503,0.1515,0.9948,1.007
0.171000,-0.0535,0.1502,0.9894,1.002
0.173000,-0.0555,0.1485,0.9833,0.996
0.175000,-0.0550,0.1461,0.9757,0.988
0.178000,-0.0515,0.1451,0.9684,0.981
0.182000,-0.0469,0.1461,0.9630,0.975
0.183000,-0.0425,0.1458,0.9603,0.972
0.185000,-0.0398,0.1439,0.9584,0.970
0.188000,-0.0401,0.1424,0.9554,0.967
0.190000,-0.0418,0.1424,0.9532,0.965
0.193000,-0.0430,0.1417,0.9552,0.967
0.195000,-0.0462,0.1410,0.9576,0.969
0.200000,-0.0489,0.1422,0.9613,0.973
0.201000,-0.0508,0.1432,0.9667,0.979
0.203000,-0.0515,0.1451,0.9740,0.986
0.205000,-0.0518,0.1473,0.9828,0.995
0.208000,-0.0518,0.1498,0.9918,1.004
0.210000,-0.0520,0.1512,1.0016,1.014
0.213000,-0.0537,0.1495,1.0104,1.023
0.215000,-0.0552,0.1502,1.0194,1.032
0.218000,-0.0559,0.1527,1.0292,1.042
0.220000,-0.0567,0.1539,1.0363,1.049
0.222000,-0.0581,0.1556,1.0402,1.053
0.225000,-0.0596,0.1561,1.0417,1.055
0.227000,-0.0601,0.1559,1.0427,1.056
0.233000,-0.0591,0.1559,1.0419,1.055
0.234000,-0.0579,0.1559,1.0387,1.052
0.236000,-0.0577,0.1549,1.0356,1.049
0.237000,-0.0569,0.1532,1.0297,1.043
0.240000,-0.0555,0.1522,1.0221,1.035
0.243000,-0.0557,0.1520,1.0136,1.026
0.245000,-0.0555,0.1537,1.0033,1.017
0.251000,-0.0559,0.1559,0.9950,1.009
0.252000,-0.0557,0.1563,0.9843,0.998
0.253000,-0.0562,0.1583,0.9733,0.988
0.255000,-0.0577,0.1600,0.9655,0.980
0.257000,-0.0577,0.1610,0.9584,0.974
0.260000,-0.0584,0.1629,0.9552,0.971
0.262000,-0.0596,0.1664,0.9552,0.971
0.267000,-0.0601,0.1691,0.9550,0.972
0.268000,-0.0601,0.1698,0.9542,0.971
0.270000,-0.0601,0.1705,0.9559,0.973
0.272000,-0.0608,0.1708,0.9581,0.975
0.274000,-0.0616,0.1713,0.9603,0.977
0.278000,-0.0652,0.1708,0.9615,0.979
0.280000,-0.0686,0.1688,0.9620,0.979
0.283000,-0.0711,0.1678,0.9620,0.979
0.284000,-0.0723,0.1686,0.9650,0.982
0.287000,-0.0718,0.1698,0.9677,0.985
0.289000,-0.0721,0.1713,0.9691,0.987
0.292000,-0.0718,0.1739,0.9723,0.990
0.294000,-0.0723,0.1759,0.9745,0.993
0.301000,-0.0735,0.1759,0.9757,0.994
0.302000,-0.0748,0.1754,0.9782,0.997
0.302000,-0.0789,0.1759,0.9813,1.000
0.305000,-0.0840,0.1759,0.9850,1.004
0.307000,-0.0872,0.1742,0.9892,1.008
0.309000,-0.0919,0.1717,0.9904,1.009
0.312000,-0.0970,0.1688,0.9906,1.010
0.316000,-0.0992,0.1676,0.9896,1.009
0.319000,-0.1021,0.1678,0.9914,1.011
0.319000,-0.1068,0.1686,0.9940,1.014
0.321000,-0.1099,0.1678,0.9928,1.013
0.324000,-0.1131,0.1632,0.9901,1.010
0.326000,-0.1173,0.1612,0.9899,1.010
0.329000,-0.1185,0.1595,0.9921,1.012
0.334000,-0.1175,0.1576,0.9901,1.009
0.335000,-0.1180,0.1576,0.9813,1.001
0.337000,-0.1190,0.1581,0.9672,0.987
0.339000,-0.1202,0.1590,0.9510,0.972
0.341000,-0.1248,0.1598,0.9379,0.960
0.343000,-0.1287,0.1639,0.9269,0.950
0.346000,-0.1287,0.1698,0.9110,0.936
0.349000,-0.1312,0.1720,0.8951,0.921
0.352000,-0.1363,0.1727,0.8834,0.910
0.354000,-0.1368,0.1747,0.8685,0.896
0.357000,-0.1373,0.1715,0.8475,0.875
0.358000,-0.1424,0.1629,0.8289,0.857
0.360000,-0.1473,0.1551,0.8181,0.846
0.366000,-0.1495,0.1495,0.8098,0.837
0.367000,-0.1493,0.1454,0.8015,0.828
0.369000,-0.1483,0.1417,0.7932,0.819
0.370000,-0.1341,0.1239,0.7786,0.800
0.373000,-0.0926,0.0555,0.7434,0.751
0.375000,-0.0782,0.0359,0.7204,0.726
0.378000,-0.1026,0.0975,0.7475,0.761
0.384000,-0.1356,0.1334,0.8047,0.827
0.385000,-0.1659,0.1559,0.8453,0.875
0.385000,-0.1703,0.1874,0.8497,0.887
0.388000,-0.1571,0.2201,0.8399,0.882
0.390000,-0.1427,0.2477,0.8338,0.881
0.393000,-0.1344,0.2641,0.8399,0.891
0.396000,-0.1241,0.2714,0.8572,0.908
0.400000,-0.1121,0.2675,0.8748,0.922
0.401000,-0.1028,0.2172,0.8834,0.915
0.403000,-0.0782,0.1385,0.9208,0.934
0.406000,-0.0210,0.1231,1.0666,1.074
0.408000,0.0178,0.1488,1.1626,1.172
0.410000,0.0188,0.1578,1.1399,1.151
0.413000,0.0183,0.1629,1.1279,1.140
0.416000,0.0149,0.1710,1.1233,1.136
0.418000,0.0071,0.1844,1.1196,1.135
0.420000,-0.0010,0.1962,1.1128,1.130
0.422000,-0.0071,0.2057,1.1010,1.120
0.425000,-0.0107,0.2167,1.0771,1.099
0.428000,-0.0056,0.2397,1.0280,1.056
0.434000,0.0151,0.2800,0.9513,0.992
0.435000,0.0415,0.3276,0.8780,0.938
0.437000,0.0559,0.3672,0.8475,0.925
0.437000,0.0515,0.3809,0.8787,0.959
0.440000,0.0271,0.3640,0.9567,1.024
0.442000,-0.0125,0.3276,1.0236,1.075
0.445000,-0.0498,0.2885,1.0424,1.083
0.449000,-0.0704,0.2555,1.0224,1.056
0.450000,-0.0726,0.2291,0.9950,1.024
0.452000,-0.0647,0.2099,0.9850,1.009
0.454000,-0.0547,0.1962,0.9901,1.011
0.457000,-0.0471,0.1859,1.0028,1.021
0.459000,-0.0462,0.1813,1.0182,1.035
0.461000,-0.0493,0.1783,1.0312,1.048
0.464000,-0.0550,0.1766,1.0405,1.057
0.467000,-0.0618,0.1764,1.0488,1.065
0.469000,-0.0652,0.1754,1.0549,1.071
0.472000,-0.0657,0.1722,1.0598,1.076
0.474000,-0.0652,0.1664,1.0617,1.077
0.477000,-0.0655,0.1595,1.0602,1.074
0.480000,-0.0660,0.1556,1.0580,1.071
0.482000,-0.0664,0.1549,1.0556,1.069
0.484000,-0.0667,0.1524,1.0495,1.063
0.487000,-0.0652,0.1478,1.0397,1.052
0.489000,-0.0630,0.1434,1.0268,1.039
