time,gFx,gFy,gFz,TgF
0.003000,-0.1021,0.6769,0.5853,0.901
0.004000,-0.1048,0.6823,0.5856,0.905
0.004000,-0.1072,0.6865,0.5873,0.910
0.004000,-0.1080,0.6916,0.5907,0.916
0.004000,-0.1090,0.6984,0.5946,0.924
0.005000,-0.1077,0.7048,0.6007,0.932
0.009000,-0.1055,0.7085,0.6073,0.939
0.009000,-0.1028,0.7131,0.6137,0.946
0.011000,-0.0994,0.7187,0.6222,0.956
0.014000,-0.0975,0.7219,0.6327,0.965
0.016000,-0.0948,0.7241,0.6413,0.972
0.019000,-0.0911,0.7265,0.6486,0.978
0.021000,-0.0897,0.7280,0.6564,0.984
0.034000,-0.0860,0.7282,0.6650,0.990
0.035000,-0.0818,0.7278,0.6730,0.995
0.035000,-0.0801,0.7268,0.6801,0.999
0.035000,-0.0779,0.7253,0.6867,1.002
0.035000,-0.0750,0.7221,0.6928,1.004
0.036000,-0.0743,0.7202,0.6977,1.005
0.039000,-0.0745,0.7190,0.7031,1.008
0.041000,-0.0730,0.7185,0.7080,1.011
0.044000,-0.0721,0.7177,0.7104,1.012
0.047000,-0.0735,0.7151,0.7129,1.012
0.049000,-0.0762,0.7146,0.7146,1.013
0.051000,-0.0782,0.7148,0.7173,1.016
0.054000,-0.0806,0.7136,0.7204,1.017
0.056000,-0.0848,0.7124,0.7229,1.018
0.060000,-0.0875,0.7119,0.7248,1.020
0.061000,-0.0897,0.7109,0.7268,1.021
0.064000,-0.0921,0.7094,0.7290,1.021
0.066000,-0.0950,0.7085,0.7275,1.020
0.068000,-0.0985,0.7065,0.7263,1.018
0.071000,-0.1011,0.7045,0.7265,1.017
0.074000,-0.1026,0.7033,0.7238,1.014
0.076000,-0.1050,0.7021,0.7216,1.012
0.079000,-0.1080,0.7006,0.7185,1.009
0.081000,-0.1099,0.7004,0.7153,1.007
0.083000,-0.1104,0.7006,0.7124,1.005
0.086000,-0.1121,0.6997,0.7102,1.003
0.089000,-0.1136,0.6994,0.7077,1.001
0.091000,-0.1141,0.6997,0.7063,1.001
0.093000,-0.1146,0.7004,0.7082,1.003
0.096000,-0.1148,0.7021,0.7082,1.004
0.099000,-0.1148,0.7058,0.7082,1.006
0.101000,-0.1134,0.7089,0.7104,1.010
0.103000,-0.1134,0.7104,0.7124,1.012
0.105000,-0.1129,0.7133,0.7153,1.016
0.108000,-0.1092,0.7185,0.7192,1.022
0.111000,-0.1060,0.7221,0.7212,1.026
0.114000,-0.1021,0.7253,0.7219,1.028
0.116000,-0.0960,0.7287,0.7229,1.031
0.118000,-0.0901,0.7309,0.7234,1.032
0.121000,-0.0857,0.7339,0.7229,1.034
0.123000,-0.0809,0.7358,0.7226,1.034
0.135000,-0.0757,0.7373,0.7226,1.035
0.136000,-0.0738,0.7392,0.7224,1.036
0.136000,-0.0745,0.7397,0.7207,1.035
0.137000,-0.0735,0.7392,0.7185,1.033
0.137000,-0.0726,0.7405,0.7163,1.033
0.138000,-0.0735,0.7412,0.7136,1.031
0.141000,-0.0740,0.7397,0.7104,1.028
0.143000,-0.0752,0.7390,0.7070,1.025
0.146000,-0.0774,0.7373,0.7043,1.023
0.148000,-0.0804,0.7334,0.7026,1.019
0.150000,-0.0843,0.7312,0.6999,1.016
0.152000,-0.0894,0.7314,0.6972,1.014
0.155000,-0.0941,0.7290,0.6967,1.013
0.159000,-0.0987,0.7256,0.6965,1.011
0.160000,-0.1031,0.7241,0.6950,1.009
0.162000,-0.1072,0.7231,0.6933,1.008
0.165000,-0.1114,0.7212,0.6918,1.006
0.167000,-0.1134,0.7182,0.6914,1.003
0.169000,-0.1156,0.7163,0.6918,1.003
0.172000,-0.1190,0.7146,0.6916,1.002
0.175000,-0.1207,0.7124,0.6909,1.000
0.177000,-0.1219,0.7107,0.6916,0.999
0.179000,-0.1224,0.7104,0.6940,1.001
0.182000,-0.1221,0.7097,0.6948,1.001
0.184000,-0.1231,0.7077,0.6945,0.999
0.187000,-0.1241,0.7075,0.6970,1.001
0.189000,-0.1231,0.7080,0.6989,1.002
0.193000,-0.1212,0.7065,0.7006,1.002
0.194000,-0.1187,0.7055,0.7031,1.003
0.197000,-0.1168,0.7050,0.7060,1.005
0.200000,-0.1156,0.7063,0.7085,1.007
0.203000,-0.1138,0.7072,0.7094,1.008
0.204000,-0.1116,0.7060,0.7111,1.008
0.219000,-0.1104,0.7060,0.7136,1.010
0.221000,-0.1090,0.7077,0.7163,1.013
0.221000,-0.1080,0.7094,0.7199,1.016
0.222000,-0.1080,0.7111,0.7216,1.019
0.222000,-0.1068,0.7124,0.7234,1.021
0.223000,-0.1046,0.7133,0.7258,1.023
0.223000,-0.1048,0.7160,0.7270,1.026
0.241000,-0.1055,0.7180,0.7285,1.028
0.243000,-0.1048,0.7185,0.7300,1.030
0.243000,-0.1053,0.7197,0.7312,1.031
0.244000,-0.1068,0.7219,0.7331,1.034
0.244000,-0.1065,0.7234,0.7336,1.036
0.244000,-0.1058,0.7234,0.7334,1.036
0.245000,-0.1050,0.7236,0.7351,1.037
0.246000,-0.1026,0.7246,0.7363,1.038
0.246000,-0.1002,0.7258,0.7344,1.037
0.246000,-0.0987,0.7260,0.7319,1.036
0.249000,-0.0955,0.7263,0.7312,1.035
0.252000,-0.0931,0.7251,0.7292,1.033
0.253000,-0.0914,0.7236,0.7256,1.029
0.259000,-0.0899,0.7226,0.7214,1.025
0.260000,-0.0889,0.7197,0.7182,1.021
0.261000,-0.0879,0.7175,0.7141,1.016
0.263000,-0.0875,0.7165,0.7092,1.012
0.266000,-0.0879,0.7163,0.7053,1.009
0.268000,-0.0875,0.7148,0.7006,1.005
0.271000,-0.0882,0.7131,0.6975,1.001
0.275000,-0.0894,0.7133,0.6958,1.000
0.276000,-0.0894,0.7136,0.6926,0.998
0.278000,-0.0916,0.7146,0.6899,0.997
0.281000,-0.0941,0.7153,0.6874,0.997
0.283000,-0.0953,0.7146,0.6852,0.995
0.286000,-0.0960,0.7133,0.6857,0.994
0.288000,-0.0950,0.7129,0.6857,0.994
0.292000,-0.0953,0.7141,0.6852,0.994
0.293000,-0.0980,0.7165,0.6860,0.997
0.295000,-0.0987,0.7170,0.6882,0.999
0.298000,-0.0977,0.7168,0.6899,1.000
0.301000,-0.0977,0.7163,0.6940,1.002
0.303000,-0.0985,0.7155,0.6977,1.004
0.305000,-0.0987,0.7168,0.6984,1.006
0.310000,-0.0960,0.7170,0.6994,1.006
0.311000,-0.0936,0.7155,0.7019,1.007
0.313000,-0.0941,0.7155,0.7031,1.008
0.316000,-0.0936,0.7151,0.7031,1.007
0.318000,-0.0916,0.7146,0.7041,1.007
0.320000,-0.0914,0.7148,0.7038,1.007
0.323000,-0.0916,0.7129,0.7053,1.007
0.336000,-0.0916,0.7121,0.7067,1.007
0.337000,-0.0904,0.7126,0.7077,1.008
0.338000,-0.0884,0.7116,0.7111,1.010
0.338000,-0.0872,0.7107,0.7133,1.011
0.338000,-0.0867,0.7107,0.7153,1.012
0.340000,-0.0867,0.7116,0.7192,1.015
0.340000,-0.0855,0.7119,0.7216,1.017
0.343000,-0.0843,0.7119,0.7231,1.018
0.345000,-0.0838,0.7111,0.7234,1.018
0.348000,-0.0828,0.7109,0.7226,1.017
0.350000,-0.0821,0.7107,0.7236,1.018
0.353000,-0.0823,0.7116,0.7248,1.019
0.355000,-0.0821,0.7114,0.7251,1.019
0.360000,-0.0816,0.7104,0.7263,1.019
0.360000,-0.0804,0.7109,0.7265,1.020
0.362000,-0.0792,0.7114,0.7260,1.020
0.365000,-0.0784,0.7107,0.7256,1.019
0.367000,-0.0774,0.7097,0.7246,1.017
0.369000,-0.0765,0.7085,0.7236,1.016
0.372000,-0.0765,0.7089,0.7234,1.016
0.375000,-0.0760,0.7092,0.7231,1.016
0.377000,-0.0748,0.7080,0.7226,1.014
0.379000,-0.0750,0.7075,0.7214,1.013
0.382000,-0.0762,0.7067,0.7197,1.012
0.384000,-0.0760,0.7067,0.7163,1.009
0.387000,-0.0762,0.7072,0.7114,1.006
0.391000,-0.0779,0.7063,0.7067,1.002
0.392000,-0.0801,0.7063,0.7031,1.000
0.394000,-0.0826,0.7060,0.6977,0.996
0.397000,-0.0838,0.7048,0.6909,0.990
0.402000,-0.0840,0.7050,0.6865,0.988
0.409000,-0.0855,0.7041,0.6840,0.985
0.410000,-0.0887,0.7041,0.6813,0.984
0.410000,-0.0911,0.7043,0.6782,0.982
0.411000,-0.0923,0.7011,0.6757,0.978
0.413000,-0.0953,0.6999,0.6738,0.976
0.414000,-0.0987,0.7016,0.6721,0.977
0.417000,-0.1009,0.7016,0.6721,0.977
0.419000,-0.1031,0.7021,0.6733,0.978
0.422000,-0.1053,0.7021,0.6740,0.979
0.428000,-0.1077,0.7016,0.6750,0.980
0.429000,-0.1094,0.7011,0.6769,0.981
0.430000,-0.1097,0.7002,0.6791,0.982
0.431000,-0.1102,0.6994,0.6823,0.983
0.435000,-0.1102,0.6989,0.6855,0.985
0.436000,-0.1090,0.6984,0.6874,0.986
0.439000,-0.1080,0.6980,0.6899,0.987
0.442000,-0.1070,0.6977,0.6938,0.990
0.444000,-0.1063,0.6984,0.6982,0.993
0.446000,-0.1068,0.6984,0.7019,0.996
0.448000,-0.1065,0.6997,0.7026,0.997
0.451000,-0.1065,0.7021,0.7058,1.001
0.454000,-0.1070,0.7028,0.7102,1.005
0.460000,-0.1075,0.7031,0.7124,1.007
0.461000,-0.1085,0.7041,0.7168,1.011
0.464000,-0.1107,0.7041,0.7195,1.013
0.464000,-0.1129,0.7053,0.7177,1.013
0.466000,-0.1131,0.7067,0.7175,1.013
0.468000,-0.1129,0.7075,0.7168,1.013
0.471000,-0.1134,0.7075,0.7138,1.011
0.474000,-0.1143,0.7065,0.7133,1.010
0.476000,-0.1141,0.7070,0.7114,1.009
0.479000,-0.1148,0.7067,0.7097,1.008
0.481000,-0.1158,0.7058,0.7089,1.007
0.483000,-0.1151,0.7058,0.7065,1.005
0.486000,-0.1143,0.7065,0.7048,1.004
0.488000,-0.1148,0.7067,0.7041,1.004
0.492000,-0.1170,0.7075,0.7016,1.003
0.497000,-0.1190,0.7080,0.6992,1.002
0.497000,-0.1217,0.7077,0.6994,1.002
0.498000,-0.1229,0.7085,0.6989,1.003
0.500000,-0.1231,0.7099,0.6977,1.003
0.503000,-0.1239,0.7102,0.6992,1.004
0.506000,-0.1229,0.7104,0.7024,1.007
0.508000,-0.1241,0.7126,0.7050,1.010
0.510000,-0.1239,0.7153,0.7080,1.014
0.513000,-0.1209,0.7160,0.7116,1.017
0.515000,-0.1195,0.7163,0.7143,1.019
0.518000,-0.1175,0.7187,0.7180,1.023
0.520000,-0.1148,0.7195,0.7216,1.025
0.523000,-0.1134,0.7185,0.7238,1.026
0.529000,-0.1109,0.7177,0.7246,1.026
0.530000,-0.1097,0.7168,0.7253,1.026
0.531000,-0.1102,0.7170,0.7270,1.027
0.533000,-0.1102,0.7155,0.7268,1.026
0.536000,-0.1090,0.7146,0.7285,1.026
0.538000,-0.1072,0.7148,0.7309,1.028
0.548000,-0.1080,0.7148,0.7319,1.029
0.549000,-0.1094,0.7146,0.7334,1.030
0.550000,-0.1102,0.7148,0.7344,1.031
0.550000,-0.1099,0.7155,0.7348,1.032
0.550000,-0.1099,0.7143,0.7356,1.031
0.552000,-0.1092,0.7151,0.7368,1.033
0.556000,-0.1072,0.7158,0.7383,1.034
0.559000,-0.1058,0.7158,0.7385,1.034
0.562000,-0.1050,0.7165,0.7392,1.035
0.562000,-0.1043,0.7173,0.7422,1.037
0.564000,-0.1021,0.7177,0.7456,1.040
0.567000,-0.0992,0.7168,0.7480,1.041
0.569000,-0.0982,0.7180,0.7500,1.043
0.572000,-0.0977,0.7209,0.7537,1.048
0.574000,-0.0960,0.7216,0.7566,1.050
0.577000,-0.0953,0.7216,0.7590,1.052
0.579000,-0.0931,0.7209,0.7610,1.052
0.582000,-0.0909,0.7204,0.7624,1.053
0.584000,-0.0909,0.7212,0.7646,1.055
0.587000,-0.0916,0.7212,0.7659,1.056
0.590000,-0.0906,0.7204,0.7646,1.054
0.593000,-0.0897,0.7158,0.7632,1.050
0.594000,-0.0906,0.7109,0.7637,1.047
0.597000,-0.0914,0.7085,0.7615,1.044
0.599000,-0.0928,0.7067,0.7559,1.039
0.601000,-0.0953,0.7041,0.7515,1.034
0.605000,-0.0972,0.6999,0.7507,1.031
0.613000,-0.0997,0.6972,0.7490,1.028
0.614000,-0.1028,0.6950,0.7441,1.023
0.615000,-0.1050,0.6938,0.7409,1.020
0.615000,-0.1099,0.6936,0.7395,1.020
0.617000,-0.1126,0.6918,0.7356,1.016
0.619000,-0.1131,0.6896,0.7297,1.010
0.622000,-0.1151,0.6877,0.7253,1.006
0.634000,-0.1173,0.6855,0.7212,1.002
0.635000,-0.1180,0.6843,0.7160,0.997
0.636000,-0.1187,0.6833,0.7129,0.995
0.636000,-0.1199,0.6816,0.7085,0.990
0.636000,-0.1207,0.6813,0.7041,0.987
0.637000,-0.1209,0.6816,0.7004,0.985
0.639000,-0.1195,0.6809,0.6955,0.981
0.648000,-0.1192,0.6821,0.6921,0.979
0.649000,-0.1173,0.6848,0.6901,0.979
0.650000,-0.1141,0.6862,0.6899,0.980
0.650000,-0.1114,0.6874,0.6894,0.980
0.651000,-0.1070,0.6892,0.6899,0.981
0.653000,-0.1024,0.6926,0.6911,0.984
0.658000,-0.0975,0.6965,0.6916,0.986
0.659000,-0.0941,0.7002,0.6926,0.989
0.661000,-0.0892,0.7033,0.6933,0.992
0.663000,-0.0826,0.7070,0.6938,0.994
0.666000,-0.0796,0.7111,0.6943,0.997
0.668000,-0.0767,0.7131,0.6945,0.998
0.671000,-0.0718,0.7165,0.6931,0.999
