time,gFx,gFy,gFz,TgF
0.006000,-0.0127,0.4927,0.6882,0.846
0.007000,-0.0332,0.4854,0.6914,0.845
0.007000,-0.0508,0.4769,0.7065,0.854
0.007000,-0.0642,0.4700,0.7329,0.873
0.008000,-0.0716,0.4639,0.7671,0.899
0.008000,-0.0728,0.4581,0.8101,0.933
0.008000,-0.0694,0.4541,0.8587,0.974
0.014000,-0.0633,0.4507,0.9076,1.015
0.014000,-0.0535,0.4478,0.9523,1.054
0.014000,-0.0403,0.4471,0.9933,1.090
0.015000,-0.0244,0.4490,1.0326,1.126
0.017000,-0.0086,0.4529,1.0717,1.164
0.020000,0.0073,0.4585,1.1084,1.199
0.032000,0.0252,0.4673,1.1426,1.235
0.032000,0.0432,0.4803,1.1756,1.271
0.033000,0.0606,0.4957,1.2010,1.301
0.033000,0.0728,0.5089,1.2159,1.320
0.033000,0.0811,0.5191,1.2251,1.333
0.035000,0.0867,0.5250,1.2295,1.340
0.037000,0.0875,0.5272,1.2278,1.339
0.039000,0.0857,0.5267,1.2207,1.332
0.042000,0.0855,0.5223,1.2088,1.320
0.045000,0.0845,0.5140,1.1924,1.301
0.048000,0.0806,0.5013,1.1753,1.280
0.050000,0.0735,0.4857,1.1606,1.260
0.052000,0.0660,0.4710,1.1506,1.245
0.055000,0.0586,0.4573,1.1457,1.235
0.057000,0.0496,0.4456,1.1374,1.223
0.060000,0.0376,0.4373,1.1223,1.205
0.062000,0.0227,0.4292,1.1052,1.186
0.065000,0.0017,0.4180,1.0883,1.166
0.067000,-0.0220,0.4094,1.0707,1.147
0.070000,-0.0425,0.4048,1.0495,1.126
0.073000,-0.0603,0.4014,1.0231,1.101
0.074000,-0.0774,0.4011,0.9916,1.072
0.077000,-0.0921,0.4011,0.9557,1.041
0.079000,-0.1046,0.3989,0.9205,1.009
0.082000,-0.1160,0.3977,0.8902,0.982
0.085000,-0.1251,0.3950,0.8604,0.955
0.087000,-0.1324,0.3916,0.8301,0.927
0.090000,-0.1402,0.3894,0.8050,0.905
0.092000,-0.1468,0.3875,0.7849,0.888
0.095000,-0.1515,0.3855,0.7668,0.872
0.099000,-0.1556,0.3813,0.7541,0.859
0.099000,-0.1598,0.3774,0.7456,0.851
0.102000,-0.1625,0.3765,0.7434,0.849
0.109000,-0.1605,0.3760,0.7458,0.851
0.110000,-0.1556,0.3772,0.7517,0.855
0.110000,-0.1483,0.3813,0.7593,0.863
0.112000,-0.1363,0.3887,0.7671,0.871
0.114000,-0.1221,0.3977,0.7844,0.888
0.117000,-0.1063,0.4087,0.8057,0.910
0.119000,-0.0875,0.4217,0.8233,0.929
0.124000,-0.0689,0.4336,0.8404,0.948
0.125000,-0.0530,0.4444,0.8548,0.965
0.126000,-0.0401,0.4544,0.8692,0.982
0.128000,-0.0291,0.4629,0.8839,0.998
0.131000,-0.0205,0.4690,0.8983,1.014
0.133000,-0.0129,0.4730,0.9120,1.027
0.136000,-0.0054,0.4764,0.9261,1.041
0.140000,0.0000,0.4774,0.9405,1.055
0.142000,0.0056,0.4754,0.9547,1.067
0.143000,0.0090,0.4739,0.9681,1.078
0.146000,0.0107,0.4722,0.9774,1.086
0.148000,0.0169,0.4695,0.9857,1.092
0.150000,0.0217,0.4686,0.9933,1.098
0.153000,0.0257,0.4673,0.9992,1.103
0.156000,0.0296,0.4625,1.0021,1.104
0.158000,0.0320,0.4576,0.9987,1.099
