Dist,T1,T2,T3,CF1,CF2,CF3,CA1,CA2,CA3
10,06.06,5.40,6.26,4.38,4.91,4.47,6.99,6.54,06.03
20,9.75,9.23,9.39,8.70,8.25,7.83,10.73,10.53,10.01
30,12.59,12.15,12.59,11.18,11.00,10.27,13.38,13.24,12.67
