time,wx,wy,wz
0.444,-0.00,-0.01,0.00
0.446,-0.00,-0.01,0.01
0.449,0.00,-0.01,0.01
0.451,0.00,-0.01,0.01
0.454,0.00,-0.01,0.01
0.457,0.00,-0.01,0.01
0.461,0.00,-0.01,0.01
0.461,0.00,-0.01,0.01
0.464,0.01,-0.00,0.01
0.467,0.01,-0.00,0.00
0.469,0.01,-0.00,0.00
0.471,0.01,-0.00,0.00
0.473,0.01,-0.00,0.00
0.484,0.01,0.00,0.00
0.484,0.01,0.00,0.00
0.484,0.01,0.00,0.00
0.484,0.01,0.00,0.00
0.486,0.02,0.00,0.00
0.489,0.01,0.00,0.00
0.491,0.02,0.00,0.00
0.493,0.02,0.00,0.00
0.496,0.02,0.00,0.01
0.498,0.02,0.00,0.01
0.501,0.02,0.00,0.01
0.504,0.02,0.00,0.01
0.507,0.02,0.00,0.01
0.509,0.02,0.00,0.01
0.511,0.02,0.01,0.01
0.514,0.02,0.00,0.01
0.516,0.02,0.00,0.01
0.520,0.02,0.00,0.01
0.521,0.02,-0.00,0.01
0.524,0.02,0.00,0.01
0.526,0.02,-0.00,0.01
0.528,0.02,-0.00,0.01
0.531,0.02,-0.00,0.01
0.533,0.02,0.00,0.01
0.536,0.02,0.00,0.02
0.539,0.02,0.00,0.02
0.541,0.01,0.00,0.02
0.543,0.02,-0.00,0.02
0.547,0.02,-0.00,0.02
0.548,0.02,0.00,0.02
0.551,0.01,0.00,0.02
0.553,0.01,-0.00,0.02
0.556,0.02,-0.00,0.02
0.559,0.01,-0.00,0.02
0.561,0.01,-0.00,0.01
0.564,0.01,-0.00,0.02
0.565,0.01,-0.00,0.02
0.568,0.01,0.00,0.02
0.571,0.01,-0.00,0.02
0.573,0.01,-0.00,0.02
0.576,0.01,-0.00,0.02
0.580,0.01,-0.00,0.01
0.581,0.01,-0.00,0.02
0.583,0.01,-0.00,0.02
0.586,0.00,-0.00,0.02
0.588,0.00,-0.00,0.02
0.591,0.00,-0.00,0.02
0.601,0.00,-0.00,0.02
0.602,0.00,-0.00,0.02
0.602,0.00,-0.00,0.01
0.602,0.00,-0.00,0.01
0.602,0.00,-0.00,0.01
0.605,0.00,-0.00,0.01
0.608,0.00,-0.00,0.01
0.610,0.00,0.00,0.01
0.613,0.00,0.00,0.01
0.618,0.00,0.00,0.01
0.618,0.00,0.00,0.01
0.620,0.00,0.00,0.01
0.623,0.00,0.01,0.01
0.625,0.00,0.01,0.01
0.627,0.01,0.01,0.01
0.630,0.00,0.01,0.02
0.632,0.00,0.01,0.02
0.634,0.00,0.00,0.01
0.637,0.00,0.00,0.01
0.640,0.00,0.00,0.01
0.644,0.00,0.00,0.01
0.644,0.00,0.01,0.01
0.647,0.00,0.00,0.00
0.649,0.00,0.00,0.00
0.652,-0.00,0.00,0.00
0.655,-0.00,0.01,0.00
0.657,-0.00,0.01,0.00
0.659,-0.00,0.00,0.01
0.661,-0.00,0.00,0.01
0.664,-0.00,-0.00,0.00
0.667,-0.00,-0.00,0.00
0.669,-0.01,-0.00,0.00
0.672,-0.01,-0.01,0.00
0.674,-0.01,-0.01,0.00
0.678,-0.01,-0.01,0.00
0.680,-0.01,-0.01,0.00
0.681,-0.01,-0.01,0.00
0.684,-0.01,-0.01,0.00
0.687,-0.01,-0.01,0.00
0.689,-0.01,-0.00,0.00
0.692,-0.01,-0.00,-0.00
0.699,-0.01,-0.00,-0.00
0.700,-0.01,-0.00,-0.00
0.700,-0.01,0.00,-0.00
0.700,-0.01,0.00,-0.01
0.704,-0.01,0.00,-0.01
0.706,-0.01,-0.00,-0.01
0.709,-0.01,-0.00,-0.01
0.711,-0.01,-0.00,-0.01
0.714,-0.01,-0.00,-0.01
0.716,-0.01,-0.00,-0.01
0.718,-0.01,-0.00,-0.01
0.721,-0.01,-0.00,-0.01
0.724,-0.01,-0.00,-0.01
0.727,-0.01,0.00,-0.01
0.728,-0.01,-0.00,-0.01
0.731,-0.01,-0.00,-0.01
0.733,-0.01,-0.00,-0.01
0.735,-0.01,-0.00,-0.01
0.738,-0.01,-0.00,-0.01
0.741,-0.01,-0.00,-0.01
0.743,-0.01,-0.00,-0.01
0.746,-0.01,-0.00,-0.01
0.748,-0.01,-0.00,-0.01
0.751,-0.01,-0.00,-0.01
0.753,-0.01,-0.00,-0.01
0.756,-0.01,-0.00,-0.01
0.758,-0.01,-0.00,-0.01
0.760,-0.01,-0.00,-0.01
0.763,-0.01,-0.00,-0.01
0.765,-0.01,-0.00,-0.01
0.768,-0.01,-0.00,-0.01
0.770,-0.01,-0.00,-0.01
0.773,-0.01,-0.00,-0.01
0.776,-0.00,-0.00,-0.01
0.780,-0.00,-0.00,-0.01
0.780,-0.00,-0.00,-0.01
0.782,-0.01,-0.00,-0.01
0.785,-0.00,0.00,-0.01
0.787,-0.00,-0.00,-0.01
0.790,-0.00,0.00,-0.01
0.802,-0.00,0.00,-0.01
0.803,-0.00,0.00,-0.01
0.803,-0.00,-0.00,-0.01
0.803,-0.00,0.00,-0.01
0.803,-0.00,0.00,-0.01
0.805,-0.01,0.00,-0.01
0.807,-0.00,0.00,-0.01
0.811,-0.00,0.00,-0.01
0.812,-0.00,0.00,-0.01
0.815,-0.00,0.00,-0.01
0.818,-0.00,0.00,-0.01
0.819,-0.00,0.00,-0.01
0.822,-0.00,0.00,-0.01
0.825,-0.00,0.00,-0.01
0.827,-0.00,-0.00,-0.01
0.830,-0.00,-0.00,-0.00
0.832,-0.00,-0.00,-0.01
0.834,-0.00,-0.00,-0.00
0.837,-0.00,-0.00,-0.00
0.840,-0.00,-0.00,-0.00
0.844,-0.00,-0.00,-0.00
0.844,-0.00,-0.00,-0.00
0.847,-0.00,-0.00,-0.00
0.849,-0.01,-0.00,0.00
0.852,-0.00,-0.00,0.00
0.854,-0.00,-0.00,0.00
0.857,-0.00,-0.00,0.00
0.860,-0.01,-0.00,0.00
