time,wx,wy,wz
0.003,0.00,-0.00,0.01
0.004,0.00,0.00,0.01
0.004,0.01,0.00,0.01
0.004,0.01,0.01,0.00
0.004,0.01,0.01,0.00
0.004,0.01,0.01,0.00
0.004,0.01,0.00,0.00
0.006,0.01,0.00,0.00
0.011,0.01,0.00,0.00
0.011,0.01,0.00,0.00
0.013,0.01,0.01,0.01
0.017,0.01,0.00,0.01
0.019,0.01,0.00,0.01
0.023,0.00,-0.00,0.01
0.024,0.00,-0.00,0.01
0.027,-0.00,-0.00,0.01
0.029,0.00,-0.00,0.01
0.031,0.00,0.00,0.01
0.034,0.01,0.00,0.01
0.036,0.01,0.00,0.01
0.040,0.01,0.00,0.01
0.041,0.01,0.00,0.01
0.043,0.01,-0.00,0.01
0.046,0.01,-0.00,0.01
0.048,0.01,-0.00,0.01
0.051,0.01,-0.00,0.01
0.053,0.01,0.00,0.01
0.056,0.01,0.00,0.01
0.059,0.01,0.00,0.01
0.061,0.01,0.00,0.01
0.063,0.01,-0.00,0.01
0.066,0.00,-0.01,0.00
0.068,0.00,-0.00,0.00
0.070,0.00,-0.00,0.00
0.073,0.00,0.00,0.00
0.075,0.00,0.01,0.00
0.078,0.00,0.00,0.00
0.080,0.00,0.00,0.00
0.083,0.00,-0.00,0.00
0.085,0.00,-0.00,0.00
0.088,-0.00,-0.00,0.00
0.090,-0.00,-0.00,-0.00
0.092,-0.00,-0.00,-0.00
0.095,-0.00,0.00,-0.00
0.098,-0.00,-0.00,-0.00
0.100,-0.01,-0.01,-0.00
0.103,-0.01,-0.00,-0.00
0.105,-0.00,-0.00,-0.00
0.108,-0.00,-0.00,-0.00
0.110,-0.00,-0.00,-0.00
0.112,-0.00,0.00,-0.00
0.115,-0.01,-0.00,-0.00
0.118,-0.00,-0.00,-0.01
0.120,-0.01,-0.00,-0.01
0.124,-0.01,-0.00,-0.01
0.125,-0.01,-0.00,-0.01
0.128,-0.01,-0.00,-0.01
0.130,-0.01,-0.00,-0.01
0.133,-0.00,0.00,-0.01
0.135,-0.01,-0.00,-0.01
0.138,-0.01,-0.00,-0.01
0.141,-0.01,-0.00,-0.01
0.142,-0.00,-0.00,-0.01
0.145,-0.01,0.00,-0.01
0.147,-0.00,0.00,-0.01
0.149,-0.00,0.00,-0.01
0.152,-0.00,0.01,-0.00
0.155,-0.01,0.00,-0.00
0.157,-0.00,0.00,-0.00
0.159,-0.00,-0.00,-0.01
0.162,-0.01,-0.00,-0.01
0.164,-0.01,-0.00,-0.01
0.167,-0.01,0.00,-0.01
0.169,-0.01,0.00,-0.00
0.172,-0.01,0.00,-0.01
0.174,-0.01,0.00,-0.01
0.176,-0.01,0.00,-0.01
0.178,-0.01,0.00,-0.00
0.181,-0.01,0.00,-0.00
0.184,-0.01,-0.00,-0.00
0.186,-0.01,-0.00,-0.01
0.189,-0.01,-0.00,-0.01
0.191,-0.01,-0.01,-0.01
0.193,-0.01,-0.00,-0.00
0.196,-0.01,-0.00,-0.00
0.199,-0.01,-0.00,-0.00
0.201,-0.01,-0.00,-0.00
0.204,-0.01,-0.00,-0.01
0.206,-0.01,-0.00,-0.01
0.209,-0.01,-0.00,-0.00
0.211,-0.01,-0.00,-0.00
0.214,-0.01,-0.00,-0.00
0.217,-0.01,-0.00,-0.00
0.219,-0.01,-0.00,-0.00
0.225,-0.01,-0.00,-0.00
0.226,-0.01,0.00,-0.00
0.226,-0.01,0.00,0.00
0.229,-0.00,0.00,0.00
0.231,-0.01,0.00,0.00
0.233,-0.01,0.00,0.00
0.236,-0.00,0.00,0.00
0.238,-0.01,0.00,0.00
0.241,-0.01,0.00,0.00
0.243,-0.00,0.00,0.00
0.245,-0.00,0.00,0.00
0.248,-0.00,0.00,0.00
0.251,-0.00,0.00,0.00
0.253,-0.00,0.00,0.00
0.256,-0.01,0.00,0.00
0.258,-0.00,0.00,0.00
0.260,-0.00,0.00,0.00
0.262,-0.00,-0.00,0.00
0.265,-0.00,-0.00,0.00
0.269,-0.00,0.00,0.00
0.271,-0.00,-0.00,0.01
0.273,-0.00,-0.00,0.00
0.275,-0.00,-0.00,0.00
0.277,-0.00,-0.00,0.00
0.279,-0.00,-0.00,0.00
0.282,-0.00,-0.00,0.00
0.285,-0.00,-0.00,0.00
0.289,-0.00,-0.00,0.00
0.290,0.00,0.00,0.00
0.293,-0.00,0.00,0.00
0.296,0.00,-0.00,0.00
0.297,0.00,-0.00,-0.00
0.300,0.00,0.00,-0.00
0.303,0.00,0.00,-0.00
0.306,0.00,0.00,0.00
0.308,0.00,-0.00,0.00
0.310,0.00,0.00,0.00
0.312,0.00,0.00,0.00
0.315,0.00,-0.00,0.00
0.317,0.00,0.00,0.00
0.320,0.00,-0.00,-0.00
0.324,0.00,-0.00,-0.00
0.325,0.00,-0.00,-0.00
0.327,0.00,-0.00,-0.00
0.330,0.00,-0.00,-0.00
0.332,0.00,-0.00,-0.00
0.335,0.00,-0.00,-0.00
0.343,0.00,-0.00,0.00
0.343,0.00,-0.00,0.00
0.343,0.00,-0.00,0.00
0.344,0.00,-0.00,0.00
0.348,-0.00,0.00,0.00
0.349,-0.00,0.00,0.00
0.352,0.00,0.00,0.00
0.355,-0.00,0.00,0.00
0.357,-0.00,0.00,0.00
0.359,-0.00,-0.00,0.00
0.362,-0.00,-0.00,-0.00
0.364,-0.00,0.00,-0.00
0.367,-0.00,0.00,-0.00
0.369,-0.00,0.00,0.00
0.371,-0.00,0.00,0.00
0.374,-0.00,0.00,0.00
0.376,-0.00,0.00,0.00
0.378,-0.00,0.00,0.00
0.381,-0.00,0.00,0.00
0.384,-0.00,0.00,0.00
0.387,-0.01,-0.00,0.00
0.389,-0.00,-0.00,0.00
0.391,-0.00,0.00,0.00
0.395,-0.00,0.00,0.00
0.396,-0.00,0.00,0.00
0.399,-0.00,0.00,0.00
0.401,-0.01,-0.00,0.00
0.404,-0.01,-0.00,0.00
0.409,-0.01,-0.01,0.00
0.409,-0.01,-0.01,0.00
0.411,-0.01,-0.01,0.01
0.415,-0.00,-0.00,0.01
0.416,-0.00,0.00,0.01
0.419,-0.00,0.00,0.01
0.429,-0.00,0.00,0.01
0.429,0.00,0.00,0.01
0.430,0.00,0.00,0.00
0.430,0.01,0.01,0.00
0.431,0.01,0.01,0.00
0.433,0.01,0.01,0.00
0.436,0.00,0.00,0.00
0.439,-0.00,-0.00,0.00
0.441,-0.00,-0.00,0.00
0.444,-0.00,-0.00,0.00
0.445,-0.00,0.00,0.00
0.448,-0.00,-0.00,0.00
0.450,-0.00,-0.00,-0.00
0.454,-0.00,-0.01,-0.00
0.456,-0.00,-0.01,-0.00
0.458,-0.01,-0.01,-0.00
0.461,-0.01,-0.01,-0.00
0.463,-0.01,-0.01,-0.00
0.465,-0.01,-0.00,-0.00
0.468,-0.00,-0.01,-0.00
0.471,-0.00,-0.00,-0.00
0.474,-0.00,-0.01,-0.00
0.476,-0.00,-0.01,-0.00
0.478,-0.00,-0.01,-0.00
0.481,-0.00,-0.01,-0.00
0.483,-0.00,-0.01,-0.00
0.487,0.00,-0.00,-0.00
0.489,0.00,-0.01,-0.00
0.491,0.00,-0.01,0.00
0.494,0.00,-0.01,0.00
0.496,0.00,-0.01,0.00
0.499,0.00,-0.01,0.00
0.501,0.01,-0.01,0.00
0.503,0.00,-0.00,0.00
0.507,0.00,-0.01,0.00
0.509,0.00,-0.00,0.00
0.510,0.00,-0.01,0.00
0.514,-0.00,-0.01,0.00
0.516,-0.00,-0.01,0.00
0.518,0.00,-0.01,0.00
0.521,-0.00,-0.00,0.00
0.527,0.00,-0.00,0.00
0.528,-0.00,-0.00,0.00
0.528,-0.00,-0.01,0.00
0.530,-0.00,-0.01,0.00
0.532,-0.00,-0.01,0.00
0.535,-0.00,-0.01,0.00
0.537,-0.00,-0.00,0.00
0.561,-0.00,-0.00,0.00
0.562,-0.00,-0.00,0.00
0.562,-0.00,-0.00,0.00
0.562,-0.00,-0.00,0.00
0.563,-0.00,0.00,0.01
0.563,-0.00,0.00,0.01
0.563,-0.00,-0.00,0.01
0.563,-0.00,0.00,0.01
0.563,-0.00,0.00,0.01
0.563,0.00,0.00,0.01
0.565,0.00,0.01,0.01
0.567,0.00,0.01,0.01
0.570,0.00,0.01,0.01
0.572,0.00,0.00,0.01
0.574,0.00,-0.00,0.01
0.578,-0.00,0.00,0.00
0.579,-0.00,0.00,0.01
0.582,0.00,0.00,0.01
0.585,0.00,0.01,0.01
0.588,0.00,0.01,0.01
0.590,0.00,0.01,0.01
0.593,0.00,0.01,0.01
0.596,0.00,0.01,0.01
0.597,0.00,0.00,0.01
0.600,0.00,-0.00,0.01
0.602,0.00,0.00,0.01
0.605,0.00,0.00,0.01
0.609,0.00,0.00,0.01
0.610,0.00,0.00,0.01
0.612,0.01,0.00,0.01
0.614,0.00,0.00,0.01
0.617,0.01,0.00,0.01
0.619,0.00,0.00,0.00
0.622,0.01,-0.00,0.00
0.627,0.00,0.00,0.00
0.627,0.00,-0.00,0.00
0.629,0.00,-0.00,0.00
0.632,0.00,0.00,0.00
0.634,0.00,-0.00,0.01
0.637,0.00,0.00,0.01
0.639,0.00,0.00,0.01
0.653,0.00,0.00,0.01
0.654,0.00,0.00,0.01
0.654,0.00,0.00,0.01
0.654,0.00,0.00,0.00
0.654,0.00,0.00,0.01
0.654,0.00,0.00,0.01
0.658,-0.00,0.00,0.01
0.660,0.00,-0.00,0.01
0.661,0.00,-0.00,0.01
0.664,0.00,0.00,0.01
0.666,0.00,0.00,0.01
0.668,0.00,0.00,0.01
0.672,0.00,-0.00,0.00
0.674,0.00,-0.00,0.00
0.676,0.00,-0.00,0.00
0.680,0.00,-0.00,0.00
0.680,0.00,-0.00,0.00
0.683,0.00,-0.00,0.00
0.686,0.00,-0.00,0.00
0.689,0.00,-0.00,0.00
0.691,0.00,0.00,0.00
0.694,0.01,-0.00,0.00
0.696,0.00,-0.00,0.00
0.698,0.00,-0.00,0.00
0.701,0.00,0.00,0.00
0.703,0.00,0.00,0.00
0.706,-0.00,0.00,0.00
0.708,-0.00,0.00,0.00
0.711,-0.00,0.00,0.00
0.713,-0.00,0.01,0.00
0.716,-0.00,0.01,0.00
0.718,-0.00,0.01,0.00
0.721,-0.00,0.01,0.00
0.722,-0.00,0.01,0.00
0.726,-0.01,0.00,0.00
0.728,-0.01,0.00,-0.00
0.731,-0.01,0.00,0.00
0.733,-0.01,0.01,0.00
0.735,-0.01,0.01,0.00
0.738,-0.00,0.01,0.00
0.751,-0.01,0.00,0.00
0.752,-0.01,-0.00,-0.00
0.752,-0.00,-0.00,-0.00
0.752,-0.01,-0.00,-0.00
0.752,-0.01,0.00,-0.00
0.752,-0.00,-0.00,-0.00
0.755,-0.01,-0.00,-0.00
0.759,-0.01,-0.00,-0.00
0.761,-0.01,-0.00,-0.01
0.762,-0.01,-0.00,-0.01
0.765,-0.00,-0.00,-0.01
0.767,-0.00,-0.00,-0.01
0.770,-0.00,-0.00,-0.01
