time,wx,wy,wz
0.003,-0.00,0.01,0.01
0.003,-0.00,0.01,0.01
0.004,-0.00,0.01,0.01
0.004,-0.00,0.02,0.01
0.004,-0.00,0.02,0.01
0.004,0.00,0.02,0.01
0.010,0.00,0.02,0.01
0.010,0.00,0.02,0.01
0.011,0.00,0.02,0.01
0.013,0.00,0.02,0.01
0.016,0.00,0.02,0.01
0.018,0.00,0.03,0.00
0.021,0.00,0.03,0.00
0.024,0.00,0.02,0.00
0.026,0.00,0.01,0.01
0.028,-0.00,0.01,0.01
0.030,-0.00,0.00,0.00
0.033,-0.00,0.00,0.00
0.035,-0.00,0.00,0.00
0.038,-0.00,0.00,0.00
0.043,-0.00,0.00,0.01
0.043,-0.00,0.00,0.00
0.047,-0.00,0.00,0.00
0.048,0.00,0.00,0.00
0.051,0.00,0.00,0.00
0.053,0.00,0.01,0.00
0.056,0.00,0.01,-0.00
0.062,0.00,0.01,-0.00
0.062,0.00,0.01,-0.00
0.063,0.01,0.01,-0.00
0.066,0.00,0.01,-0.00
0.068,0.01,0.01,-0.00
0.070,0.01,0.01,-0.00
0.073,0.01,0.01,-0.00
0.075,0.01,0.01,-0.00
0.078,0.01,0.01,-0.00
0.080,0.01,0.01,-0.00
0.083,0.01,0.01,-0.00
0.085,0.01,0.01,0.00
0.087,0.01,0.01,0.00
0.091,0.01,0.01,0.00
0.093,0.01,0.01,0.00
0.095,0.01,0.01,0.00
0.097,0.01,0.01,0.00
0.100,0.01,0.01,0.00
0.102,0.01,0.01,0.00
0.105,0.01,0.00,0.00
0.108,0.01,0.00,0.00
0.110,0.00,0.00,-0.00
0.112,0.00,0.00,0.00
0.115,0.00,0.00,-0.00
0.117,0.00,0.00,-0.00
0.119,0.00,-0.00,-0.00
0.122,0.00,-0.00,-0.00
0.125,0.01,-0.01,-0.00
0.127,0.00,-0.01,-0.00
0.130,0.01,-0.02,-0.00
0.132,0.01,-0.02,-0.00
0.134,0.01,-0.02,-0.00
0.136,0.01,-0.02,0.00
0.140,0.01,-0.01,-0.00
0.142,0.01,-0.01,-0.00
0.145,0.01,-0.01,-0.00
0.147,0.01,-0.00,-0.00
0.149,0.01,-0.00,-0.00
0.157,0.01,-0.00,-0.00
0.157,0.01,-0.00,-0.00
0.157,0.01,0.00,-0.00
0.165,0.01,0.00,-0.00
0.165,0.01,-0.00,0.00
0.165,0.01,0.00,0.00
0.167,0.01,0.00,0.00
0.169,0.01,0.00,0.00
0.171,0.01,0.00,0.00
0.175,0.01,0.00,0.00
0.176,0.01,-0.00,0.00
0.179,0.01,-0.00,0.00
0.182,0.01,0.00,0.00
0.185,0.01,0.00,0.00
0.186,0.01,0.00,0.00
0.189,0.01,0.00,0.00
0.193,0.01,0.00,0.00
0.194,0.01,-0.00,0.00
0.196,0.01,-0.00,0.00
0.199,0.01,-0.00,0.00
0.201,0.00,-0.00,0.01
0.204,0.00,-0.00,0.01
0.206,0.00,-0.00,0.01
0.208,0.00,-0.00,0.01
0.211,0.00,-0.00,0.01
0.213,0.00,-0.00,0.01
0.216,0.00,0.00,0.01
0.218,0.00,0.00,0.01
0.220,0.00,0.00,0.01
0.224,0.00,0.00,0.01
0.226,0.00,0.00,0.01
0.229,0.00,0.01,0.01
0.231,0.00,0.00,0.00
0.232,0.00,0.00,0.00
0.235,0.00,0.00,0.01
0.238,-0.00,0.00,0.00
0.244,-0.00,0.00,0.01
0.244,-0.00,0.00,0.01
0.246,0.00,0.00,0.01
0.248,0.00,0.01,0.01
0.251,0.00,0.01,0.01
0.253,0.00,0.00,0.01
0.255,0.00,0.00,0.01
0.259,0.00,0.00,0.01
0.260,0.00,0.00,0.01
0.263,0.00,0.00,0.01
0.265,0.00,-0.00,0.01
0.268,0.00,0.00,0.01
0.270,0.00,0.00,0.01
0.272,0.00,0.00,0.01
0.275,0.00,0.00,0.01
0.278,-0.00,0.00,0.01
0.280,-0.00,0.00,0.01
0.283,-0.00,0.00,0.01
0.286,-0.00,0.00,0.01
0.287,0.00,0.00,0.01
0.291,0.00,0.00,0.01
0.292,0.00,0.00,0.01
0.295,0.00,0.00,0.01
0.297,0.00,0.00,0.01
0.300,0.00,0.00,0.01
0.302,-0.00,0.00,0.01
0.305,0.00,0.00,0.01
0.307,-0.00,-0.00,0.01
0.310,0.00,-0.00,0.01
0.312,-0.00,-0.00,0.01
0.315,0.00,-0.00,0.00
0.317,0.00,0.00,0.01
0.319,0.00,0.00,0.00
0.322,0.00,0.01,0.01
0.324,0.00,0.01,0.01
0.327,0.00,0.01,0.01
0.330,0.00,0.01,0.01
0.331,0.00,0.01,0.01
0.334,0.00,0.01,0.01
0.336,0.00,0.01,0.01
0.339,0.00,0.01,0.01
0.344,0.00,0.01,0.01
0.345,0.00,0.01,0.01
0.347,0.00,0.01,0.01
0.349,0.00,0.01,0.00
0.352,0.00,0.00,0.00
0.354,0.00,-0.00,0.00
0.357,0.00,0.00,0.00
0.359,0.00,0.00,0.00
0.362,0.00,0.01,0.00
0.364,0.00,0.01,0.00
0.366,0.01,0.01,0.00
0.369,0.01,0.01,0.00
0.371,0.00,0.01,0.00
0.374,0.00,0.01,0.00
0.376,0.00,0.01,0.00
0.379,0.00,0.00,0.00
0.381,0.00,0.00,-0.00
0.384,0.00,0.00,0.00
0.386,0.00,0.00,0.00
0.390,0.00,0.00,0.00
0.392,0.00,0.00,0.00
0.393,0.00,0.00,0.00
0.396,0.00,0.00,0.00
0.399,0.00,-0.00,0.00
0.402,0.00,-0.00,-0.00
