time,wx,wy,wz
0.002,-0.01,0.01,0.00
0.003,-0.01,0.02,0.01
0.003,-0.01,0.01,0.01
0.003,-0.00,0.01,0.01
0.003,0.00,0.01,0.01
0.005,0.01,0.01,0.01
0.007,0.01,0.00,0.01
0.010,0.01,0.00,0.01
0.012,0.00,0.00,0.01
0.014,0.01,0.01,0.01
0.016,0.01,0.01,0.01
0.018,0.01,0.01,0.01
0.021,0.00,0.02,0.00
0.024,0.01,0.01,0.01
0.026,0.01,0.01,0.01
0.029,0.01,0.01,0.01
0.031,0.01,0.01,0.00
0.034,0.01,0.01,0.01
0.036,0.01,0.01,0.01
0.039,0.01,0.01,0.00
0.041,0.01,0.00,0.00
0.044,0.01,0.01,0.00
0.047,0.01,0.01,0.00
0.049,0.00,0.01,0.00
0.051,0.01,0.01,-0.00
0.054,0.01,0.01,-0.00
0.056,0.01,0.01,-0.00
0.059,0.00,0.01,-0.00
0.062,0.01,0.01,-0.00
0.064,0.01,0.01,-0.00
0.066,0.00,0.00,-0.00
0.069,0.00,0.00,-0.00
0.071,0.00,0.00,-0.00
0.077,-0.00,0.00,-0.00
0.077,0.00,-0.00,0.00
0.079,-0.00,0.00,0.00
0.081,-0.00,-0.00,0.00
0.084,0.00,-0.01,0.00
0.086,-0.00,-0.01,0.00
0.088,-0.00,-0.02,0.00
0.091,-0.00,-0.02,0.00
0.094,0.00,-0.02,0.00
0.095,-0.00,-0.02,0.00
0.098,0.00,-0.01,0.00
0.100,-0.00,-0.01,0.00
0.103,-0.00,-0.01,0.00
0.105,-0.00,-0.00,-0.00
0.108,-0.00,-0.01,0.00
0.110,-0.00,-0.00,0.00
0.113,0.00,-0.01,0.00
0.115,0.00,-0.00,0.00
0.117,0.00,-0.00,0.00
0.120,-0.00,-0.00,0.00
0.124,0.00,-0.00,0.00
0.126,-0.00,0.00,0.00
0.129,-0.00,0.00,0.00
0.131,-0.00,0.00,0.00
0.133,-0.00,0.00,0.00
0.135,-0.00,0.01,-0.00
0.138,-0.00,0.01,0.00
0.140,-0.00,0.01,0.00
0.143,-0.00,0.01,0.00
0.145,-0.00,0.01,0.00
0.148,-0.01,0.01,0.00
0.150,-0.01,0.00,-0.00
0.152,-0.01,0.00,0.00
0.155,-0.01,0.00,-0.00
0.158,-0.01,0.00,-0.00
0.160,-0.01,0.00,-0.00
0.163,-0.01,0.00,-0.00
0.164,-0.01,0.00,0.00
