time,wx,wy,wz
0.447,0.01,-0.01,0.00
0.450,0.01,-0.01,0.00
0.452,0.01,-0.01,0.01
0.454,0.01,-0.01,0.00
0.457,0.01,-0.01,0.00
0.460,0.01,-0.01,0.00
0.463,0.01,-0.01,0.00
0.464,0.01,-0.01,0.00
0.467,0.01,-0.01,0.00
0.469,0.01,-0.00,0.00
0.471,0.01,0.00,0.00
0.473,0.01,0.01,0.00
0.482,0.01,0.01,0.00
0.483,0.02,0.01,0.00
0.483,0.02,0.00,0.00
0.483,0.02,0.00,0.00
0.487,0.02,0.00,0.01
0.488,0.02,0.00,0.00
0.490,0.02,0.01,0.00
0.497,0.01,0.00,0.00
0.498,0.01,-0.00,-0.00
0.498,0.01,-0.00,-0.00
0.500,0.01,-0.01,-0.01
0.503,0.01,-0.01,-0.01
0.506,0.01,-0.01,-0.01
0.508,0.01,-0.01,-0.01
0.510,0.01,-0.00,-0.01
0.513,0.01,-0.01,-0.01
0.515,0.01,-0.00,-0.01
0.518,0.01,-0.00,-0.00
0.520,0.01,-0.00,-0.00
0.522,0.01,-0.00,0.00
0.526,0.01,-0.00,0.00
0.528,0.01,-0.00,0.01
0.530,0.01,0.00,0.01
0.533,0.01,0.00,0.01
0.535,0.01,0.00,0.01
0.538,0.01,0.01,0.01
0.540,0.01,0.01,0.01
0.543,0.01,0.00,0.01
0.546,0.00,0.00,0.01
0.548,0.00,0.00,0.01
0.550,0.00,0.01,0.01
0.552,0.00,0.01,0.01
0.554,0.00,0.01,0.01
0.557,0.00,0.01,0.01
0.560,0.00,0.01,0.01
0.562,0.00,0.01,0.01
0.566,0.00,0.01,0.01
0.568,0.00,0.01,0.01
0.570,0.00,0.01,0.01
0.572,0.00,0.01,0.01
0.585,-0.00,0.01,0.01
0.586,-0.00,0.01,0.01
0.587,-0.00,0.01,0.01
0.587,0.00,0.00,0.01
0.587,-0.00,0.01,0.01
0.588,-0.00,0.01,0.01
0.593,0.00,0.00,0.01
0.593,-0.00,0.00,0.01
0.606,-0.00,0.00,0.00
0.607,-0.00,0.00,0.00
0.607,-0.00,-0.00,0.00
0.607,-0.00,-0.00,0.00
0.608,-0.00,-0.01,0.00
0.608,-0.01,-0.00,0.00
0.618,-0.01,-0.00,0.00
0.619,-0.01,-0.00,0.00
0.620,-0.01,-0.00,0.00
0.620,-0.01,-0.00,0.00
0.620,-0.01,-0.00,0.00
0.621,-0.01,-0.00,0.00
0.626,-0.01,-0.00,0.00
0.627,-0.01,-0.00,0.00
0.629,-0.01,-0.00,0.00
0.631,-0.01,-0.00,0.00
0.633,-0.01,-0.00,0.01
0.636,-0.01,-0.00,0.00
0.638,-0.01,-0.00,0.01
0.642,-0.01,-0.00,0.01
0.644,-0.00,-0.00,0.01
0.646,-0.00,-0.01,0.00
0.649,-0.00,-0.00,0.00
0.651,-0.00,-0.01,0.00
0.653,0.00,-0.01,0.00
0.656,0.00,-0.01,-0.00
0.659,0.00,-0.01,-0.00
0.661,0.00,-0.01,-0.00
0.664,0.00,-0.01,-0.00
0.666,0.00,-0.01,-0.01
0.668,0.00,-0.01,-0.01
0.670,0.00,-0.01,-0.01
0.673,0.01,-0.01,-0.00
0.680,0.01,-0.01,-0.01
0.681,0.01,-0.00,-0.01
0.686,0.01,-0.00,-0.01
0.687,0.01,0.00,-0.00
0.687,0.01,-0.00,-0.00
0.688,0.01,-0.00,-0.00
0.690,0.01,-0.00,-0.00
0.694,0.01,0.00,-0.00
0.695,0.01,-0.00,-0.00
0.698,0.01,0.00,-0.00
0.700,0.01,-0.00,-0.00
0.703,0.01,0.00,-0.00
0.705,0.01,-0.00,-0.00
0.710,0.01,-0.00,0.00
0.711,0.01,-0.00,0.00
0.713,0.01,-0.01,0.00
0.716,0.01,-0.01,0.00
0.718,0.01,-0.01,0.00
0.720,0.01,-0.00,0.00
0.722,0.01,-0.00,0.00
0.726,0.01,-0.00,0.00
0.727,0.01,-0.00,0.00
0.730,0.01,-0.00,0.00
0.732,0.01,-0.00,0.00
0.735,0.01,-0.00,0.00
0.737,0.01,-0.00,0.00
0.740,0.01,0.00,0.00
0.743,0.01,0.00,0.01
0.745,0.01,0.00,0.01
0.747,0.01,-0.00,0.01
0.750,0.01,0.00,0.01
0.752,0.01,-0.00,0.00
0.754,0.02,0.00,0.00
0.757,0.01,0.00,0.00
0.764,0.01,0.00,0.00
0.765,0.01,0.00,0.00
0.766,0.01,0.00,0.01
0.769,0.01,0.00,0.01
0.770,0.01,0.00,0.01
0.772,0.01,0.01,0.00
0.777,0.01,0.01,0.01
0.778,0.01,0.01,0.01
0.779,0.01,0.01,0.01
0.782,0.01,0.01,0.01
0.784,0.01,0.01,0.01
0.786,0.01,0.01,0.01
0.789,0.00,0.01,0.01
0.794,0.00,0.01,0.01
0.795,0.01,0.01,0.01
0.797,0.00,0.01,0.01
0.799,0.00,0.01,0.00
0.802,0.00,0.01,0.00
0.804,0.00,0.01,0.00
0.807,0.00,0.01,0.00
0.809,0.00,0.01,0.00
0.811,0.00,0.01,-0.00
0.814,0.00,0.00,0.00
0.816,0.00,0.00,-0.00
0.819,0.00,0.00,0.00
0.821,0.00,0.01,-0.00
0.824,-0.00,0.00,-0.00
0.829,-0.00,0.00,-0.01
0.829,0.00,0.00,-0.00
0.831,0.00,-0.00,-0.01
0.834,-0.00,-0.00,-0.01
0.836,-0.00,-0.00,-0.01
0.838,-0.00,-0.00,-0.01
0.845,-0.00,-0.00,-0.00
0.846,-0.00,-0.00,-0.00
0.846,-0.00,-0.00,-0.00
0.849,-0.00,-0.00,-0.00
0.851,-0.00,0.00,-0.01
0.853,-0.00,-0.00,-0.00
0.856,-0.00,0.00,-0.00
0.860,-0.00,0.00,-0.01
0.863,-0.00,0.00,-0.00
0.864,0.00,0.00,-0.01
0.870,-0.00,-0.00,-0.00
